Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,
293.138,789.8,1.1,Liquid-Gas,Experimental,NIST,Authors: Addison, C. C. Title: 26. The Properties of Freshly Formed Surfaces. IV. The Influence of Chain Length and Structure on the Static and the Dynamic Surface Tensions of Aqueous Alcoholic Solutions Citation: J. Chem. Soc.,1945, , 98-106,,,,,,,,,,
293.138,789.3,0.4,Liquid-Gas,Experimental,NIST,Authors: Goss, F. R. Title: The magnitude of the solvent effect in dipole-moment measurements part III polarisation and association of alcohols in the liquid phase Citation: J. Chem. Soc.,1940, , 883-894,,,,,,,,,,
293.14537,789.6,5,Liquid-Gas,Experimental,NIST,Authors: Golubev, I. F.;Vasil'kovskaya, T. N. Title: Thermal conductivity of methyl and ethyl alcohols at differnt temperatures and pressures Citation: Teploenergetika,1969, , 77-82,,,,,,,,,
293.15,790.1,0.2,Liquid-Gas,Experimental,NIST,Authors: Cano-Gomez, J. J.;Iglesias-Silva, G. A.;Castrejon-Gonzalez, E. O.;Ramos-Estrada, M.;Hall, K. R. Title: Density and Viscosity of Binary Liquid Mixtures of Ethanol + 1-Hexanol and Ethanol + 1-Heptanol from (293.15 to 328.15) K at 0.1 MPa Citation: J. Chem. Eng. Data,2015,60, 1945-1955,,,,,,
293.15,790,1,Liquid-Gas,Experimental,NIST,Authors: Guo, X.-Z.;Wang, L. -S.;Wang, B.;Tian, N.-N. Title: Solubilities of 3,9-Dimethyl-3,9-dioxide-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5]undecane in Selected Solvents Citation: J. Chem. Eng. Data,2010,55, 978-981,
293.15,789.38,0.24,Liquid-Gas,Experimental,NIST,Authors: Hwang, I.-C.;Han, K. J.;Park, S. J. Title: Isothermal Binary and Ternary VLE for the Mixtures of Propyl Vinyl Ether + Ethanol + Isooctane at 323.15 K and VE at 293.15 K Citation: J. Chem. Eng. Data,2007,52, 1118-1122,,,,,,,,
293.15,789,5,Liquid-Gas,Experimental,NIST,Authors: Prasad, T. E. V.;Mythili, R.;Nirmala, G. S.;Prasad, D.H.L. Title: Vapor-Liquid Equilibria in Trichloroethylene + Ethanol, + Isopropanol, and + Isobutanol and in Tetrachloroethylene + Methanol at 95 kPa Citation: J. Chem. Eng. Data,2002,47, 816-7,,,,,
293.15,789.3,0.2,Liquid-Gas,Experimental,NIST,Authors: Rodriguez, A.;Canosa, J.;Tojo, J. Title: Physical Properties of Binary Mixtures (Dimethyl Carbonate + Alcohols) at Several Temperatures Citation: J. Chem. Eng. Data,2001,46, 1476-1486,,,,,,,,
293.15,789.57,0.15,Liquid-Gas,Experimental,NIST,Authors: Tsierkezos, N. G.;Molinou, I. E.;Filippou, A. C. Title: Thermodynamic Properties of Binary Mixtures of Cyclohexanone with n-Alkanols (C1 C5) at 293.15K Citation: J. Solution Chem.,2005,34, 1371-1386,,,,,,,,
293.19536,789.5,4.6,Liquid-Gas,Experimental,NIST,Authors: Suska, J. Title: Phase equilibria in binary systems containing acetaldehyde Citation: Collect. Czech. Chem. Commun.,1979,44, 1852-6,,,,,,,,,,
295.65,787.411,0.14,Liquid-Gas,Experimental,NIST,Authors: Alvarez, V. H.;Mattedi, S.;Martin-Pastor, M.;Aznar, M.;Iglesias, M. Title: Thermophysical properties of binary mixtures of {ionic liquid 2-hydroxy ethylammonium acetate + (water, methanol, or ethanol)} Citation: J. Chem. Thermodyn.,2011,43, 997-1010,,,,
295.65,788.03,2,Liquid-Gas,Experimental,NIST,Authors: Blanco, A.;Gayol, A.;Gomez, D.;Navaza, J. M. Title: Temperature dependence of  thermophysical properties of ethanol +  n-hexane + n-heptane Citation: Phys. Chem. Liq.,2013,51, 381-403,,,,,,,
297.9944,785.09,0.28,Liquid-Gas,Experimental,NIST,Authors: Krestov, G. A.;Safonova, L. P.;Kolker, A. M.;Katkov, V. F. Title: Partial Molar Volumes of Ions in Ethanol from 233 to 313K Citation: J. Solution Chem.,1988,17, 569-580,,,,,,,
298,785.1,0.5,Liquid-Gas,Experimental,NIST,Authors: Lachwa, J.;Morgado, P.;Esperanca, J. M. S. S.;Guedes, H. J. R.;Lopes, J. N. C.;Rebelo, L. P. N. Title: Fluid-Phase Behavior of {1-Hexyl-3-methylimidazolium Bis(trifluoromethylsulfonyl) Imide, [C6mim][NTf2], + C2-C8 n-Alcohol} Mixtures: Liquid-Liquid Equilibrium and Excess Volumes Citation: J. Chem. Eng. Data,2006,51, 2215-2221,,,
298,785.4,0.3,Liquid-Gas,Experimental,NIST,Authors: Rodriguez, M.;Galan, M.;Munoz, M. J.;Martin, R. Title: Viscosity of triglycerides + alcohols from 278 to 313 K Citation: J. Chem. Eng. Data,1994,39, 102-105,,,,,,,
298.08602,784.3,4.5,Liquid-Gas,Experimental,NIST,Authors: Oakeson, G. O.;Weber, J. H. Title: Vapor-Liquid Equilibria at Subatmospheric Pressure. Ternary System Ethyl Alcohol-Benzene-n-Heptane Citation: J. Chem. Eng. Data,1960,5,279,,,,,,,,,
298.08602,785.1,0.8,Liquid-Gas,Experimental,NIST,Authors: Pollak, P.;Cave, G. C. B. Title: Determination of the activity coefficients of methanol and ethanol in benzene solutions by gas chromatography Citation: Can. J. Chem.,1967,45, 3089-95,,,,,,,,,
298.09438,785.2,0.4,Liquid-Gas,Experimental,NIST,Authors: Nagata, I.;Ohta, T.;Takahashi, T. Title: Excess thermodynamic functions of methyl acetate + methanol and methyl acetate + ethanol systems Citation: J. Chem. Eng. Jpn.,1972,5, 227-31,,,,,,,,
298.09438,785.2,0.8,Liquid-Gas,Experimental,NIST,Authors: Paz Andrade, M. I.;Romani, L.;Gonzales, F. Title: Thermodynamic study of the interactions of alcohol + alcohol in binary mixtures Citation: An. Quim.,1974,70, 314-7,,,,,,,,
298.09438,785.11,0.43,Liquid-Gas,Experimental,NIST,Authors: Polak, J.;Lu, B. C.-Y. Title: Vapor-liquid equilibria of methyl propanoate + methanol and methyl propanoate + ethanol systems at 25 c Citation: J. Chem. Eng. Data,1972,17, 456-8,,,,,,,,,
298.09438,784.8,4.8,Liquid-Gas,Experimental,NIST,Authors: Van Zandijcke, F.;Verhoeye, F. Title: The vapor-liquid equilibrium of ternary systems with limited miscibility at atmospheric pressure Citation: J. Appl. Chem. Biotechnol.,1974,24, 709-29,,,,,,,,,
298.1,785.6,3.5,Liquid-Gas,Experimental,NIST,Authors: Pal, A.;Kumar, H. Title: Excess Molar Volumes and Partial Molar Volumes of Dipropylene Glycol Monomethyl Ether + n-Alkanol Mixtures at 25 C Citation: J. Solution Chem.,2001,30, 411-423,,,,,,,,,
298.136,785,1,Liquid-Gas,Experimental,NIST,Authors: Amer, H. H.;Paxton, R. R.;Van Winkle, M. Title: Methanol-Ethanol-Acetone Vapor-Liquid Equilibria Citation: Ind. Eng. Chem.,1956,48, 142-146,,,,,,,,
298.136,785.088,0.2,Liquid-Gas,Experimental,NIST,Authors: Andrew, L. W. Citation: J. Am. Chem. Soc.,1908,30,353,,,,,,,,,,
298.136,785.01,0,Liquid-Gas,Experimental,NIST,Authors: Beattie, J. A.;Lawrence, C. K. Title: The Thermodynamic Properties of Ammonia. I. The Compressibility of and an Equation of State for Gasseous Ammonia ammonia Citation: J. Am. Chem. Soc.,1930,52,6,,,,,,,,,
298.136,785.11,4.55,Liquid-Gas,Experimental,NIST,Authors: Brown, I.;Smith, F. Title: Liquid-vapour equilibria. IV. the system ethanol+benzene at 45 deg C. Citation: Aust. J. Chem.,1954,7,264,,,,,,,,,
298.136,785.1,4.5,Liquid-Gas,Experimental,NIST,Authors: Larson, R. G.;Hunt, H. Title: Molecular Forces and Solvent Power Citation: J. Phys. Chem.,1939,43,417,,,,,,,,,
298.136,785.1,0,Liquid-Gas,Experimental,NIST,Authors: Meyers, C. H.;Jessup, R. S. Title: The specific volume of superheated ammonia vapor Citation: Refrig. Eng.,1925,11, 345-50,,,,,,,,,
298.136,785.08,0.3,Liquid-Gas,Experimental,NIST,Authors: Moesveld, A. L. Th. Title: Piezochemical studies: xxii the compressibility of alcohol + water mixtures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1923,105, 450-4,,,,,,,,,
298.14437,785.5,0.8,Liquid-Gas,Experimental,NIST,Authors: Kato, M.;Tanaka, H. Title: Ebulliometric Measurement of Vapor-Liquid Equilibria for Four Binary Systems: Methanol + Silicon Tetramethoxide, Methanol + Silicon Tetraethoxide, Ethanol + Silicon Tetramethoxide and Ethanol + Silic Citation: J. Chem. Eng. Data,1989,34, 206-209,,,,,,,
298.14437,785.5,2,Liquid-Gas,Experimental,NIST,Authors: Konobeev, B. I.;Lyapin, V. V. Title: Density, Viscosity, and Surface Tension Data on Certain Binary Systems Citation: Zh. Prikl. Khim. (Leningrad),1970,43, 803-810,,,,,,,
298.14437,785.08,0.73,Liquid-Gas,Experimental,NIST,Authors: Marsh, K. N.;Richards, A. E. Title: Excess Volumes for Ethanol + Water Mixtures at 10-K Intervals from 278.15 to 338.15 K Citation: Aust. J. Chem.,1980,33, 2121-32,,,,,,,,,
298.14437,785,0.4,Liquid-Gas,Experimental,NIST,Authors: Nagata, I. Title: Vapor-Liquid Equilibrium in Ternary Mixtures Formed by Ethanol, Aceonitrile and Benzene Citation: Fluid Phase Equilib.,1985,19, 13-20,,,,,,,,,
298.14437,785.2,0.2,Liquid-Gas,Experimental,NIST,Authors: Ortega, J. Title: Densities and Refractive Indices of Pure Alcohols as a Function of Temperature Citation: J. Chem. Eng. Data,1982,27, 312-7,,,,,,,,,,
298.14437,784.971,0.415,Liquid-Gas,Experimental,NIST,Authors: Sakurai, M.;Nakagawa, T. Title: Densities of Dilute Solutions of Water in n-Alkanols at 278.15, 198.15 308.15, and 318.15 K. Partial Molar Volumes of Water in n-Alkanols Citation: J. Chem. Thermodyn.,1984,16,171,,,,,,,
298.14437,785.07,0.2,Liquid-Gas,Experimental,NIST,Authors: Singh, J.;Benson, G. C. Title: Measurement of the vapor pressure of methanol-n-decanol and ethanol-n-decanol mixtures Citation: Can. J. Chem.,1968,46, 1249-1254,,,,,,,,,
298.15,785.5,0.4,Liquid-Gas,Experimental,NIST,Authors: Aminabhavi, T. M.;Patil, V. B. Title: Density, Viscosity, and Speed of Sound in Binary Mixtures of 1-Chloronaphthalene with Methanol, Ethanol, Propan-1-ol, Butan-1-ol, Pentan-1-ol, and Hexan-1-ol in the Temperature Range (298.15-308.15) K Citation: J. Chem. Eng. Data,1998,43, 504-508,,
298.15,785.9,0.2,Liquid-Gas,Experimental,NIST,Authors: Aranda, N. M.;Gonzalez, B. Title: Cation effect of ammonium imide based ionic liquids in alcohols extraction from alcohol-alkane azeotropic mixtures Citation: J. Chem. Thermodyn.,2014,68, 32-39,,,,,,,,,
298.15,785.1,0.5,Liquid-Gas,Experimental,NIST,Authors: Arce, A.;Blanco, A.;Soto, A.;Tojo, J. Title: Isobaric Vapor-Liquid Equilibria of Methanol + 1-Octanol and Ethanol + 1- Octanol Mixtures Citation: J. Chem. Eng. Data,1995,40, 1011-14,,,,,,,
298.15,785.22,20,Liquid-Gas,Experimental,NIST,Authors: Arce, A.;Martinez-Ageitos, J.;Rodriguez, O.;Soto, A. Title: (Liquid + liquid) equilibria of (tert-amyl ethyl ether + ethanol + water) at several temperatures Citation: J. Chem. Thermodyn.,2001,33, 139-146,,,,,,,
298.15,785.22,0.31,Liquid-Gas,Experimental,NIST,Authors: Arce, A.;Rodriquez, H.;Soto, A. Title: Use of a green and cheap ionic liquid to purify gasoline octane boosters Citation: Green Chem.,2007,9, 247-253,,,,,,,,
298.15,785.04,0.25,Liquid-Gas,Experimental,NIST,Authors: Aucejo, A.;Loras, S.;Munoz, R.;Ordonez, L. M. Title: Isobaric vapor-liquid equilibrium for binary and ternary mixtures of ethanol + 2-methyl-2-propanol and 2-methylpentane + ethanol + 2-methyl-2-propanol. Citation: Fluid Phase Equilib.,1999,162, 241-252,,,,,,,
298.15,785.24,0.13,Liquid-Gas,Experimental,NIST,Authors: Bahadur, I.;Deenadayalu, N.;Naidoo, P.;Ramjugernath, D. Title: Volumetric, Acoustic and Refractive Index for the Binary System (Butyric acid + Hexanoic acid) at Different Temperatures Citation: J. Solution Chem.,2014,43, 787-803,,,,,,
