Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,,,,,,
293.14537,829.82,0.44,Liquid-Gas,Experimental,NIST,Authors: Wagner, D.,Heintz, A. Title: Excess Volumes of Binary 1-Alkanol/Nonane Mixtures at Temperatures Between 293.15 and 333.15 K Citation: J. Chem. Eng. Data,1986,31,483,,,,,,,,,,,,,,,
293.15,829.7,0.57,Liquid-Gas,Experimental,NIST,Authors: Al-Hayan, M. N. M.,Abdul-Latif, A.-H. M. Title: Excess molar volumes and viscosities of (1,1,2,2-tetrabromoethane + 1-alkanols) at T = (293.15 and 303.15) K Citation: J. Chem. Thermodyn.,2006,38, 68-74,,,,,,,,,,,,
293.15,829.7,0.57,Liquid-Gas,Experimental,NIST,Authors: Al-Hayan, M. N. M.,Al-Bader, M. A. M. Title: Densities, excess molar volumes, and refractive indices of 1,1,2,2-tetrabromoethane and 1-alkanols binary mixtures Citation: J. Chem. Thermodyn.,2006,38, 1100-1104,,,,,,,,,,
293.15,829.84,0.57,Liquid-Gas,Experimental,NIST,Authors: Al-Hayan, M. N. M. Title: Densities, excess molar volumes, and refractive indices of 1,1,2,2-tetrachloroethane and 1-alkanols binary mixtures Citation: J. Chem. Thermodyn.,2006,38, 427-433,,,,,,,,,,,,
293.15,830.28,3.14,Liquid-Gas,Experimental,NIST,Authors: Aljimaz, A. S.,Al-Kandary, J. A.,Abdul-Latif, A.-H. M. Title: Densities and viscosities for binary mixtures of phenetole with 1-pentanol, 1-hexanol, 1-heptanol, 1-octanol, 1-nonanol, and 1-decanol at different temperatures Citation: Fluid Phase Equilib.,2004,218, 247-60,,,,,,,,
293.15,829.991,0.139,Liquid-Gas,Experimental,NIST,Authors: Bhatia, S. C.,Bhatia, R.,Dubey, G. P. Title: Thermophysical and sonochemical behaviour of binary mixtures of decan-1-ol with halohydrocarbons at (T = 293.15 and 313.15) K Citation: J. Chem. Thermodyn.,2010,42, 114-127,,,,,,,,,,,,,
293.15,829.6,2.2,Liquid-Gas,Experimental,NIST,Authors: Bilgin, M.,Kirbaslar, S. I.,Ozcan, O.,Dramur, U. Title: Distribution of Butyric Acid between Water and Several Solvents Citation: J. Chem. Eng. Data,2006,51, 1546-1550,,,,,,,,,,,
293.15,829.77,0.67,Liquid-Gas,Experimental,NIST,Authors: Dzida, M.,Goralski, P. Title: Excess molar heat capacities for (decan-1-ol + n-heptane) at temperatures from (290 to 318) K. Experimental results and theoretical description using the ERAS model Citation: J. Chem. Thermodyn.,2006,38, 962-969,,,,,,,,,,,,,,,
293.15,829.758,0.927,Liquid-Gas,Experimental,NIST,Authors: Dzida, M. Title: Speeds of Sound, Densities, Isobaric Thermal Expansion, Compressibilities, and Internal Pressures of Heptan-1-ol, Octan-1-ol, Nonan-1-ol, and Decan-1-ol at Temperatures from (293 to 318) K and Pressures up to 100 MPa Citation: J. Chem. Eng. Data,2007,52, 521-531,,,,,,,,,,
293.15,829.9,0.6,Liquid-Gas,Experimental,NIST,Authors: Franca Faria, M. A.,Sa, C. F. d.,Lima, G. R.,Filho, J. I. B. C.,Martins, R. J.,Cardoso, M. J. E. d. M.,Barcia, O. E. Title: Measurement of Density and Viscosity of Binary 1-Alkanol Systems (C8-C11) at 101 kPa and Temperatures from (283.15 to 313.15) K Citation: J. Chem. Eng. Data,2005,50, 1938-1943,,,,,
293.15,829.95,0.24,Liquid-Gas,Experimental,NIST,Authors: Gonzalez, J. A.,Mediavilla, A.,de la Fuente, I. G.,Cobos, J. C. Title: Thermodynamics of 1-alkanol + linear polyether mixtures Citation: J. Chem. Thermodyn.,2013,59, 195-208,,,,,,,,,,,
293.15,830.3,0.2,Liquid-Gas,Experimental,NIST,Authors: Kirbaslar, S. I. Title: LIQUID - LIQUID EQUILIBRIA OF THE WATER + BUTYRIC ACID + DECANOL TERNARY SYSTEM Citation: Braz. J. Chem. Eng.,2006,23, 365-374,,,,,,,,,,,,,,,,,
293.15,830.2,0.6,Liquid-Gas,Experimental,NIST,Authors: Shan, Z.,Asfour, A.-F. Title: Viscosities and Densities of Nine Binary 1-Alkanol Systems at 293.15 K and 298.15 K Citation: J. Chem. Eng. Data,1999,44, 118-123,,,,,,,,,,,,,,,
293.15,829.5,0.76,Liquid-Gas,Experimental,NIST,Authors: Uslu, H.,Gok, A.,Kirbaslar, S. I. Title: Phase equilibria of (water + levunilic acid + alcohol) ternary systems Citation: Fluid Phase Equilib.,2008,273, 21-26,,,,,,,,,,,,,
293.155368,829.73,0.17,Liquid-Gas,Experimental,NIST,Authors: Findenegg, G. H. Title: Density and Coefficients of Expansion of SOme Liquid Alkanols and Carboxylic Acids Citation: Monatsh. Chem.,1973,104,998,,,,,,,,,,,,,,,,,
294.15,829.21,0.24,Liquid-Gas,Experimental,NIST,Authors: Pineiro, A.,Brocos, P.,Amigo, A.,Pintos, M.,Bravo, R. Title: Refractive Indexes of Binary Mixtures of Tetrahydrofuran with l-Alkanols at 25deg C and Temperature Dependence of nand p for the Pure Liquids Citation: J. Solution Chem.,2002,31, 369-380,,,,,,,,,
296.15,827.84,0.24,Liquid-Gas,Experimental,NIST,Authors: Pineiro, A.,Brocos, P.,Amigo, A.,Pintos, M.,Bravo, R. Title: Refractive Indexes of Binary Mixtures of Tetrahydrofuran with l-Alkanols at 25deg C and Temperature Dependence of nand p for the Pure Liquids Citation: J. Solution Chem.,2002,31, 369-380,,,,,,,,,
298.136,826.9,0.295,Liquid-Gas,Experimental,NIST,Authors: Kuss, E. Title: High Pressure Measurements III. The Viscosity and Compressibility of Fluids Citation: Z. Angew. Phys.,1955,7, 372-378,,,,,,,,,,,,,,,,,
