Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,
209.1956,605.3,0.478,Liquid-Gas,Experimental,NIST,Authors: Seemann, F.-W.;Urban, M. Title: The density of liquid propane Citation: Erdoel, Kohle, Erdgas, Petrochem.,1963,16, 117-9,,,,,,,
213.196,600.8,0.47,Liquid-Gas,Experimental,NIST,Authors: Seemann, F.-W.;Urban, M. Title: The density of liquid propane Citation: Erdoel, Kohle, Erdgas, Petrochem.,1963,16, 117-9,,,,,,,
216.0323977,597.85,0.516,Liquid-Gas,Experimental,NIST,Authors: Orrit, J. E.;Laupretre, J. M. Title: Density of liquefied natural gas components. Citation: Adv. Cryog. Eng.,1977,23,573,,,,,,,,,,
217.1928,596.6,0.462,Liquid-Gas,Experimental,NIST,Authors: Seemann, F.-W.;Urban, M. Title: The density of liquid propane Citation: Erdoel, Kohle, Erdgas, Petrochem.,1963,16, 117-9,,,,,,,
220,593.499,0.146,Liquid-Gas,Experimental,NIST,Authors: Glos, S.;Kleinrahm, R.;Wagner, W. Title: Measurement of the (p,q,T) relation of propane, propylene, n-butane, and isobutane in the temperature range from (95 to 340) K at pressures up to 12 MPa using an accurate two-sinker densimeter Citation: J. Chem. Thermodyn.,2004,36, 1037-1059,,,,
221.1896,592.2,0.454,Liquid-Gas,Experimental,NIST,Authors: Seemann, F.-W.;Urban, M. Title: The density of liquid propane Citation: Erdoel, Kohle, Erdgas, Petrochem.,1963,16, 117-9,,,,,,,
225.1868,588,0.446,Liquid-Gas,Experimental,NIST,Authors: Seemann, F.-W.;Urban, M. Title: The density of liquid propane Citation: Erdoel, Kohle, Erdgas, Petrochem.,1963,16, 117-9,,,,,,,
226.81,588.226875608,47.6167307925,Liquid-Gas,Experimental,NIST,Authors: Golovskoi, E.A.;Zagoruchenko, V.A.;Tsymarny, V.A. Title: Measurements of propane density at temperatures 88.24-272.99 K and pressures up to 609.97 bar Citation: Deposited at the Institute VNIIEGasprom, No. 45, 1978. Data are given in Sychev, V.V., Vasserman, A.A., Kozlov, A.D., and Tsymarny, V.A., Thermodynamic Properties of Propane, Hemisphere Publishing Corporation, New York (1991) (Derived)
227.285540025,586.7,0.5,Liquid-Gas,Experimental,NIST,Authors: Maass, O.;Wright, C. H. Title: Some Physical Properties of Hydrocarbons Containing Two and Three Carbon Atoms Citation: J. Am. Chem. Soc.,1921,43, 1098-1111,,,,,,,,,,
227.62973336,585.8,0,Liquid-Gas,Experimental,NIST,Authors: Carney, B. R. Title: Density of Liquified Petroleum Gas Hydrocarbons, Their Mixtures and Three Natural Gasolines Citation: Hydrocarbon Process.,1942,21,84,,,,,,,,,,
