Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,
340,411.772,0.102,Liquid-Gas,Experimental,NIST,Authors: Glos, S.;Kleinrahm, R.;Wagner, W. Title: Measurement of the (p,q,T) relation of propane, propylene, n-butane, and isobutane in the temperature range from (95 to 340) K at pressures up to 12 MPa using an accurate two-sinker densimeter Citation: J. Chem. Thermodyn.,2004,36, 1037-1059,,,,
342.942115082,403.88,0.95,Liquid-Gas,Experimental,NIST,Authors: Abdulagatov, I. M.;Levina, L. N.;Zakar'yaev, Z. R.;Mamchenkova, O. N. Title: Thermodynamic properties of n-propane on the liquid-gas phase equilibrium curve near the critical point Citation: Zh. Prikl. Khim. (Leningrad),1996,69, 1625-1635,,,,,,,,
343.1,402.813159543,10.1015975049,Liquid-Gas,Experimental,NIST,Authors: Aalto, M.;Liukkonen, S. Title: Bubble Point Pressures and Densities for the Binary Systems of Propane with Triacontane, Hexatriacontane, Tetracontane, Pentacontane, and Squalane at 353-373 K and 4.00-7.00 MPa Citation: J. Chem. Eng. Data,1996,41, 79-83 (Derived),,,,,,
343.120480708,408,0.35,Liquid-Gas,Experimental,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,
346.778215774,400.762089189,0.401062751581,Liquid-Gas,Experimental,NIST,Authors: Sage, B. H.;Schaafsma, J. G.;Lacey, W. N. Title: Phase Equilibria in Hydrocarbon Systems: Pressure-Volume-Temperature Relations and Thermal Properties of Propane. Citation: Ind. Eng. Chem.,1934,26, 1218-1224,,,,,,,,,
347.04887677,392.9,0.6,Liquid-Gas,Experimental,NIST,Authors: Holcomb, C. D.;Magee, J. W.;Haynes, W. M. Title: Density Measurements on Natural Gas Liquids Citation: Research Report RR-147,1995, Gas Processors Association Project No. 916, Tulsa OK,,,,,,,,,
348.060576,389.74,0.395,Liquid-Gas,Experimental,NIST,Authors: Sliwinski, P. Title: The lorentz-lorenz function of gaseous and liquid ethane, propane and butane Citation: Z. Phys. Chem. (Munich),1969,63, 263-79,,,,,,,,,,
348.130555,389.240066491,0.155594057796,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27, 1-11 (Derived),,,,,,,,,,
348.2,388.792801423,10.8504207769,Liquid-Gas,Experimental,NIST,Authors: Luna-Galicia, L. A.;Richon, D.;Renon, H. Citation: J. Chem. Eng. Data,1994,39, 424-431 (Derived),,,,,,,,,
352.5944,373.968404443,0.632217616412,Liquid-Gas,Experimental,NIST,Authors: Defibaugh, D. R.;Moldover, M. R. Title: Compressed and saturated liquid densities for 18 halogenated organic compounds Citation: J. Chem. Eng. Data,1997,42, 160-168 (Derived),,,,,,,,,,
353.140252804,366.0051,0.970134,Liquid-Gas,Experimental,NIST,Authors: Clegg, H. P.;Rowlinson, J. S. Title: Physical Properties of Some Fluorine Compounds and Their Solutions II. Part 2. The System Sulfur Hexafluoride + Propane Citation: Trans. Faraday Soc.,1955,51, 1333-40,,,,,,,,,,
357.191451218,358.7,0.6,Liquid-Gas,Experimental,NIST,Authors: Holcomb, C. D.;Magee, J. W.;Haynes, W. M. Title: Density Measurements on Natural Gas Liquids Citation: Research Report RR-147,1995, Gas Processors Association Project No. 916, Tulsa OK,,,,,,,,,
358.037807104,362.819162947,0.345150744813,Liquid-Gas,Experimental,NIST,Authors: Sage, B. H.;Schaafsma, J. G.;Lacey, W. N. Title: Phase Equilibria in Hydrocarbon Systems: Pressure-Volume-Temperature Relations and Thermal Properties of Propane. Citation: Ind. Eng. Chem.,1934,26, 1218-1224,,,,,,,,,
360,347.97,0.25,Liquid-Gas,Experimental,NIST,Authors: Kayukawa, Y.;Hasumoto, M.;Kano, Y.;Watanabe, K. Title: Liquid-Phase Thermodynamic Properties for Propane (1), n-Butane (2), and Isobutane (3) Citation: J. Chem. Eng. Data,2005,50, 556-564,,,,,,
360.901,345.402254218,4.27305425791,Liquid-Gas,Experimental,NIST,Authors: Reamer, H. H.;Sage, B. H.;Lacey, W. N. Title: Phase Equilibria in Hydrocarbon Systems - Volumetric Behavior of Propane Citation: Ind. Eng. Chem.,1949,41, 482-484 (Derived),,,,,,,,,
361.15,340.2,2.4,Liquid-Gas,Experimental,NIST,Authors: Niesen, V. G.;Rainwater, J. C. Title: Critical Locus, (Vapor + Liquid) Equilibria, and Coexisting Densities of (Carbon Dioxide + Propane) at Temperatures from 311 K to 361 K Citation: J. Chem. Thermodyn.,1990,22, 777-795,,,,,,,,
363.080131599,332,0.4,Liquid-Gas,Experimental,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,
363.12637,328.559826544,0.242356722731,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27,01/11/26,,,,,,,,,,
366.001168691,309.88,0.62,Liquid-Gas,Experimental,NIST,Authors: Abdulagatov, I. M.;Levina, L. N.;Zakar'yaev, Z. R.;Mamchenkova, O. N. Title: Thermodynamic properties of n-propane on the liquid-gas phase equilibrium curve near the critical point Citation: Zh. Prikl. Khim. (Leningrad),1996,69, 1625-1635,,,,,,,,
366.847146486,308.998181546,0.26822760605,Liquid-Gas,Experimental,NIST,Authors: Sage, B. H.;Schaafsma, J. G.;Lacey, W. N. Title: Phase Equilibria in Hydrocarbon Systems: Pressure-Volume-Temperature Relations and Thermal Properties of Propane. Citation: Ind. Eng. Chem.,1934,26, 1218-1224,,,,,,,,,
367.12557,298.045338416,0.24173351589,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27,01/11/26,,,,,,,,,,
368.07538,286.1,0.343,Liquid-Gas,Experimental,NIST,Authors: Sliwinski, P. Title: The lorentz-lorenz function of gaseous and liquid ethane, propane and butane Citation: Z. Phys. Chem. (Munich),1969,63, 263-79,,,,,,,,,,
368.12537,286.565592893,0.240230837356,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27,01/11/26,,,,,,,,,,
369.001,281.208154801,1.16619222392,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191 (Derived),,,,,,,,,,,
369.309037514,264.76,0.75,Liquid-Gas,Experimental,NIST,Authors: Abdulagatov, I. M.;Levina, L. N.;Zakar'yaev, Z. R.;Mamchenkova, O. N. Title: Thermodynamic properties of n-propane on the liquid-gas phase equilibrium curve near the critical point Citation: Zh. Prikl. Khim. (Leningrad),1996,69, 1625-1635,,,,,,,,
369.62507,250.963229394,0.229951909285,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27,01/11/26,,,,,,,,,,
369.62507,253.858508868,0.230904018843,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27,01/11/26,,,,,,,,,,
369.62507,255.962711648,0.231776264182,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27,01/11/26,,,,,,,,,,
369.72505,248.782799533,0.230184197118,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27,01/11/26,,,,,,,,,,
369.72505,251.30934809,0.23058662808,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27,01/11/26,,,,,,,,,,
369.72505,246.407018328,0.228562611994,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27,01/11/26,,,,,,,,,,
369.765042,240.293603178,0.226527784679,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27,01/11/26,,,,,,,,,,
369.785038,241.345717054,0.22719490859,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27,01/11/26,,,,,,,,,,
369.805034,241.321943184,0.22715015092,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27,01/11/26,,,,,,,,,,
369.815032,237.323071955,0.22607062987,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27,01/11/26,,,,,,,,,,
369.826,245.0292,0.8592,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,
369.828,245.4358,0.8589,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,
369.835028,229,0,Liquid-Gas,Experimental,NIST,Authors: Anisimov, M.A.;Beketov, V.G.;Voronov, V.P.;Nagaev, V.B.;Smirnov, V.A. Title: Experimental study of the isochoric heat capacity of propane in the one- and two- phase regions Citation: Thermophysical Properties of Substances,1982,16, 48-59,,,,,,,
369.836399432,241.37,2.67,Liquid-Gas,Experimental,NIST,Authors: Abdulagatov, I. M.;Levina, L. N.;Zakar'yaev, Z. R.;Mamchenkova, O. N. Title: Thermodynamic properties of n-propane on the liquid-gas phase equilibrium curve near the critical point Citation: Zh. Prikl. Khim. (Leningrad),1996,69, 1625-1635,,,,,,,,
369.853,224.6858,0.206,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,
369.855,234.5258,0.2078,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,
369.922122741,220.25,6.66,Liquid-Gas,Experimental,NIST,Authors: Abdulagatov, I. M.;Levina, L. N.;Zakar'yaev, Z. R.;Mamchenkova, O. N. Title: Thermodynamic properties of n-propane on the liquid-gas phase equilibrium curve near the critical point Citation: Zh. Prikl. Khim. (Leningrad),1996,69, 1625-1635,,,,,,,,
369.922122741,216.95,3,Liquid-Gas,Experimental,NIST,Authors: Clegg, H. P.;Rowlinson, J. S. Title: Physical Properties of Some Fluorine Compounds and Their Solutions II. Part 2. The System Sulfur Hexafluoride + Propane Citation: Trans. Faraday Soc.,1955,51, 1333-40,,,,,,,,,,
369.922122741,221.5,2.2,Liquid-Gas,Experimental,NIST,Authors: Honda, Y.;Sato, T,;Uematsu, M. Title: Critical parameters for propane determined by the image analysis Citation: J. Chem. Thermodyn.,2008,40, 208-211,,,,,,,,
369.922122741,214,3,Liquid-Gas,Experimental,NIST,Authors: Mousa, A. H. N. Title: The Physical properties of highly purified purified samnples of propane and n-hexane Citation: J. Chem. Thermodyn.,1977,9, 1063-5,,,,,,,,,,,
369.922122741,220.49,3,Liquid-Gas,Experimental,NIST,Authors: Sychev, V. V.;Vasserman, A. A.;Kozlov, A. D.;Tsymarny, V. A. Citation: Thermodynamic Properties of Propane,1989, Standards Publishing House: Moscow,,,,,,,,,
369.922122741,216,5,Liquid-Gas,Experimental,NIST,Authors: Yasumoto, M.;Uchida, Y.;Ochi, K.;Furuya, T.;Otake, K. Title: Critical Properties of Three Dimethyl Ether Binary Systems: Dimethyl Ether (RE-170) + Propane (HC-290), Butane (HC-600), and 2-Methyl Propane (HC-600A) Citation: J. Chem. Eng. Data,2005,50, 596-602,,,,,
