Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,
303.15,857.65,0.1,Liquid-Gas,Experimental,NIST,Authors: Mariano, A.;Mussari, L.;Camacho, A.;Canzonieri, S.;Postigo, M. Title: Thermophysical properties for the  ternary systems toluene (1) + benzene  (2) + methyl acetate (3), at various  temperatures from 288.15 K to  318.15 K Citation: Phys. Chem. Liq.,2013,51, 731-741,,,,,,,
303.15,857.64,0.72,Liquid-Gas,Experimental,NIST,Authors: Nain, A. K.;Chandra, P.;Pandey, J. D.;Gopal, S. Title: Densities, Refractive Indices, and Excess Properties of Binary Mixtures of 1,4-Dioxane with Benzene, Toluene, o-Xylene, m-Xylene, p-Xylene, and Mesitylene at Temperatures from (288.15 to 318.15) K Citation: J. Chem. Eng. Data,2008,53, 2654-2665,
303.15,857.1,1.7,Liquid-Gas,Experimental,NIST,Authors: Nayak, J.N.;Aralaguppi, M. I.;Aminabhavi, T. M. Title: Density, Viscosity, Refractive Index, and Speed of Sound in the Binary Mixtures of Ethyl Chloroacetate with Aromatic Liquids at 298.15,303.15, and 308.15 K Citation: J. Chem. Eng. Data,2002,47, 964-969,,,,,
303.15,857.7,0.13,Liquid-Gas,Experimental,NIST,Authors: Oswal, S.L.;Maisuria, M.M.;Gardas, R.L. Title: Speeds of sound, isentropic compressibilities, and excess molar volumes of cycloalkanes, alkanes and aromatic hydrocarbons at 303.15 K. II. Results for cycloalkanes + aromatic hydrocarbons Citation: J. Mol. Liq.,2004,109, 155-166,,,,,,,
303.15,857.6,0.5,Liquid-Gas,Experimental,NIST,Authors: Palaiologou, M. M.;Molinou, I. E. Title: Excess Volumes of Ethyl Acetate + Toluene, + o-Chlorotoluene, and + p- Chlorotoluene from 283.15 to 303.15 K Citation: J. Chem. Eng. Data,1995,40, 880-2,,,,,,,,,
303.15,857.5,0.1,Liquid-Gas,Experimental,NIST,Authors: Sun, Y.;Su, L.;Wang, H. Title: Volumetric properties of binary liquid mixtures: Application of the Prigogine Flory Patterson theory to excess molar volumes of dichloromethane with benzene or toluene Citation: J. Chem. Thermodyn.,2009,41, 1154-1161,,,,,,,,,,
308.141555,852.7,1.3,Liquid-Gas,Experimental,NIST,Authors: Ritzoulis, G.;Papadopoulos, N.;Jannakoudakis, D. Title: Densities, Viscosities, and Dielectric Constatns of Acetonitrile + Toluene at 15,25, and 35 deg. C Citation: J. Chem. Eng. Data,1986,31, 146-148,,,,,,
308.15,852.838,0.392,Liquid-Gas,Experimental,NIST,Authors: Gonzalez-Olmos, R.;Iglesias, M.;Goenaga, J. M.;Resa, J. M. Title: Influence of Temperature on Thermodynamic Properties of Methyl t-Butyl Ether (MTBE)+Gasoline Additives Citation: Int. J. Thermophys.,2007,28, 1199-1227,,,,,,,,,
308.15,852.7,4.8,Liquid-Gas,Experimental,NIST,Authors: Habibullah, M.;Das, K. N.;Mallik, M. A. K.;Hossain, N. K. M. A. Title: Determination of the excess molar and partial molar volumes of the constituents in the binary mixtures with tri-ethylamine Citation: Phys. Chem. Liq.,2006,44, 139-143,,,,,,,,,
308.15,852.8,2.25,Liquid-Gas,Experimental,NIST,Authors: Maken, S.;Deshwal, B. R.;Chadha, R.;Anu;Singh, K. C.;Kim, H.;Park, J.-W. Title: Topological and thermodynamic investigations of molecular interactions in binary mixtures: Molar excess volumes and molar excess enthalpies Citation: Fluid Phase Equilib.,2005,235, 42-49,,,,,,,
308.15,854.3,57.1,Liquid-Gas,Experimental,NIST,Authors: Narendra, K.;Srinivasu, C.;Kalpana, C.;Narayanamurthy, P. Title: Excess thermo dynamical parameters of binary mixtures  of toluene and mesitylene with anisaldehyde using ultrasonic  technique at different temperatures Citation: J. Therm. Anal. Calorim.,2012,107, 25-30,,,,,,,,,
308.15,852.9,0.8,Liquid-Gas,Experimental,NIST,Authors: Song, C.-Y.;Shen, H.-Z.;Zhao, J.-H.;Wang, L.-C.;Wang, F. -A. Title: Densities and Viscosities of Binary Mixtures of Vitamin K3 with Benzene, Toluene, Ethylbenzene, o-Xylene, m-Xylene, and p-Xylene from (303.15 to 333.15) K Citation: J. Chem. Eng. Data,2008,53, 1110-1115,,,
311.998,848.796633758,0.674717847059,Liquid-Gas,Experimental,NIST,Authors: Magee, J. W.;Bruno, T. J. Title: Isochoric (p,.rho.,T) Measurements for Liquid Toluene from 180 K to 400 K at Pressures to 35 MPa Citation: J. Chem. Eng. Data,1996,41, 900-905 (Derived),,,,,,,,,
313.0834,848.211,0.08,Liquid-Gas,Experimental,NIST,Authors: Anonymous, R. Title: Determination of the Density/temperature Relationship of Various Industrial Chemicals Citation: Report H&D Fitzgerald Ltd. to E. Yates, Chemical Cargo Inspection Assoc., Brussels Belgium,1992,,,,,,,,,,,,
313.140055,847.8,0.5,Liquid-Gas,Experimental,NIST,Authors: Gopal, K.;Rao, N. P. Title: Ultrasonic Studies in Binary Liquid Mixtures n-Decyl Alcohol as a Common Component Citation: Acustica,1983,54,115,,,,,,,,,,,
313.140055,848.365712181,1.01544556287,Liquid-Gas,Experimental,NIST,Authors: Jayalakshmi, T.;Reddy, K. S. (see subram k) Title: Excess volumes and excess viscosities of binary liquid mixtures: methylisobutylketone + benzene, toluene, chlorobenzene, bromobenzene and nitrobenzene Citation: Can. J. Chem.,1985,63,2824,,,,,,,,
313.140055,848.4,1.7,Liquid-Gas,Experimental,NIST,Authors: Kashiwagi, H.;Hashimoto, T.;Tanaka, Y.;Kubota, H.;Makita, T. Title: Thermal conductivity and density of toluene in the temperature range 273-373 K at pressures up to 250 MPa. Citation: Int. J. Thermophys.,1982,3, 201-215,,,,,,,,
313.140055,848.34,0.48,Liquid-Gas,Experimental,NIST,Authors: Katz, M.;Lobo, P. W.;Minano, A. S.;Solimo, H. Title: Viscosities, Densities, and refractive Indices of Binary Liquid Mixt. Citation: Can. J. Chem.,1971,49,2605,,,,,,,
313.15,848.2,0.9,Liquid-Gas,Experimental,NIST,Authors: Asfour, A. A.;Siddique, M. H. Title: Density-Composition Data for Eight Binary Systems Containing Toluene or Ethylbenzene and C8-C16 n-Alkanes at 293.15,298.15, 308.15 and 313.15 K Citation: J. Chem. Eng. Data,1990,35, 192-198,,,,,,,,,
313.15,848.2,0.13,Liquid-Gas,Experimental,NIST,Authors: Behroozi, M.;Zarei, H. Title: Volumetric properties of binary mixtures of tributylamine with benzene derivatives and comparison with ERAS model results at temperatures from (293.15 to 333.15) K Citation: J. Chem. Thermodyn.,2012,47, 276-287,,,,,,,,,,,
313.15,848.3,2.1,Liquid-Gas,Experimental,NIST,Authors: Bhalodia, J.;Sharma, S. Title: Viscometric, Acoustical and Spectroscopic Investigation  of b-Pinene with Benzene, Toluene, m-Xylene  and Mesitylene at 303.15, 308.15 and 313.15 K  and Atmospheric Pressure Citation: J. Solution Chem.,2013,42, 1794-1815,,,,,,,
313.15,848.231886423,0.434283192726,Liquid-Gas,Experimental,NIST,Authors: Comunas, M. J. P.;Lopez, E. R.;Pires, P.;Garcia, J.;Fernandez, J. Citation: Int. J. Thermophys.,2000,21, 831 (Derived),,,,,,,,
313.15,848.15,1.94,Liquid-Gas,Experimental,NIST,Authors: George, J.;Sastry V., N. Title: Densities, Excess Molar Volumes, Viscosities, Speeds of Sound, Excess Isentropic Compressibilities, and Relative Permittivities for CmH2m+1(OCH2CH2)nOH (m ) 1 or 2 or 4 andn ) 1) + Benzene, + Toluene, + (o-, m-, and p-) Xylenes, + Ethylbenzene, and + Cyclohexane Citation: J. Chem. Eng. Data,2003,48, 977-989
313.15,848.12,0,Liquid-Gas,Experimental,NIST,Authors: Gross, K.S. Title: Transport properties of the system 1-Ethyl-3-methylimidazoliumchlorid/ALCL3 in solvent of various classes from high dilution to the pure salt melt Citation: Ph.D. Thesis, University of Regensburg, Germany (1993),,,,,,,,,,,,,
313.15,848.21,0.24,Liquid-Gas,Experimental,NIST,Authors: Nain, A. K.;Sharma, R.;Ali, A.;Gopal, S. Title: Densities and Volumetric Properties of Binary Mixtures of Butyl Acrylate with Benzene, Toluene, o-Xylene, m-Xylene, p-Xylene, and Mesitylene at Temperatures from 288.15 K to 318.15 K Citation: Int. J. Thermophys.,2010,31, 1073-1091,,,,
313.15,848.2,0.4,Liquid-Gas,Experimental,NIST,Authors: Valencia, J. L.;Gonzalez-Salgado, D.;Troncoso, J.;Peleteiro, J.;Carballo, E.;Romani, L. Title: Thermophysical Characterization of Liquids Using Precise Density and Isobaric Heat Capacity Measurements As a Function of Pressure Citation: J. Chem. Eng. Data,2009,54, 904-915,,,,,,,
313.31,847.893696541,0.146354425615,Liquid-Gas,Experimental,NIST,Authors: Ihmels, E. C.;Gmehling, J. Title: Densities of Toluene, Carbon Dioxide, Carbonyl Sulfide, and Hydrogen Sulfide over a Wide Temperature and Pressure Range in the Sub- and Supercritical State Citation: Ind. Eng. Chem.,2001,40, 4470-7 (Derived),,,,,,,,
318.1285,843.536,0.6,Liquid-Gas,Experimental,NIST,Authors: Perkin, W. H. Title: LXIX. On Magnetic Rotatory Power, especially of Aromatic Compounds Citation: J. Chem. Soc.,1896,69, 1025-1257,,,,,,,,,,,
318.15,843.9,0.2,Liquid-Gas,Experimental,NIST,Authors: Kahl, H.;Wadewitz, T.;Winkelmann, J. Title: Surface Tension of Pure Liquids and Binary Liquid Mixtures Citation: J. Chem. Eng. Data,2003,48, 580-586,,,,,,,,,,
318.15,843.58,0.13,Liquid-Gas,Experimental,NIST,Authors: Moravkova, L.;Troncoso, J.;Skvorova, M.;Havlica, J.;Petrus, P.;Sedlakova, Z. Title: Volumetric behavior of the ternary system (methyl tert-butyl ether + methylbenzene + butan-1-ol) and its binary sub-system (methyl tert-butyl ether + butan-1-ol) within the temperature range (298.15 to 328.15) K Citation: J. Chem. Thermodyn.,2015,90, 59-70,,,,,,,
318.15,843.58,0.07,Liquid-Gas,Experimental,NIST,Authors: Moravkova, L.;Wagner, Z.;Linek, J. Title: Volumetric behaviour of binary liquid systems composed of toluene, isooctane, and methyl tert-butyl ether at temperatures from (298.15 to 328.15) K Citation: J. Chem. Thermodyn.,2009,41, 591-597,,,,,,,,
323,839.560050402,1.50320459454,Liquid-Gas,Experimental,NIST,Authors: Franck, E. U.;Kerschbaum, S.;Wiegand, G. Title: The density of toluene at high pressures to 673 K and 300 MPa Citation: Ber. Bunsenges. Phys. Chem.,1998,102, 1794-1797 (Derived),,,,,,,,,,
323.08707,839.7,2.3,Liquid-Gas,Experimental,NIST,Authors: Islam, N.;Waris, B. Title: Viscosities o Organic Liquids and the Free Volume Model Citation: Indian J. Chem., Sect. A: Inorg., Bio-inorg., Phys., Theor. Anal. Chem.,1976,14,30,,,,,,,
323.127,839.3,1,Liquid-Gas,Experimental,NIST,Authors: Kremann, R.;Meingast, R.;Gugl, F. Citation: Sitzungsber. Akad. Wiss. Wien, Math.-Naturwiss. Kl., Abt. 2B,1914,123,731,,,,,,,,
323.15,838.1,0.5,Liquid-Gas,Experimental,NIST,Authors: Akhtar, S.;Hossain, K. M. S.;Saleh, M. A. Title: VISCOSITY AND THERMODYNAMICS OF VISCOUS FLOW FOR THE SYSTEMS OF ISOMERIC PENTANOLS WITH TOLUENE Citation: Phys. Chem. Liq.,2002,40, 435-448,,,,,,,,,,
323.15,838.67,0.21,Liquid-Gas,Experimental,NIST,Authors: Chorqzewski, M.;Grolier, J.-P. E.;Randzio, S. L. Title: Isobaric Thermal Expansivities of Toluene Measured by Scanning Transitiometry at Temperatures from (243 to 423) K and Pressures up to 200 MPa Citation: J. Chem. Eng. Data,2010,55, 5489-5496,,,,,,,,,,
323.15,838.706,0.788,Liquid-Gas,Experimental,NIST,Authors: Gonzalez-Olmos, R.;Iglesias, M. Title: Temperature influence on mixing properties of {ethyl tert-butyl ether (ETBE) + gasoline additives} Citation: J. Chem. Thermodyn.,2007,39, 1557-1564,,,,,,,,,,,
323.15,838.23,1.51,Liquid-Gas,Experimental,NIST,Authors: Song, S.;Xia, S.;Ma, P.;Di, Z. Title: Densities and Viscosities of N-Formylmorpholine + Benzene, + Toluene at Different Temperatures and Atmospheric Pressures Citation: J. Chem. Eng. Data,2007,52, 591-595,,,,,,,,
323.15,838.91,16.8,Liquid-Gas,Experimental,NIST,Authors: Yang, S.-K.;Peng, S.-J.;Huang, J.-H.;Fan, L.-Q.;Yang, F.-X. Title: A study on densities and excess volumes in the (c-butyrolactone + aromatic hydrocarbon) system at various temperatures Citation: J. Chem. Thermodyn.,2007,39, 773-780,,,,,,,,
323.16,838.67,0.13,Liquid-Gas,Experimental,NIST,Authors: Xu, Z.;Meng, X.;Wu, J.;Liu, Z. Title: Development of a Vibrating-Wire Viscometer and Measurement of Saturated Liquid Viscosity of Methyl Tert-Butyl ether Citation: J. Eng. Thermophys.,2007,28, 4;189,,,,,,,,,
331.28,829.400666387,4.46761373567,Liquid-Gas,Experimental,NIST,Authors: Hocq, H.;Bur, Y.;Berro, C. Title: Densities of liquid water, toluene, and methanol at 240 to 450 K and up to 70 MPa and of gaseous methanol at 420 to 450 K and up to 2 MPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 79-86 (Derived),,,,,,,,
333.124,829.13,3.96,Liquid-Gas,Experimental,NIST,Authors: Prengle, H. W.;Felton, E. G.;Pike, M. A. Title: Thermodynamics of Solutions-Volume Change on Mixing for Four Systems Citation: J. Chem. Eng. Data,1967,12,193,,,,,,,,,,
333.124,828.4,1,Liquid-Gas,Experimental,NIST,Authors: Tyrer, D. Title: The volume of a solute in solution Citation: J. Chem. Soc.,1910,97, 2620-34,,,,,,,,,,,,
333.13437,828.95,2.19,Liquid-Gas,Experimental,NIST,Authors: Aicart, E.;Tardajos, G.;Diaz Pena, M. Citation: J. Chem. Eng. Data,1981,26, 283-8,,,,,,,,,,
333.13437,829.531314807,4.88566763594,Liquid-Gas,Experimental,NIST,Authors: Akhundov, T. S.;Abdullaev, F. G. Title: Thermal properties of benzene and toluene at the saturation Citation: Izv. Vyssh. Uchebn. Zaved., Neft Gaz,1977,7, 64-68,,,,,,,,,,
333.15,828.8,1,Liquid-Gas,Experimental,NIST,Authors: Watson, G.;Lafitte, T.;Zeberg-Mikkelsen, C. K.;Baylaucq, A.;Bessieres, D.;Boned, C. Title: Volumetric and derivative properties under pressure for the system 1-propanol + toluene: A discussion of PC-SAFT and SAFT-VR Citation: Fluid Phase Equilib.,2006,247, 121-134,,,,,,,
337.974,825.1,1.5,Liquid-Gas,Experimental,NIST,Authors: Walden, P.;Swinne, R. Title: Capillary constants of liquid esters Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1912,79,700,,,,,,,,,,
338.18336,824.2,13.1,Liquid-Gas,Experimental,NIST,Authors: Siddiqi, S. A.;Teja, A. S. Title: High pressure densities of mixtures of coal chemicals Citation: Chem. Eng. Commun.,1988,72, 159-169,,,,,,,,,,,
343.15,819.6,0.3,Liquid-Gas,Experimental,NIST,Authors: Prak, D. J. L.;Cowart, J. S.;McDaniel, A. M.;Trulove, P. C. Title: Density, Viscosity, Speed of Sound, Bulk Modulus, Surface Tension, and Flash Point of Binary Mixtures of n-Hexadecane + Ethylbenzene or + Toluene at (293.15 to 373.15) K and 0.1 MPa Citation: J. Chem. Eng. Data,2014,59, 3571-3585,,,,
343.15,820.3,0.88,Liquid-Gas,Experimental,NIST,Authors: Yang, C.;Liu, Z.;Lai, H.;Ma, P. Title: Thermodynamic properties of binary mixtures of N-methyl-2-pyrrolidinone with cyclohexane, benzene, toluene at (303.15 to 353.15) K and atmospheric pressure Citation: J. Chem. Thermodyn.,2007,39, 28-38,,,,,,,
343.15,820.17,2.17,Liquid-Gas,Experimental,NIST,Authors: Ye, W.;Shen, R.;Liu, W.;Chen, J. Title: Densities and volumetric properties of N-methyl-2-pyrrolidone with aromatic hydrocarbon at different temperature Citation: J. Chem. Thermodyn.,2007,39, 115-122,,,,,,,,,
348.15,815.1,1.4,Liquid-Gas,Experimental,NIST,Authors: Segovia, J. J.;Fandino, O.;Lopez, E. R.;Lugo, L.;Martin, C. M.;Fernandez, J. Title: Automated densimetric system: Measurements and uncertainties for compressed fluids Citation: J. Chem. Thermodyn.,2009,41, 632-638,,,,,,,
352,810.411299311,0.605738065045,Liquid-Gas,Experimental,NIST,Authors: Magee, J. W.;Bruno, T. J. Title: Isochoric (p,.rho.,T) Measurements for Liquid Toluene from 180 K to 400 K at Pressures to 35 MPa Citation: J. Chem. Eng. Data,1996,41, 900-905 (Derived),,,,,,,,,
353.123,810.15,0.5,Liquid-Gas,Experimental,NIST,Authors: Massart, L. Title: Methods and apparatus in use at the bureau of physical-chemical scales: ix experimental research on the variation of density as a function of the temperature for a series of ten hydrocarbons Citation: Bull. Soc. Chim. Belg.,1936,45,76,,,,,,,,,,,,
353.15,809.674,0.189,Liquid-Gas,Experimental,NIST,Authors: Sommer, D.;Kleinrahm, R.;Span, R.;Wagner, W. Title: Measurement and correlation of the (p, rho, T) relation of liquid cyclohexane, toluene, and ethanol in the temperature range from 233.15 K to 473.15 K at pressures up to 30 MPa for use as density reference liquids Citation: J. Chem. Thermodyn.,2010,43, 117-132,,,,,
353.15,810.5,2.86,Liquid-Gas,Experimental,NIST,Authors: Wang, H.;Wu, Y.;Dong, W. Title: A study of densities and volumetric properties of binary mixtures containing nitrobenzene at T = (293.15 to 353.15) K Citation: J. Chem. Thermodyn.,2005,37, 866-886,,,,,,,,,,
358.26,804.689311945,0.151908478504,Liquid-Gas,Experimental,NIST,Authors: Ihmels, E. C.;Gmehling, J. Title: Densities of Toluene, Carbon Dioxide, Carbonyl Sulfide, and Hydrogen Sulfide over a Wide Temperature and Pressure Range in the Sub- and Supercritical State Citation: Ind. Eng. Chem.,2001,40, 4470-7 (Derived),,,,,,,,
363.473035,799.47,0.3,Liquid-Gas,Experimental,NIST,Authors: Perkin, W. H. Title: XXIII.--On the Refractive Power of Certain Organic Compounds at Different Temperatures. Citation: Gazz. Chim. Ital.,1892,22,61,,,,,,,,,,,,
368.1235,798,20.2,Liquid-Gas,Experimental,NIST,Authors: Ling, T. D.;Van Winkle, M. Title: Properties of binary mixtures as a function of composition Citation: Chem. Eng. Data Ser.,1958,3, 88-95,,,,,,,,,,,
368.1235,794.618,1,Liquid-Gas,Experimental,NIST,Authors: Perkin, W. H. Title: LXIX. On Magnetic Rotatory Power, especially of Aromatic Compounds Citation: J. Chem. Soc.,1896,69, 1025-1257,,,,,,,,,,,
368.135368,794.809277643,0.515937639629,Liquid-Gas,Experimental,NIST,Authors: Albert, H. J.;Gates, J. A.;Wood, R. H.;Grolier, J.-P. E. Title: Densities of Toluene, of Butanol and of Their Binary Mixtures From 298 K to 400 K, and from 0.5 to 20.0 KPa Citation: Fluid Phase Equilib.,1985,20, 321-330 (Derived),,,,,,,
399.9769984,761.78841889,9.27613644471,Liquid-Gas,Experimental,NIST,Authors: Mcgregor, D. R. Title: A High Pressure, high temperature vibrating tube densimeter: densities of toluene, ethylbenzene, and 2,2,4-trimethylpentane. Citation: Ph.D. Thesis, Texas A & M Univ., College Station, TX (1989) (Derived),,,,,,,
403.22,758.667061097,0.155908699997,Liquid-Gas,Experimental,NIST,Authors: Ihmels, E. C.;Gmehling, J. Title: Densities of Toluene, Carbon Dioxide, Carbonyl Sulfide, and Hydrogen Sulfide over a Wide Temperature and Pressure Range in the Sub- and Supercritical State Citation: Ind. Eng. Chem.,2001,40, 4470-7 (Derived),,,,,,,,
403.697,758.107342819,3.46874218476,Liquid-Gas,Experimental,NIST,Authors: Masui, R. Title: Development of a magnetic suspension densimeter and measurement of the density of toluene Citation: Int. J. Thermophys.,2002,23, 921-935 (Derived),,,,,,,,,,,,
413.11637,747.831289261,4.08253695155,Liquid-Gas,Experimental,NIST,Authors: Akhundov, T. S.;Abdullaev, F. G. Title: Thermal properties of benzene and toluene at the saturation Citation: Izv. Vyssh. Uchebn. Zaved., Neft Gaz,1977,7, 64-68,,,,,,,,,,
413.132,749.113821138,0.609035626942,Liquid-Gas,Experimental,NIST,Authors: Rozhnov, M. S. Title: Phase and Volume Relationships in the Butadiene plus Hydrocarbon Systems Citation: Khim. Prom-st. (Moscow),1967,43,48,,,,,,,,,,,,
423,733.545178134,36.0772975357,Liquid-Gas,Experimental,NIST,Authors: Verveiko, V. N.;Mel'nikov, G. A.;Melikhov, Yu. F. Title: Accoustic and P-V-T study of halogenated benzenes and toluenes in a wide range of temperatures and pressures (to 600 MPa) Citation: Teplofiz. Svoistva Veshchestv Mater.,1991, , 5-16 (Derived),,,,,,,,,,
433.138,725.4,2,Liquid-Gas,Experimental,NIST,Authors: Francis, A. W. Title: Pressure-Temperature-Liquid Density Relations of Pure Hydrocarbons Citation: Ind. Eng. Chem.,1957,49,1779,,,,,,,,,,,,
448.111185,707.366425369,5.62500662402,Liquid-Gas,Experimental,NIST,Authors: Mamedov, A.M.;Akhundov, T.S.;Abdullaev, F.G.;Imanov, Sh.Yu. Title: Experimental investigation of the P-V-T dependence of toluene and xylenes at high pressures and temperatures (in Russian) Citation: Tr. Vses. Nauchno-Tekh. Konf. Termodin.," Sb. Dokl. Sekts. ""Teplofiz. Svoistva Veshchestv""", 3rd:275-82 (1969) (Derived),,,,,,,,,,
448.19,707.656970667,0.166141578016,Liquid-Gas,Experimental,NIST,Authors: Ihmels, E. C.;Gmehling, J. Title: Densities of Toluene, Carbon Dioxide, Carbonyl Sulfide, and Hydrogen Sulfide over a Wide Temperature and Pressure Range in the Sub- and Supercritical State Citation: Ind. Eng. Chem.,2001,40, 4470-7 (Derived),,,,,,,,
449.961,705.62,1.86,Liquid-Gas,Experimental,NIST,Authors: Hales, J. L.;Townsend, R. Title: Liquid Densities from 293 to 490 K of Nine Aromatic Hydrocarbons Citation: J. Chem. Thermodyn.,1972,4, 763-72,,,,,,,,,,,
493.11,647.458724506,3.14402099955,Liquid-Gas,Experimental,NIST,Authors: Akhundov, T. S.;Abdullaev, F. G. Title: Thermal properties of benzene and toluene at the saturation Citation: Izv. Vyssh. Uchebn. Zaved., Neft Gaz,1977,7, 64-68,,,,,,,,,,
493.19,648.269926859,0.196393504789,Liquid-Gas,Experimental,NIST,Authors: Ihmels, E. C.;Gmehling, J. Title: Densities of Toluene, Carbon Dioxide, Carbonyl Sulfide, and Hydrogen Sulfide over a Wide Temperature and Pressure Range in the Sub- and Supercritical State Citation: Ind. Eng. Chem.,2001,40, 4470-7 (Derived),,,,,,,,
533.110315,582.284560542,3.01300862733,Liquid-Gas,Experimental,NIST,Authors: Straty, G. C.;Ball, M. J.;Bruno, T. J. Title: PVT of Toluene at Temperatures to 673 K Citation: J. Chem. Eng. Data,1988,33, 115-117 (Derived),,,,,,,,,,
538.19,571.987011729,0.300440308592,Liquid-Gas,Experimental,NIST,Authors: Ihmels, E. C.;Gmehling, J. Title: Densities of Toluene, Carbon Dioxide, Carbonyl Sulfide, and Hydrogen Sulfide over a Wide Temperature and Pressure Range in the Sub- and Supercritical State Citation: Ind. Eng. Chem.,2001,40, 4470-7 (Derived),,,,,,,,
545.300000003,555.25,0.33,Liquid-Gas,Experimental,NIST,Authors: Abdulagatov, I. M.;Polikhronidi, N. G.;Bruno, T. J.;Batyrova, R. G.;Stepanov, G. V. Title: Measurements of the isochoric heat capacity, the critical point (TC, nC) and vapor liquid coexistence curve (TS, nS) of high-purity toluene near the critical point* Citation: Fluid Phase Equilib.,2008,263, 71-84,,,,,
573.111,479.294478528,0.298640156291,Liquid-Gas,Experimental,NIST,Authors: Akhundov, T. S.;Abdullaev, F. G. Title: Experimental Study of Specific Volumes of Toluene Citation: Izv. Vyssh. Uchebn. Zaved., Neft Gaz,1970,13, 67-69,,,,,,,,,,
573.111,478.011472275,1.85080923778,Liquid-Gas,Experimental,NIST,Authors: Akhundov, T. S.;Abdullaev, F. G. Title: Thermal properties of benzene and toluene at the saturation Citation: Izv. Vyssh. Uchebn. Zaved., Neft Gaz,1977,7, 64-68,,,,,,,,,,
582.61855414,423,42,Liquid-Gas,Experimental,NIST,Authors: Chirico, R. D.;Steele, W. V. Title: Reconciliation of Calorimetrically and Spectroscopically Derived Methyl Benzene. The Importance of the Third Virial Coefficient Citation: Ind. Eng. Chem. Res.,1994,33, 157-67,,,,,,,,,,,
583.19,439.832697475,1.06410736418,Liquid-Gas,Experimental,NIST,Authors: Ihmels, E. C.;Gmehling, J. Title: Densities of Toluene, Carbon Dioxide, Carbonyl Sulfide, and Hydrogen Sulfide over a Wide Temperature and Pressure Range in the Sub- and Supercritical State Citation: Ind. Eng. Chem.,2001,40, 4470-7 (Derived),,,,,,,,
591.890001,292.9,5.4,Liquid-Gas,Experimental,NIST,Authors: Polikhronidi, N. G.;Abdulagatov, I. M.;Magee, J. W.;Batyrova, R. G. Title: Isochoric heat capacity for toluene near phase trasitions and the critical point Citation: J. Chem. Eng. Data,2001,46, 1064-1071,,,,,,,,,
