Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,
293.08803,867,500,Liquid-Gas,Experimental,NIST,Authors: Garner, F. H.;Hall, R. T. W. Title: Vapor-Liquid Equilibria of C7-Hydrocarbon-furfural Systems I. Binary and Ternary Data for the System Methylcyclohexane-furfural Citation: J. Inst. Pet.,1955,41, 1-18,,,,,,,,,,,
293.09538,866.9,10.2,Liquid-Gas,Experimental,NIST,Authors: Rastorguev, Yu. L.;Pugach, V. V. Title: Study of the thermal conductivity of aromatic hydrocarbons at high pressures Citation: Izv. Vyssh. Uchebn. Zaved. Neft Gaz,1970,8, 69-72,,,,,,,,,,,
293.138,866.81,0.05,Liquid-Gas,Experimental,NIST,Authors: Forziati, A. F.;Glasgow, A. R.;Willingham, C. B.;Rossini, F. D. Title: Specification adn Properties of 29 Paraffin, 4 Alkylcyclopentanes, 10 Alkylcyclohexanes and 8 Alkylbenzene Hydrocarbons Citation: J. Res. Natl. Bur. Stand. (U. S.),1946,36,129,,,,,,,
293.138,867,0.2,Liquid-Gas,Experimental,NIST,Authors: Gibbons, L. C.;Thompson, J. F.;Reynolds, T. W.;Wright, J. I.;Chanan, H. H.;Lamberti, J. M.;Hipsher, H. F.;Karabinos, J. V. Title: The Purification and Physical Constants of Aromatic Compounds Citation: J. Am. Chem. Soc.,1946,68,1130,,,,,
293.138,866.41,4.03,Liquid-Gas,Experimental,NIST,Authors: Shraiber, L. S.;Pechenyuk, N. G. Title: TEMPERATURE VARIATION OF THE DENSITY OF CERTAIN ORGANIC LIQUIDS Citation: Zh. Fiz. Khim.,1965,39,429,,,,,,,,,,,
293.14537,866.9,4.3,Liquid-Gas,Experimental,NIST,Authors: Sperkan, V. S.;Yagupol'skii, L. M.;Rudenko, A. P.;Popov, V. K. Title: Study of the elastic properties of perfluorotoluene along the liquid-gas coexistence curve Citation: Teplofiz. Vys. Temp.,1982,20, 190-191,,,,,,,,,
293.15,866.88,0.29,Liquid-Gas,Experimental,NIST,Authors: Al-Kandary, J. A.;Aljimaz, A. S.;Abdul-Latif, A.-H. M. Title: Densities, Viscosities, and Refractive Indices of Binary Mixtures of Anisole with Benzene, Methylbenzene, Ethylbenzene, Propylbenzene, and Butylbenzene at (293.15 and 303.15) K Citation: J. Chem. Eng. Data,2006,51, 99-103,,,,
293.15,866.82,0.23,Liquid-Gas,Experimental,NIST,Authors: Cruz, R. d. C.;Martins, R. J.;Cardoso, M. E.;Barcia, O. E. Title: Measurement of the Viscosity of Binary and Ternary Systems Containing Benzaldehyde, Toluene, and Benzyl Alcohol at 293.15 K and 0.1 MPa Citation: J. Chem. Eng. Data,2002,2002, 927-31,,,,,,,
293.15,866.91,0.94,Liquid-Gas,Experimental,NIST,Authors: Zaoui-Djelloul-Daouadji, M.;Bendiaf, L.;Bahadur, I.;Negadi, A.;Ramjugernath, D.;Ebenso, E. E.;Negadi, L. Title: Volumetric and acoustic properties of binary systems (furfural or furfuryl alcohol + toluene) and (furfuryl alcohol + ethanol) at different temperatures Citation: Thermochim. Acta,2015,611, 47-55,,,,,,
293.15,866.8,0.2,Liquid-Gas,Experimental,NIST,Authors: Zeberg-Mikkelsen, C. K.;Lugo, L.;Garcya, J.;Fernandez, J. Title: Volumetric properties under pressure for the binary system ethanol + toluene Citation: Fluid Phase Equilib.,2005,235, 139-151,,,,,,,,,
293.15,866.92,0.49,Liquid-Gas,Experimental,NIST,Authors: Zhou, L.;Wang, Y.;Zhang, Y.;Shi, J.;Benson, G. C.;Lu, B. C.-Y. Title: Excess enthalpies of cyclohexane + (benzene or toluene) + cyclohexanone ternary mixtures at 298.15 K Citation: Thermochim. Acta,1991,189, 57-63,,,,,,,
293.2,866.81,0.28,Liquid-Gas,Experimental,NIST,Authors: Al-Hayan, M. N. M.;Al-Kandary, J. A. M. Title: Isobaric Vapor-Liquid Equilibria for Binary Mixtures of 1,2-Dibromoethane with Benzene, Toluene, Fluorobenzene, and Bromobenzene at Atmospheric Pressure Citation: J. Chem. Eng. Data,2006,51, 366-370,,,,,,,
293.75,866.33,0.68,Liquid-Gas,Experimental,NIST,Authors: Francesconi, R.;Comelli, F. Title: Excess enthalpies of binary mixtures containing 1,3-dioxolane and cyclic compounds Citation: Thermochim. Acta,1991,179, 149-55,,,,,,,,,,
297.98606,860.4,4.2,Liquid-Gas,Experimental,NIST,Authors: Terry, T. D.;Kepner, R. E.;Dinsmore, W. Title: Binary Systems Containing Isoamyl Alcohol or Active Amyl Alcohol Citation: J. Chem. Eng. Data,1960,5,403,,,,,,,,,,
298,862.1,0.3,Liquid-Gas,Experimental,NIST,Authors: Klofutar, C.;Paljk, S.;Golc-Teger, S. Title: Partial molar volumes and partial molar expansibilities of cholesterol in some aprotic solvents Citation: Thermochim. Acta,1992,196, 401-13,,,,,,,,,,
298.09438,862.5,0.9,Liquid-Gas,Experimental,NIST,Authors: Schmelzer, J.;Wolf, C. Title: Prediction of isobaric vapor-liquid equilibrium for  the system benzene-toluene-n-octane-p-xylene Citation: Chem. Tech.,1978,30, 305-307,,,,,,,,,,,
298.09438,862.24,5.02,Liquid-Gas,Experimental,NIST,Authors: Tanaka, R.;Benson, G. C. Title: Excess enthalpies and volumes for mixtures of chlorobenzene with some aromatic hydrocarbons at 298.15 K Citation: J. Chem. Eng. Data,1976,21, 320-324,,,,,,,,,,,
298.1,862.2,0.23,Liquid-Gas,Experimental,NIST,Authors: Jain, D. V. S.;Chadha, R.;Dhar, N. S. Title: Excess molar volumes of 2-methylethylbenzene with benzene, methylbenzene or ethylbenzene at various temperatures Citation: J. Solution Chem.,1994,23, 823-30,,,,,,,,,
298.136,862.3,0.4,Liquid-Gas,Experimental,NIST,Authors: Transue, L. F.;Washburn, E. R.;Kahler, F. H. Title: The Direct Measurement of the Spreading Pressures of Volatile Organic Liquids on Water Citation: J. Am. Chem. Soc.,1942,64,274,,,,,,,,,,
298.14437,862.25,5.49,Liquid-Gas,Experimental,NIST,Authors: Arenosa, R. L.;Menduina, C.;Tardajos, G.;Diaz Pena, M. Title: Excess enthalpies at 298.15 k for binary mixtures of toluene + an n-alkane Citation: J. Chem. Thermodyn.,1979,11,825,,,,,,,,,
298.14437,862.07,0.89,Liquid-Gas,Experimental,NIST,Authors: Chawla, B.;Mehta, S. K.;Jasra, R. V.;Suri, S. K. Title: Excess volumes of binary mixtures of cyclohexanone with some monosubstituted benzenes at 298.15 K Citation: Can. J. Chem.,1983,61, 2147-50,,,,,,,,,
298.14437,862.3,4.2,Liquid-Gas,Experimental,NIST,Authors: Deshpande, D. D.;Bhatgadde, L. G. Title: Heat Capacities at Constant Volume, Free Volumes, and Rotational Freedom in Some Liquids Citation: Aust. J. Chem.,1971,24, 1817-22,,,,,,,,,
298.14437,862.2,2.1,Liquid-Gas,Experimental,NIST,Authors: Dymond, J. H.;Malhotra, R.;Isdale, J. D.;Glen, N. F. Title: (p, .rho., T) or n-Heptane, Toluene, and Oct-1-ene in the Range 298 to 373 K and 0.1 to 400 MPa and Representation by the Tait Equation Citation: J. Chem. Thermodyn.,1988,20, 603-614,,,,,
298.14437,862.2,0.3,Liquid-Gas,Experimental,NIST,Authors: Grolier, J. -P. E.;Faradjzadeh, A. Citation: Int. DATA Ser.,1980, Sel. Data Mixtures, Ser. A, 8(2), 140-150,,,,,,,,,
298.14437,862.19,2.27,Liquid-Gas,Experimental,NIST,Authors: Hales, J. L.;Townsend, R. Title: Liquid Densities from 293 to 490 K of Nine Aromatic Hydrocarbons Citation: J. Chem. Thermodyn.,1972,4, 763-72,,,,,,,,,,,
298.14437,862.1,0.8,Liquid-Gas,Experimental,NIST,Authors: Mopsik, F. I. Title: Dielectric properties of slightly polar organic liquids as a function of pressure, volume, and temperature Citation: J. Chem. Phys.,1969,50, 2559-69,,,,,,,,,,
298.14437,862.6,0.7,Liquid-Gas,Experimental,NIST,Authors: Rai, R. D.;Shukla, R. K.;Shukla, A. K.;Pandey, J. D. Title: Ultrasonic Speds and Isentropic Compressibilities of Ternary Liquid Mixtures at (298.15 +- 0.01) K Citation: J. Chem. Thermodyn.,1989,21,125,,,,,,,,,
298.14437,862.24,10.15,Liquid-Gas,Experimental,NIST,Authors: Singh, P. P.;Nigam, R. K.;Sharma, S. P.;Aggarwal, S. Title: Molar excess volumes of ternary mixtures of nonelectrolytes. Citation: Fluid Phase Equilib.,1984,18,333,,,,,,,,,
298.14437,861.8,0.6,Liquid-Gas,Experimental,NIST,Authors: Woycicki, W.;Sadowska, K. W. Title: Heats and volumes of mixing in systems of benzene and toluene with piperidine and alpha-pipecoline Citation: Bull. Acad. Pol. Sci.-Chim.,1968,16,413,,,,,,,,,,,
298.148,862.2,0.08,Liquid-Gas,Experimental,NIST,Authors: Anonymous, R. Title: Determination of the Density/temperature Relationship of Various Industrial Chemicals Citation: Report H&D Fitzgerald Ltd. to E. Yates, Chemical Cargo Inspection Assoc., Brussels Belgium,1992,,,,,,,,,,,,
298.15,862.2,0.15,Liquid-Gas,Experimental,NIST,Authors: Alonso, L.;Arce, A.;Francisco, M.;Soto, A. Title: Liquid-liquid Equilibria of ([C2mim][EtSO4] + Thiophene + 2,2,4-Trimethylpentane) and ([C2mim][EtSO4] + Thiophene + Toluene): Experimental Data and Correlation Citation: J. Solution Chem.,2008,37, 1355-1363,,,,,,,
298.15,862.2,0.12,Liquid-Gas,Experimental,NIST,Authors: Awwad, A. M.;Al-Dujaili, A. H.;Syriagh, S. R. Title: Dielectric studies of binary mixtures of N-formylmorpholine and an aromatic hydrocarbon. Comparison with theory Citation: J. Mol. Liq.,2002,100, 129-141,,,,,,,,,,
298.15,862.22,0.08,Liquid-Gas,Experimental,NIST,Authors: Chylinski, K.;Gregorowicz, J. Title: Liquid-phase PVT data of alkylbenzenes Citation: Fluid Phase Equilib.,1991,64, 237-49,,,,,,,,,,,
298.15,862.17,0.1,Liquid-Gas,Experimental,NIST,Authors: Dominguez, I.;Calvar, N.;Gomez, E.;Dominguez, A. Title: Separation of toluene from cyclic hydrocarbons using 1-butyl-3-methylimidazolium methylsulfate ionic liquid at T = 298.15 K  and atmospheric pressure Citation: J. Chem. Thermodyn.,2011,43, 705-710,,,,,,,,,
298.15,862.27,0.14,Liquid-Gas,Experimental,NIST,Authors: Dreiseitlova, J.;Rehak, K.;Moravek, P. Title: Liquid-Liquid Equilibrium in Ternary Systems Containing Ethylene Glycol, Monofunctional Benzene Derivative, and Ethyl Acetate Citation: J. Chem. Eng. Data,2011,56, 1899-1902,,,,,,,,
298.15,862.3,0.8,Liquid-Gas,Experimental,NIST,Authors: Escudero, I.;Cabezas, J. L.;Coca, J. Title: Liquid-Liquid Equilibria for 2,3-Butanediol + Water + 4-(1-Methylpropyl) phenol + Toluene at 25 .degree.C Citation: J. Chem. Eng. Data,1996,41,02/05/26,,,,,,,,,
298.15,862.17,0.45,Liquid-Gas,Experimental,NIST,Authors: Fermeglia, M.;Lapasin, R.;Torriano, G. Title: Excess Volumes and Viscosities of Binary Systems Containing 4-Methyl-2-pentanone Citation: J. Chem. Eng. Data,1990,35, 260-265,,,,,,,,,,
298.15,862.1,0.9,Liquid-Gas,Experimental,NIST,Authors: Gama, L.;Tojo, J. Title: Densities, refractive indexes, and isobaric vapor-liquid equilibria for the ternary system cyclohexane + 2-butanol + toluene Citation: J. Chem. Eng. Data,1992,37,20/03/26,,,,,,,,,
298.15,862.3,5,Liquid-Gas,Experimental,NIST,Authors: Gmehling, J.;Meents, B. Citation: Int. DATA Ser.,1992, Sel. Data Mixtures, Ser. A, 20(3), 153-213,,,,,,,,,
298.15,862.21,0.12,Liquid-Gas,Experimental,NIST,Authors: Harris, K. R. Title: Temperature and density dependence of the viscosity of toluene Citation: J. Chem. Eng. Data,2000,45, 893-897,,,,,,,,,,,,
298.15,862.23,0.27,Liquid-Gas,Experimental,NIST,Authors: Hwang, I.-C.;Park, S.-J.;Lee, S.-Y.;Ahn, H.-S. Title: Isothermal vapor liquid equilibrium at 333.15K and excess molar volumes at 298.15K for the ternary system di-isopropyl ether + n-propyl alcohol + toluene and its binary subsystems Citation: Fluid Phase Equilib.,2008,270, 103-108,,,,,,,,,
