Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,
235.0075,1108.278647,0.044317063,Liquid-Gas,Experimental,NIST,Authors: Diller, D. E.;Ball, M. J. Title: Shear viscosity coefficients of compressed gaseous and liquid carbon dioxide at temperatures between 220 and 320 K and at pressures to 30 MPa Citation: Int. J. Thermophys.,1985,6,619,,,,,
240,1088.9,0.45,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
240,1088.89,0.45,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
240,1088.92,0.45,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
240,1088.75308286,237.829277898,Liquid-Gas,Experimental,NIST,Authors: Gilgen, R.;Kleinrahm, R.;Wagner, W. Title: Supplementary measurements of the (pressure, density, temperature) relation of carbon dioxide in the homogeneous region at temperatures from 2 20 K to 360 K and pressures up to 13 MPa Citation: J. Chem. Thermodyn.,1992,24, 1243-50 (Derived),,
240,1089.41786145,1.27122280868,Liquid-Gas,Experimental,NIST,Authors: Lau, W. R.;Hwang, C.-A.;Holste, J. C.;Hall, K. R.;Gammon, B. E.;Marsh, K. N. Title: Densities of Carbon Dioxide + Ethane Mixtures from 240 K to 450 K at Pressures up to 35 MPa Citation: J. Chem. Eng. Data,1997,42, 900-902 (Derived),
240.007,1089.398786,0.04356891,Liquid-Gas,Experimental,NIST,Authors: Diller, D. E.;Ball, M. J. Title: Shear viscosity coefficients of compressed gaseous and liquid carbon dioxide at temperatures between 220 and 320 K and at pressures to 30 MPa Citation: Int. J. Thermophys.,1985,6,619,,,,,
243.0088,1076.52,0.35,Liquid-Gas,Experimental,NIST,Authors: Saleh, B.;Wendland, M. Title: Measurement of Vapor Pressures and Saturated Liquid Densities of Pure Fluids with a New Apparatus Citation: J. Chem. Eng. Data,2005,50, 429-437,,,,,
243.0108,1076.52,0.35,Liquid-Gas,Experimental,NIST,Authors: Saleh, B.;Wendland, M. Title: Measurement of Vapor Pressures and Saturated Liquid Densities of Pure Fluids with a New Apparatus Citation: J. Chem. Eng. Data,2005,50, 429-437,,,,,
243.05639,1076.56716176,22.8862417846,Liquid-Gas,Experimental,NIST,Authors: Kirillin, V. A.;Ulybin, S. A.;Zherdev, E. N. Title: Carbon dioxide density in the -50 to +2000 range at up to 500 bars Citation: Teploenergetika,1970, , 136-141 (Derived),,,,
243.05639,1076.56716176,22.8862417846,Liquid-Gas,Experimental,NIST,Authors: Kirillin, V. A.;Ulybin, S. A.;Zherdev, E. P. Title: Experimental determination of the density of carbon dioxide at temperatures 0 to -50c and pressures up to 500 bars Citation: Teploenergetika,1970,17, 69-70 (Derived),,,,
243.05639,1076,0,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Timoshenko, N. I.;Kobelev, V. P. Title: Experimental study of carbon dioxide density at temperatures below 0 c Citation: Teploenergetika,1970,17, 59-60,,,,
243.116378,1071.87049254,48.2024405272,Liquid-Gas,Experimental,NIST,Authors: Popov, V. N.;Sayapov, M. Kh. Title: Density of carbon dioxide in the liquid phase Citation: Teploenergetika,1970,17, 76 (Derived),,,,,
245,1067.89,0.46,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
245.006,1067.086223,0.04268873,Liquid-Gas,Experimental,NIST,Authors: Diller, D. E.;Ball, M. J. Title: Shear viscosity coefficients of compressed gaseous and liquid carbon dioxide at temperatures between 220 and 320 K and at pressures to 30 MPa Citation: Int. J. Thermophys.,1985,6,619,,,,,
248.05539,1054,0,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Timoshenko, N. I.;Kobelev, V. P. Title: Experimental study of carbon dioxide density at temperatures below 0 c Citation: Teploenergetika,1970,17, 59-60,,,,
