Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,
279.999,884.184819,0.003608738,Liquid-Gas,Experimental,NIST,Authors: Diller, D. E.;Ball, M. J. Title: Shear viscosity coefficients of compressed gaseous and liquid carbon dioxide at temperatures between 220 and 320 K and at pressures to 30 MPa Citation: Int. J. Thermophys.,1985,6,619,,,,,
280,883.574,0.704,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
280,883.565,0.704,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
280,883.57,0.704,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
280,883.573,0.704,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
280,883.587,0.704,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
280,883.541,0.704,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
280,884.049779193,146.542621935,Liquid-Gas,Experimental,NIST,Authors: Gilgen, R.;Kleinrahm, R.;Wagner, W. Title: Supplementary measurements of the (pressure, density, temperature) relation of carbon dioxide in the homogeneous region at temperatures from 2 20 K to 360 K and pressures up to 13 MPa Citation: J. Chem. Thermodyn.,1992,24, 1243-50 (Derived),,
280,882.541755038,45.4237770241,Liquid-Gas,Experimental,NIST,Authors: Klimeck, J. Title: Continued development of a one-sinker densimeter for accurate measurement of the thermal properties of carbon dioxide, argon, nitrogen and methane Citation: Ph.D. Thesis, Bochum University, Germany (1997) (Derived),,,,,
280,884.177577109,1.0259329092,Liquid-Gas,Experimental,NIST,Authors: Lau, W. R.;Hwang, C.-A.;Holste, J. C.;Hall, K. R.;Gammon, B. E.;Marsh, K. N. Title: Densities of Carbon Dioxide + Ethane Mixtures from 240 K to 450 K at Pressures up to 35 MPa Citation: J. Chem. Eng. Data,1997,42, 900-902 (Derived),
281.489437334,875.504978516,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
281.59852,873.13856,0,Liquid-Gas,Experimental,NIST,Authors: Esper, G. J. Title: Direct and Indirect p-v-t Measurement of Fluids Citation: Fortschr.-Ber. VDI Z., Reihe,1987, No. 148,,,,,,
281.97800002,872.147175653,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
283.027403,864.659024644,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
283.08843336,863.81146381,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
283.09807,863.933512016,2.49701326539,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Kobelev, V. P.;Timoshenko, N. I. Title: Density of carbon dioxide at 0 - 35 c and up to 300 bars Citation: Teploenergetika,1968,15, 81-83 (Derived),,,,
283.09807,863.7,0,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Timoshenko, N. I.;Kobelev, V. P. Title: Experimental study of carbon dioxide density at temperatures below 0 c Citation: Teploenergetika,1970,17, 59-60,,,,
283.15,862.225958103,1.40388372887,Liquid-Gas,Experimental,NIST,Authors: Mazzoccoli, M.;Bosio, B.;Arato, E. Title: Pressure-density-temperature measurements of binary  mixtures rich in CO2 for CCS applications Citation: J. Chem. Eng. Data,2012,57, 2774-2783 (Derived),,,,
283.367989,859.688576731,11.8292310559,Liquid-Gas,Experimental,NIST,Authors: Popov, V. N.;Sayapov, M. Kh. Title: Density of carbon dioxide in the liquid phase Citation: Teploenergetika,1970,17, 76 (Derived),,,,,
283.367989,859.69432335,1.90077020147,Liquid-Gas,Experimental,NIST,Authors: Popov, V. N.;Sayapov, M. Kh. Title: The density of liquid carbon dioxide Citation: Teploenergetika,1970, , 76 (Derived),,,,,
283.5116,858.57,0.39,Liquid-Gas,Experimental,NIST,Authors: Saleh, B.;Wendland, M. Title: Measurement of Vapor Pressures and Saturated Liquid Densities of Pure Fluids with a New Apparatus Citation: J. Chem. Eng. Data,2005,50, 429-437,,,,,
283.5154,858.55,0.39,Liquid-Gas,Experimental,NIST,Authors: Saleh, B.;Wendland, M. Title: Measurement of Vapor Pressures and Saturated Liquid Densities of Pure Fluids with a New Apparatus Citation: J. Chem. Eng. Data,2005,50, 429-437,,,,,
283.647684823,856.206225681,0,Liquid-Gas,Experimental,NIST,Authors: Bierlein, J. A.;Kay, W. B. Title: Phase Equilibrium Properties of System Carbon Dioxide-Hydrogen Sulfide sulfide Citation: Ind. Eng. Chem.,1953,45,618,,,,,
283.857842,857.402134518,6.01424519577,Liquid-Gas,Experimental,NIST,Authors: Bashkatov, N. V.;Ermakov, G. V. Title: Study of the pressure, volume, temperature data for liquid carbon dioxide in the metastability region Citation: Teplofiz. Vys. Temp.,1987,25, 178 (Derived),,,
283.9655068,857.119284,0,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Blaisse, B.;Michels, C. Title: The Isotherms of Carbon Dioxide in the Neighborhood of the Critical Point and Around the Coexistence Line Citation: Proc. R. Soc. London, Ser. A,1937,160, 358-375,,,
284.30999998,854.907232396,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
284.34328,854.7,0.6,Liquid-Gas,Experimental,NIST,Authors: Lowry, H. H.;Erickson, W. R. Title: The Densities of Coexisting Liquid and Gaseous Carbon Dioxide and the Solubility of Water in Liquid Carbon Dioxide. Citation: J. Am. Chem. Soc.,1927,49, 2729-2734,,,,,
284.449327333,853.045145741,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
284.9975,848.097439,0.033930939,Liquid-Gas,Experimental,NIST,Authors: Diller, D. E.;Ball, M. J. Title: Shear viscosity coefficients of compressed gaseous and liquid carbon dioxide at temperatures between 220 and 320 K and at pressures to 30 MPa Citation: Int. J. Thermophys.,1985,6,619,,,,,
285,847.067,0.799,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
285.42043332,845.778630815,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
285.898457333,841.337307457,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
286.47530002,836.445764069,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
287.274853,829.9464926,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
287.58573336,827.122568592,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
287.980755764,821.063432836,0,Liquid-Gas,Experimental,NIST,Authors: Bierlein, J. A.;Kay, W. B. Title: Phase Equilibrium Properties of System Carbon Dioxide-Hydrogen Sulfide sulfide Citation: Ind. Eng. Chem.,1953,45,618,,,,,
288.146555,822.717898562,3.47907356303,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Kobelev, V. P.;Timoshenko, N. I. Title: Density of carbon dioxide at 0 - 35 c and up to 300 bars Citation: Teploenergetika,1968,15, 81-83 (Derived),,,,
288.146555,821.5,0,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Timoshenko, N. I.;Kobelev, V. P. Title: Experimental study of carbon dioxide density at temperatures below 0 c Citation: Teploenergetika,1970,17, 59-60,,,,
288.34088,821.6,0.6,Liquid-Gas,Experimental,NIST,Authors: Lowry, H. H.;Erickson, W. R. Title: The Densities of Coexisting Liquid and Gaseous Carbon Dioxide and the Solubility of Water in Liquid Carbon Dioxide. Citation: J. Am. Chem. Soc.,1927,49, 2729-2734,,,,,
288.619046,818.004766506,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
288.69626664,817.435756652,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
289.216234,811.532127549,18.3617672683,Liquid-Gas,Experimental,NIST,Authors: Bashkatov, N. V.;Ermakov, G. V. Title: Study of the pressure, volume, temperature data for liquid carbon dioxide in the metastability region Citation: Teplofiz. Vys. Temp.,1987,25, 178 (Derived),,,
289.80669998,807.602833152,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
289.951024333,806.401961941,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
290,804.716,0.952,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
290,804.703,0.952,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
290,806.428960947,100.542864077,Liquid-Gas,Experimental,NIST,Authors: Gilgen, R.;Kleinrahm, R.;Wagner, W. Title: Supplementary measurements of the (pressure, density, temperature) relation of carbon dioxide in the homogeneous region at temperatures from 2 20 K to 360 K and pressures up to 13 MPa Citation: J. Chem. Thermodyn.,1992,24, 1243-50 (Derived),,
290.33968,804.5,0.7,Liquid-Gas,Experimental,NIST,Authors: Lowry, H. H.;Erickson, W. R. Title: The Densities of Coexisting Liquid and Gaseous Carbon Dioxide and the Solubility of Water in Liquid Carbon Dioxide. Citation: J. Am. Chem. Soc.,1927,49, 2729-2734,,,,,
290.91713332,797.371964627,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
291.02799356,790.709703,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
291.05258864,790.709703,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
291.100779,790.709703,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
291.13887138,790.709703,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
291.13887138,790.709703,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
291.17286458,790.709703,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
291.17386438,790.709703,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
291.17586398,790.709703,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
291.17646386,790.709703,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
291.206381667,794.585788598,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
291.22185478,790.709703,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
291.23385238,790.709703,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
291.23645186,790.709703,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
291.26884538,790.709703,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
291.27884338,790.709703,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
291.29733968,790.709703,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
291.885622,783.5,3.7,Liquid-Gas,Experimental,NIST,Authors: Bashkatov, N. V.;Ermakov, G. V. Title: Study of the pressure, volume, temperature data for liquid carbon dioxide in the metastability region Citation: Teplofiz. Vys. Temp.,1987,25,178,,,
291.941738553,783.078291815,0,Liquid-Gas,Experimental,NIST,Authors: Bierlein, J. A.;Kay, W. B. Title: Phase Equilibrium Properties of System Carbon Dioxide-Hydrogen Sulfide sulfide Citation: Ind. Eng. Chem.,1953,45,618,,,,,
291.97200002,786.694004651,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
292.466736,782.1552929,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
293.0120756,776.846868,0,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Blaisse, B.;Michels, C. Title: The Isotherms of Carbon Dioxide in the Neighborhood of the Critical Point and Around the Coexistence Line Citation: Proc. R. Soc. London, Ser. A,1937,160, 358-375,,,
293.0120756,777.19894,0,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Blaisse, B.;Michels, C. Title: The Isotherms of Carbon Dioxide in the Neighborhood of the Critical Point and Around the Coexistence Line Citation: Proc. R. Soc. London, Ser. A,1937,160, 358-375,,,
293.08243336,775.444441429,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
293.0826,774.28,0.41,Liquid-Gas,Experimental,NIST,Authors: Saleh, B.;Wendland, M. Title: Measurement of Vapor Pressures and Saturated Liquid Densities of Pure Fluids with a New Apparatus Citation: J. Chem. Eng. Data,2005,50, 429-437,,,,,
293.0862,774.23,0.41,Liquid-Gas,Experimental,NIST,Authors: Saleh, B.;Wendland, M. Title: Measurement of Vapor Pressures and Saturated Liquid Densities of Pure Fluids with a New Apparatus Citation: J. Chem. Eng. Data,2005,50, 429-437,,,,,
293.115376,773.762622414,0.948276410829,Liquid-Gas,Experimental,NIST,Authors: Popov, V. N.;Sayapov, M. Kh. Title: The density of liquid carbon dioxide Citation: Teploenergetika,1970, , 76 (Derived),,,,,
293.138,765.213717947,29.1098885434,Liquid-Gas,Experimental,NIST,Authors: Kennedy, G. C. Title: Pressure-volume-temperature relations in carbon dioxide at elevated temperatures and pressures Citation: Am. J. Sci.,1954,252, 225-241 (Derived),,,,,,
293.14537,777.494531938,19.0357346089,Liquid-Gas,Experimental,NIST,Authors: Kirillin, V. A.;Ulybin, S. A.;Zherdev, E. N. Title: Carbon dioxide density in the -50 to +2000 range at up to 500 bars Citation: Teploenergetika,1970, , 136-141 (Derived),,,,
293.14537,777.494531938,19.0357346089,Liquid-Gas,Experimental,NIST,Authors: Kirillin, V. A.;Ulybin, S. A.;Zherdev, E. P. Title: Carbon dioxide density on the 35,30, 20 and 10 isotherms and at pressures up to 500 bars Citation: Teploenergetika,1969,16, 92-3 (Derived),,
293.14537,773.761978956,5.73695315453,Liquid-Gas,Experimental,NIST,Authors: Popov, V. N.;Sayapov, M. Kh. Title: Density of carbon dioxide in the liquid phase Citation: Teploenergetika,1970,17, 76 (Derived),,,,,
293.14537,775.697865393,1.92609466408,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Kobelev, V. P.;Timoshenko, N. I. Title: Density of carbon dioxide at 0 - 35 c and up to 300 bars Citation: Teploenergetika,1968,15, 81-83 (Derived),,,,
293.14537,774.2,0,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Timoshenko, N. I.;Kobelev, V. P. Title: Experimental study of carbon dioxide density at temperatures below 0 c Citation: Teploenergetika,1970,17, 59-60,,,,
293.15,773.27848102,1.43837449175,Liquid-Gas,Experimental,NIST,Authors: Mazzoccoli, M.;Bosio, B.;Arato, E. Title: Pressure-density-temperature measurements of binary  mixtures rich in CO2 for CCS applications Citation: J. Chem. Eng. Data,2012,57, 2774-2783 (Derived),,,,
293.375324,775.438387334,23.7579527062,Liquid-Gas,Experimental,NIST,Authors: Popov, V. N.;Sayapov, M. Kh. Title: Density of carbon dioxide in the liquid phase Citation: Teploenergetika,1970,17, 76 (Derived),,,,,
293.375324,775.438806667,3.87262640328,Liquid-Gas,Experimental,NIST,Authors: Popov, V. N.;Sayapov, M. Kh. Title: The density of liquid carbon dioxide Citation: Teploenergetika,1970, , 76 (Derived),,,,,
293.69337776,769.351258349,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
294.30423332,763.51836424,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
294.920619667,755.742468162,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
295,752.641,1.101,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
295,752.652,1.101,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
295,752.613,1.101,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
295,752.616,1.101,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
295,747.210900514,96.4001164001,Liquid-Gas,Experimental,NIST,Authors: Falco, N.;Kiran, E. Title: Volumetric properties of ethyl acetate + carbon dioxide binary fluid mixtures at  high pressures Citation: J. Supercrit. Fluids,2012,61, 9-24 (Derived),,,,,
295.41488888,750.832443182,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
295.630049634,742.141652614,0,Liquid-Gas,Experimental,NIST,Authors: Bierlein, J. A.;Kay, W. B. Title: Phase Equilibrium Properties of System Carbon Dioxide-Hydrogen Sulfide sulfide Citation: Ind. Eng. Chem.,1953,45,618,,,,,
296.03684,742.2,0.7,Liquid-Gas,Experimental,NIST,Authors: Lowry, H. H.;Erickson, W. R. Title: The Densities of Coexisting Liquid and Gaseous Carbon Dioxide and the Solubility of Water in Liquid Carbon Dioxide. Citation: J. Am. Chem. Soc.,1927,49, 2729-2734,,,,,
296.097926556,741.591149369,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
296.46996668,736.862708525,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
297,727.135,1.395,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
297,733.446975863,211.121664132,Liquid-Gas,Experimental,NIST,Authors: Gilgen, R.;Kleinrahm, R.;Wagner, W. Title: Supplementary measurements of the (pressure, density, temperature) relation of carbon dioxide in the homogeneous region at temperatures from 2 20 K to 360 K and pressures up to 13 MPa Citation: J. Chem. Thermodyn.,1992,24, 1243-50 (Derived),,
297.297446556,725.487852624,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
297.35142862,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.35142862,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.36692552,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.36692552,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.42041482,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.42041482,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.47230444,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.47230444,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.49729944,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.52469396,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
