Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,
293.15,790.694,0.489,Liquid-Gas,Experimental,NIST,Authors: Alonso, I.;Alonso, V.;Mozo, I.;Garcia de la Fuente, I.;Gonzalez, J. A.;Cobos, J. C. Title: Thermodynamics of Ketone + Amine Mixtures. I. Volumetric and Speed of Sound Data at (293.15,298.15, and 303.15) K for 2-Propanone + Aniline, + N-Methylaniline, or + Pyridine Systems Citation: J. Chem. Eng. Data,2010,55, 2505-2511,,
293.15,790.04,0.34,Liquid-Gas,Experimental,NIST,Authors: Enders, S.;Kahl, H.;Winkelmann, J. Title: Surface Tension of the Ternary System Water + Acetone + Toluene Citation: J. Chem. Eng. Data,2007,52, 1072-1079,,,,,,,,,
293.15,791.11,0.15,Liquid-Gas,Experimental,NIST,Authors: Gonzalez, B.;Dominguez, D.;Tojo, J. Title: Physical properties of the binary systems methylcyclopentane with ketones (acetone, butanone and 2-pentanone) at T = (293.15,298.15, and 303.15) K. New UNIFAC-VISCO interaction parameters Citation: J. Chem. Thermodyn.,2006,38, 707-716,,,,,,
293.15,789.96,0.154,Liquid-Gas,Experimental,NIST,Authors: Krakowiak, J. Title: Apparent molar volumes and compressibilities of tetrabutyl-ammonium bromide in organic solvents Citation: J. Chem. Thermodyn.,2011,43, 882-894,,,,,,,,,,,
293.15,790.21,1.01,Liquid-Gas,Experimental,NIST,Authors: Li, H.;Han, Y.;Huang, C.;Yang, C. Title: (Liquid + liquid) equilibria for (water + 1-propanol or acetone + .beta.-citronellol) at different temperatures Citation: J. Chem. Thermodyn.,2015,86, 20-26,,,,,,,,
293.15,790.1,0.4,Liquid-Gas,Experimental,NIST,Authors: Papaioannou, D.;Ziakas, D.;Panayioton, C. Title: Volumetric Properties of Binary Mixtures 1. 2-Propanone + 2,2,4-Trimethyl- pentane and n-Heptane + Ethanol Mixtures Citation: J. Chem. Eng. Data,1991,36, 35-39,,,,,,,
293.15,790.08,0.4,Liquid-Gas,Experimental,NIST,Authors: Shen, S.;Wang, Y.;Feng, H.;Shi, J. Title: Measurement of excess enthalpies for alkane-ketone systems Citation: Nanjing Huagong Xueyuan Xuebao,1991,13, 50-2,,,,,,,,
293.15,790.5,4.5,Liquid-Gas,Experimental,NIST,Authors: Vasil'eva, I. I.;Gryaznov, A. K.;Zakoshanskii, V. M.;Naumova, A. A.;Polyakov, A. A. Title: Liquid-vapor equilibria in the acetone-phenol system Citation: Zh. Prikl. Khim. (Leningrad),1991,64, 444-8,,,,,,,
293.15,784.3,2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Dong, J.;Wang, H.;Lin, C.;Huang, Z.;Ye, C. Title: Liquid Liquid Equilibrium for the Ternary System Acetone Oxime Methyl Ether Acetone Water Citation: J. Chem. Eng. Data,2013,58, 1602-1605,,,,,,,
293.15,782.9,4.46,Liquid-Gas,Experimental - Rejected,NIST,Authors: Govindarajan, S.;Kannappan, V.;Naresh, M. D.;Venkataboopathy, K.;Lokanadam, B. Title: Ultrasonic studies on the molecular interaction of gallic acid in aqueous methanol and acetone solutions and the role of gallic acid as viscosity reducer Citation: J. Mol. Liq.,2003,107, 289-316,,,,,,,
293.15,788,1,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hu, F.-H.;Wang, L. -S.;Cai, S.-F. Title: Solubilities of Methyldiphenylphosphine Oxide in Selected Solvents Citation: J. Chem. Eng. Data,2010,55, 492-495,,,,,,,,,
293.15,784.4,5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Jiang, H.;Li, H.;Wang, C.;Tan, T.;Han, S.-J. Title: (Vapour + liquid) equilibria for (2,2-dimethoxypropane + methanol) and (2,2-dimethoxypropane + acetone) Citation: J. Chem. Thermodyn.,2003,35, 1567-1572,,,,,
293.15,784.5,0.3,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wormald, C. J.;Mayr, J. C. Title: Benzene-dimethyl Ketone Association. Excess Molar Enthalpy of (Cyclohexane + Dimethyl Ketone)(g) and (Benzene + Dimethyl Ketone)(g) from Temperatures of 353.2 to 403.2 K Citation: J. Chem. Soc., Faraday Trans.,1998,94, 207-12,,,,,,,,,
293.15,784.6,3,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yi, W.;Wang, C.;Li, H.;Han, S. Title: Isothermal and Isobaric Vapor-Liquid Equilibria of the Ternary System of 2,2-Dimethoxypropane + Acetone + Methanol Citation: J. Chem. Eng. Data,2005,50, 1837-1840,,,,,,,
293.657792,792.016473943,0.771566816846,Liquid-Gas,Experimental - Rejected,NIST,Authors: Tyrer, D. Title: Latent Heats of Vaporizationn of Mixed Liquids. Part III. Mixtures of Associated with Non-associated Liquids. New Criteria for the Detection of Solvates in Mixtures of Liquids Citation: J. Chem. Soc. Trans.,1912,101, 1104-13,,,,,,,,,,,
295.1,791,7,Liquid-Gas,Experimental,NIST,Authors: Salem, A. -B. S. H. Title: Liquid-liquid equilibria for the systems triethylene glycol-toluene- heptane, propylene carbonate-toluene-heptane and propylene carbonate-o- xylene-heptane Citation: Fluid Phase Equilib.,1993,86, 351-361,,,,,,,,,,
295.1372,789.86,0.5,Liquid-Gas,Experimental,NIST,Authors: McElroy, R.;Krug, S. Citation: J. Soc. Chem. Ind. (London),1893,12,177,,,,,,,,,,
295.3871,789.84,0.87,Liquid-Gas,Experimental - Rejected,NIST,Authors: Felsing, W. A.;Durban, S. A. Title: The vapor pressures, densities, and some derived quantities for acetone Citation: J. Am. Chem. Soc.,1926,48,2885,,,,,,,,
295.9948,789.9,1.4,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kerchove, F. V.;De Vijlder, M. Title: Some Physicochemical Properties of the Binary Mixtures Heptane-Propanone and Heptane-Ethyl Acetate Citation: J. Chem. Eng. Data,1977,22, 333-337,,,,,,,,,,
295.9948,789.1,1.1,Liquid-Gas,Experimental - Rejected,NIST,Authors: Singh, S.;Sivanarayana, K.;Kushwaha, R.;Prakash, S. Title: Ultrasound study of binary mixtures of acetone with ethylene glycol, benzene and toluene Citation: J. Chem. Eng. Data,1979,24, 279-81,,,,,,,
296.09478,786.193,0.808,Liquid-Gas,Experimental,NIST,Authors: Prasad, N.;Prakash, S. Title: Sound Velocities and related Properties in Ternary Solutions of 0-Xylene Citation: J. Chem. Eng. Data,1977,22, 49-50,,,,,,,,,,
296.1368,770,1.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Faust, O. Title: The Viscosity of Liquid Mixtures, their dependence on Temperature and the relation between the Viscosity of Liquids with their Vapor Pressures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1912,79,97,,,,,,,,,
297.1364,787.48,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: McElroy, R.;Krug, S. Citation: J. Soc. Chem. Ind. (London),1893,12,177,,,,,,,,,,
298,784.2,0.7,Liquid-Gas,Experimental,NIST,Authors: McLure, I. A.;Pegg, I. L. Title: Excess volumes of (hexadecane + propanone) at the temperatures T = 299.15 K and T = 305.15 K and orthobaric densities of propanone from T = 288.15 K to T = 323.15 K Citation: J. Chem. Thermodyn.,1996,28, 319-328,,,,,,,,,,
298.08602,785.2,1.1,Liquid-Gas,Experimental,NIST,Authors: Adams, W. A.;Laidler, K. J. Title: Effects of Pressure and Temperature on the structure of liquid acetone Citation: Can. J. Chem.,1967,45, 123-139,,,,,,,,,,
298.08602,785.01,0.77,Liquid-Gas,Experimental,NIST,Authors: Brown, I.;Fock, W. Title: Heats of mixing III. Acetone and alcohol solutions Citation: Aust. J. Chem.,1957,10,417,,,,,,,,,,
298.08602,783.9302,499,Liquid-Gas,Experimental,NIST,Authors: Brunjes, A. S.;Bogart, M. J. P. Title: Vapor-liquid equilibria for commercially important systems of organic solvents: the binary systems ethanol - n-butanol; acetone - water, and isopropanol - water Citation: Ind. Eng. Chem.,1943,35,255,,,,,,,,,
298.08602,785.3,0.9,Liquid-Gas,Experimental,NIST,Authors: Kurtz, S. S.;Camin, D. L.;Thompson, A. R. Title: Refractive index + density slope associated with volume change on mixing Citation: J. Chem. Eng. Data,1965,10, 335-339,,,,,,,,,
298.08602,784.83,5.16,Liquid-Gas,Experimental,NIST,Authors: Schnelle, K. B.;Canjar, L. N. Title: Vapor-liquid phase equilibrium at atmospheric pressure Citation: Chem. Eng. Sci.,1962,17, 189-202,,,,,,,,,,
298.08602,781.707,0.8,Liquid-Gas,Experimental - Rejected,NIST,Authors: Murphy, N. F.;Lastovica, J. E.;Fallis, J. G. Title: Correlation of Interfacial Tension of Two-Phase Three-Component Systems Citation: Ind. Eng. Chem.,1957,49, 1035-1042,,,,,,,,,
298.08602,787.078,0.7,Liquid-Gas,Experimental - Rejected,NIST,Authors: Teitel'baum, B. Ya.;Ganelina, S. G.;Gortalova, T. A. Title: Polythermal investigation of surface tension of aqueous solutions of acetone, methyl ethyl ketone, pyridine, and cloral Citation: Zh. Fiz. Khim.,1951,25, 1043-1049,,,,,,
298.09438,785.2,5,Liquid-Gas,Experimental,NIST,Authors: Eduljee, G. H.;Boyes, A. P. Title: Viscosity of Some Binary Liquid Mixtures of Oleic Acid and Triolein with Selected Solvents Citation: J. Chem. Eng. Data,1980,25,249,,,,,,,,,,
298.09438,784.8,0.5,Liquid-Gas,Experimental,NIST,Authors: Maripuri, V. O.;Ratcliff, G. A. Title: Measurement of isothermal vapor-liquid equilibria for acetone + n-heptane mixtures using modified gillespie still Citation: J. Chem. Eng. Data,1972,17, 366-9,,,,,,,,,,
298.09438,785.13,0.68,Liquid-Gas,Experimental,NIST,Authors: Prakash, S.;Sivanarayana, K.;Prakash, O. Title: Thermodynamic and transport properties of binary liquid systems Citation: Can. J. Chem.,1980,58, 942-5,,,,,,,,,
298.09438,795.1,0.8,Liquid-Gas,Experimental - Rejected,NIST,Authors: Paz Andrade, M. I.;Casas, M. I. Title: Enthalpies of mixtures of the acetone + methanol, acetone + propanol and acetone + butanol systems at 25 c Citation: An. Quim.,1970,66, 709-12,,,,,,,,,
298.1,784.65,0.56,Liquid-Gas,Experimental,NIST,Authors: Grolier, J.-P. E.;Roux-Desgranges, G.;Berkane, M.;Wilhelm, E. Title: Heat Capacities and Densities of Mixtures of Very Polar Substances. 3. Mixtures Containing either Trichloromethane or 1,4-Dioxane or Diisopropyletherl Citation: J. Solution Chem.,1994,23, 153-166,,,,,,,
298.136,784,3,Liquid-Gas,Experimental,NIST,Authors: Amer, H. H.;Paxton, R. R.;Van Winkle, M. Title: Ternary methyl alcohol-ethyl alcohol-acetone and three related binary solutions. Refractive indexes and bubble points Citation: Anal. Chem.,1953,25, 1204-1206,,,,,,,,,
298.136,784.9,0.5,Liquid-Gas,Experimental,NIST,Authors: Anisimov, V. I. Title: Dependence of the Index of Refraction of a Binary Liquid System on the Specific Gravities and Concentrations of its Components. Citation: Zh. Fiz. Khim.,1953,27,674,,,,,,,,,,,
298.136,786,0.5,Liquid-Gas,Experimental,NIST,Authors: Dunstan, A. E.;Hilditch, T. P. Title: Determination of Viscosity and Other Physical Properties. Part II. Influence of Association of Unsaturted Groups Citation: Ber. Bunsen-Ges. Phys. Chem.,1912,18,185,,,,,,,,,,
298.136,785.01,0.3,Liquid-Gas,Experimental,NIST,Authors: Hughes, O. L.;Hartley, H. Citation: Philos. Mag.,1933,15,610,,,,,,,,,,
298.136,784.9,0.7,Liquid-Gas,Experimental,NIST,Authors: Reinders, W.;De Minjer, C. H. Title: Vapour-liquid equilibria in the ternary systems. chloroform + benzene Citation: Recl. Trav. Chim. Pays-Bas,1940,59, 369-91,,,,,,,,,,
298.136,784.6,0.8,Liquid-Gas,Experimental,NIST,Authors: Schaefer, K.;Rohr, F. J. Title: Thermal investigations of acetone with n-hydrocarbons Citation: Z. Phys. Chem. (Munich),1960,24, 130-51,,,,,,,,,,
298.136,784.5,0,Liquid-Gas,Experimental,NIST,Authors: Sears, P.G.;Wilhoit, E.D.;Dawson, L.R. Title: Conductances of potassiuim thiocyanate and tetra-n-butylammonium iodide in acetone at several temperatures within the range 25 to -50 Citation: J. Phys. Chem.,1956,60, 169-171,,,,,,,,,
298.136,784,1,Liquid-Gas,Experimental,NIST,Authors: Treybal, R. E.;Weber, L. D.;Daley, J. F. Title: The system acetone-water-1,1,2-trichloroethane - ternary liquid and binary vapour equilibria. Citation: Ind. Eng. Chem.,1946,38,817,,,,,,,
298.136,785.4,0.5,Liquid-Gas,Experimental,NIST,Authors: Walden, P. Title: Organic solution and ionization media: III viscosity and its relationship to conductivity Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1906,55,207,,,,,,,,,,
298.136,794.1,5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Carswell, H. E.;Adkins, H. Title: The Relation of the Structure of Ketones to their Reactivity and Affinity in Acetal Formation Citation: J. Am. Chem. Soc.,1928,50,235,,,,,,,,,,
298.136,781,1.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Faust, O. Title: The Viscosity of Liquid Mixtures, their dependence on Temperature and the relation between the Viscosity of Liquids with their Vapor Pressures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1912,79,97,,,,,,,,,
298.136,787.54,0.4,Liquid-Gas,Experimental - Rejected,NIST,Authors: Getman, F. H. Citation: J. Am. Chem. Soc.,1908,30,1077,,,,,,,,,,,
298.136,787.959971633,0.620880916897,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hubbard, J. C. Title: Physical properties of binary liquid mixtures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1910,74, 207-32,,,,,,,,,,
298.136,787.978598501,0.620910271696,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hubbard, J. C. Title: Physical properties of binary liquid mixtures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1910,74, 207-32,,,,,,,,,,
298.136,786.48,0.77,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kelley, K. K. Title: The heat capacities of isopropyl alcohol and acetone from 16 to 298 K and the corresponding entropies and free energies Citation: J. Am. Chem. Soc.,1929,51, 1145-51,,,,,,,,,,,
298.136,786.28,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: McElroy, R.;Krug, S. Citation: J. Soc. Chem. Ind. (London),1893,12,177,,,,,,,,,,
298.136,787.4,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Peacock, D. H. Title: CLXXIV. Rotatory Power and Refractivity. Part II. The Rotatory Powers, Refractivities, and Molecular Solution Volumes of Camphor, Bromocamphor, and Ethyl Tartrate in Certain Solvents Citation: J. Chem. Soc.,1915,107, 1547-67,,,,,,,
298.136,794.95,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Pfeiffer, G. J.;Adkins, H. Title: The Relation of the Structure of Ketones to Their Reactivity and Affinity in Acetal Formation II. Citation: J. Am. Chem. Soc.,1931,53,1043,,,,,,,,,,
298.136,786.4,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Willard, H. H.;Smith, G. F. Title: The Perchalorates of the Alkali and A;kaline Earth Metals and Ammonium. Their Solubility in Water and Other Solvents Citation: J. Am. Chem. Soc.,1923,45,286,,,,,,,,,,
298.14437,784.16,0.47,Liquid-Gas,Experimental,NIST,Authors: Awwad, A. M. Title: Title Citation: Int. DATA Ser.,1988,16(1),56,,,,,,,,,,,
298.14437,784.46,0.12,Liquid-Gas,Experimental,NIST,Authors: Berti, P.;Cabani, S.;Mollica, V. Title: Limiting partial molar volumes at 298.15 K of some open chain and cyclic organic compounds in 1-octanol Citation: Fluid Phase Equilib.,1987,32, 195-203,,,,,,,,,
298.14437,784.7,0.8,Liquid-Gas,Experimental,NIST,Authors: Kato, M.;Sato, T.;Konishi, H.;Hirata, M. Title: New method for measuring ternary vapor-liquid equilibria dew, bubble and condensation point method Citation: J. Chem. Eng. Jpn.,1971,4, 311-8,,,,,,,
298.14437,784.8,0.9,Liquid-Gas,Experimental,NIST,Authors: Mato, F.;Hernandez, J. L. Title: Viscosities of Binary Liquid Mixtures. II. Citation: An. Quim.,1969,65, 9-18,,,,,,,,,,
298.14437,785,5,Liquid-Gas,Experimental,NIST,Authors: Ochi, K.;Lu, B. C. -Y. Citation: Fluid Phase Equilib.,1977,1,185,,,,,,,,,,
298.14437,785.12,3.96,Liquid-Gas,Experimental,NIST,Authors: Tasic, A. Z.;Djordjevic, B. D.;Serbanovic, S. P.;Grozdanic, D. K. Title: Diffusion coefficients for the liquid system acetone-cyclohexane at 298.15 K Citation: J. Chem. Eng. Data,1981,26,118,,,,,,,,
298.14437,785.3,0.3,Liquid-Gas,Experimental,NIST,Authors: Zhang, G.;Hayduk, W. Title: The Solubilitv of Isobutane and Isobutylene in J Associated Solvents Citation: Can. J. Chem. Eng.,1984,62, 713-718,,,,,,,,,,
298.14437,788,0.8,Liquid-Gas,Experimental - Rejected,NIST,Authors: Campbell, A. N.;Musbally, G. M. Title: Vapor pressures and vapor = liquid equilibria in the system: (1) acetone - chloroform, (2) acetone-carbon tetrachloride, (3) benzene-carbon tetrachloride Citation: Can. J. Chem.,1970,48, 3173-3184,,,,,,,,
298.14437,786.459038592,0.42597645963,Liquid-Gas,Experimental - Rejected,NIST,Authors: Costas, M.;Patterson, D. Title: Heat capacities of water + organic solvent mixtures Citation: J. Chem. Soc., Faraday Trans. 1,1985,81,2381,,,,,,,,,
298.14437,790.012758815,0.139696316601,Liquid-Gas,Experimental - Rejected,NIST,Authors: Holzapfel, K.;Goetze, G.;Demiriz, A. M.;Kohler, F. Title: Volume and isothermal compressibility of some normal alkanes (C5-C16) + 2,3 -dimethylbutane, + methylcyclopentane, + butylcyclohexane, + be nzene, + 2- propanone, or + tetrachloromethane. Citation: Int. DATA Ser., Sel. Data Mixtures, Ser. A,1987, , 30-56
298.15,784.868,0.196,Liquid-Gas,Experimental,NIST,Authors: Alonso, I.;Alonso, V.;Mozo, I.;Garcia de la Fuente, I.;Gonzalez, J. A.;Cobos, J. C. Title: Thermodynamics of ketone+amine mixtures  Part II. Volumetric and speed of sound data at (293.15, 298.15 and 303.15) K for  2-propanone+dipropylamine, + dibutylamine or + triethylamine systems Citation: J. Mol. Liq.,2010,155, 109-114,,,,
298.15,784.37,0.16,Liquid-Gas,Experimental,NIST,Authors: Comelli, F.;Francesconi, R. Title: Excess Molar Enthalpies for Propylene Carbonate + Linear and Cyclic Ketones at 298.15 K Citation: J. Chem. Eng. Data,1995,40, 805-7,,,,,,,,,,
298.15,784.1,1.2,Liquid-Gas,Experimental,NIST,Authors: Deenadayalu, N.;Bhujrajh, P. Title: Density, Speed of Sound, and Derived Thermodynamic Properties of Ionic Liquids [EMIM]+[BETI]- or ([EMIM]+[CH3(OCH2CH2)2OSO3]- + Methanol or + Acetone) at T = (298.15 or 303.15 or 313.15) K Citation: J. Chem. Eng. Data,2008,53, 1098-1102,,,,,,,,
298.15,784.4,5,Liquid-Gas,Experimental,NIST,Authors: Dragoescu, D.;Barhala, A.;Vilcu, R. Title: Isothermal vapour-liquid equilibrium data for the binary propan-2-oneqchloroalkanes mixtures at temperatures from 298.15 K to 313.15 K Citation: Fluid Phase Equilib.,1999,157, 41-51,,,,,,,,,
298.15,783.8,1.9,Liquid-Gas,Experimental,NIST,Authors: Fang, J.;Zhang, M.;Zhu, P.;Ouyang, J.;Gong, J.;Chen, W.;Xu, F. Title: Solubility and solution thermodynamics of sorbic acid in eight pure organic solvents Citation: J. Chem. Thermodyn.,2015,85, 202-209,,,,,
298.15,784.33,3.87,Liquid-Gas,Experimental,NIST,Authors: Fenclova, D.;Dohnal, V. Title: (Vapor + liquid) equilibria and excess molar volumes of {1,1,2- trichlorotrifluoroethane (Freon 113) + an oxygenated solvent or n-hexane} Citation: J. Chem. Thermodyn.,1991,23, 911-21,,,,,,,,
298.15,784.37,0.47,Liquid-Gas,Experimental,NIST,Authors: Francesconi, R.;Comelli, F. Title: Excess molar enthalpies of binary mixtures containing dimethyl carbonate or diethyl carbonate and one of six methyl n-alkyl ketones. Application of an extended cell model Citation: Thermochim. Acta,1995,264, 95-104,,,,,,,,,,
298.15,784.28,0.19,Liquid-Gas,Experimental,NIST,Authors: Gomes de Azevedo, R.;Szydlowski, J.;Pires, P. F.;Esperanca, J. M. S. S.;Guedes, H. J. R.;Rebelo, L. P. N. Title: A novel non-intrusive microcell for sound-speed measurements in liquids. Speed of sound and thermodynamic properties of 2-propanone at pressures up to 160 MPa Citation: J. Chem. Thermodyn.,2004,36, 211-222,,,,,,
298.15,785.094,0.151,Liquid-Gas,Experimental,NIST,Authors: gonzales, j. a.;Alonso, I.;Fuente, I. G. d. l.;Cobos, J. C. Title: Thermodynamics of ketone + amine mixtures. Part X. Excess molarenthalpies at 298.15 K for N,N,N-triethylamine + 2-alkanone systems.Characterization of tertiary amine + 2-alkanone, and ofamino-ketone + n-alkane mixtures in terms of DISQUAC Citation: Fluid Phase Equilib.,2013,356, 117-125,,,,,
298.15,784.1,0.2,Liquid-Gas,Experimental,NIST,Authors: Iglesias, M.;Orge, B.;Tojo, J. Title: Densities and Refractive Indices for Acetone + Methanol + 1-Propanol at 298 .15 K Citation: J. Chem. Eng. Data,1996,41, 218-21,,,,,,,,,
298.15,784.65,0.12,Liquid-Gas,Experimental,NIST,Authors: Ivanov, E. V.;Smirnov, V. I. Title: Water as a solute in aprotic dipolar solvents. 1. D2O-H2O solute isotope effects on the enthalpy of  water dissolution in acetone, tetrahydrofuran and 1,4-dioxane at 298.15 K Citation: Thermochim. Acta,2010,511, 194-197,,,,,,,,
298.15,784.1,0.7,Liquid-Gas,Experimental,NIST,Authors: Kojima, K.;Tochigi, K.;Kurihara, K.;Nakamichi, M. Title: Isobaric vapor-liquid equilibria for acetone + chloroform + benzene and the three constituent binary systems Citation: J. Chem. Eng. Data,1991,36,343,,,,,,,,
298.15,784.59,0.41,Liquid-Gas,Experimental,NIST,Authors: Lorenzi, L. D.;Fermeglia, M.;Torriano, G. Title: Densities and Viscosities of 1,1,1-Trichloroethane with 13 Different Solvents at 298.15 K Citation: J. Chem. Eng. Data,1995,40, 1172-1177,,,,,,,
298.15,784.52,0.3,Liquid-Gas,Experimental,NIST,Authors: Nagata, I.;Tamura, K. Title: Ternary Vapor-Liquid Equilibria of Ethanol + Acetone + Benzene at 318.15 K Citation: J. Chem. Eng. Data,1996,41, 870-872,,,,,,,,,,
298.15,784.1,0.2,Liquid-Gas,Experimental,NIST,Authors: Orge, B.;Iglesias, M.;Marino, G.;Tojo, J. Title: Thermodynamic Properties of (Acetone + Methanol + 2-Butanol) at T = 298.15 K Citation: J. Chem. Thermodyn.,1999,31, 497-512,,,,,,,,
298.15,784.39,0.61,Liquid-Gas,Experimental,NIST,Authors: Ouyang, G.;Yang, Y.;Lu, S. S.;Huang, Z.-Q.;Kang, B. Title: Excess Molar Volumes and Surface Tensions of Xylene with Acetone or 2-Butanone at 298.15 K Citation: J. Chem. Eng. Data,2004,49, 330-332,,,,,,,
298.15,785.18,0.22,Liquid-Gas,Experimental,NIST,Authors: Peng, I.-H.;Tu, C. -H. Title: Densities and Viscosities of Acetone, Diisopropyl Ether, Ethanol, and Methyl Ethyl Ketone with a Five-Component Hydrocarbon Mixture from 288.15 K to 308.15 K Citation: J. Chem. Eng. Data,2002,47, 1457-61,,,,,,,
298.15,784.71,0.3,Liquid-Gas,Experimental,NIST,Authors: Resa, J. M.;Gonzalez, C.;Betolaza, M. A.;Ruiz, A. Title: Behaviour of butyl ether as entrainer for the extractive distillation of the azeotropic mixture propanone+diisopropyl ether. Isobaric VLE data of the azeotropic components with the entrainer Citation: Fluid Phase Equilib.,1999,156, 89-99,,,,,,,,
298.15,784.8,0.6,Liquid-Gas,Experimental,NIST,Authors: Savaroglu, G.;Aral, E. Title: Ultrasonic velocity and isentropic compressibilities of the ternary mixture benzene + acetone + chloroform and their corresponding binary mixtures at 298.15K Citation: J. Mol. Liq.,2003,105, 79-92,,,,,,,,,,
298.15,783.81,0.5,Liquid-Gas,Experimental,NIST,Authors: Silva, D. E. S.;Albuquerque, L. M. P. C.;Calado, A. R. T.;Pinheiro, L. M. V.;Segurado, M. A. P. Title: Partial Molar Volumes of Butyltriethylammonium Iodide in Single Nonaqueous Solvents at 298.15 K Citation: J. Chem. Eng. Data,2010,55, 1100-1104,,,,,,,
298.15,785.36,0.81,Liquid-Gas,Experimental,NIST,Authors: Tian, Y.;Wang, X.;Wang, J. Title: Densities and Viscosities of 1-Butyl-3-methylimidazolium Tetrafluoroborate + Molecular Solvent Binary Mixtures Citation: J. Chem. Eng. Data,2008,53, 2056-2059,,,,,,,,,
298.15,784.28,4.5,Liquid-Gas,Experimental,NIST,Authors: Wang, R.;Shi, J. Title: Measurement and Estimation of Liquid Densities of Acetone-Cyclohexane System at Various Temperatures and Pressures Citation: Nanjing Huagong Xueyuan Xuebao,1995,17, 144-148,,,,,,,,,,
298.15,784.28,4.56,Liquid-Gas,Experimental,NIST,Authors: Wang, R.;Shi, J. Title: Measurement and Prediction of the Liquid Densities for Ethanol - Acetone Citation: Gaoxiao Huaxue Gongcheng Xuebao,1996,10, 134-139,,,,,,,,,,
298.15,784.233,0.311,Liquid-Gas,Experimental,NIST,Authors: Zafarani-Moattar, M. T.;Shekaari, H. Title: Density and speed of sound of lithium bromide with organic solvents: Measurement and correlation Citation: J. Chem. Thermodyn.,2007,39, 1649-1660,,,,,,,,,,
298.15,780.8,0.7,Liquid-Gas,Experimental - Rejected,NIST,Authors: Agarwal, D.;Singh, M. Title: Densities and Viscosities of Binary Liquid Mixtures of Trichloroethylene and Tetrachloroethylene with Some Polar and Nonpolar Solvents Citation: J. Chem. Eng. Data,2004,49, 1218-1224,,,,,,,,,,
298.15,780.8,6,Liquid-Gas,Experimental - Rejected,NIST,Authors: Agarwal, D.;Singh, M. Title: Viscometric studies of molecular interactions in binary liquid mixtures of nitromethane with some polar and non-polar solvents at 298.15 K Citation: J. Indian Chem. Soc.,2004,81, 850-859,,,,,,,,,,
298.15,779,4.43,Liquid-Gas,Experimental - Rejected,NIST,Authors: Govindarajan, S.;Kannappan, V.;Naresh, M. D.;Venkataboopathy, K.;Lokanadam, B. Title: Ultrasonic studies on the molecular interaction of gallic acid in aqueous methanol and acetone solutions and the role of gallic acid as viscosity reducer Citation: J. Mol. Liq.,2003,107, 289-316,,,,,,,
298.15,787.087,0.513,Liquid-Gas,Experimental - Rejected,NIST,Authors: Marras, G.;Blanco, S. T.;Otin, S. Title: Excess molar volumes of nitrile + ketone mixtures at 298.15 K Citation: Thermochim. Acta,1994,242, 27-32,,,,,,,,,
298.15,787,1.4,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yang, L.;Luo, T.-L.;Lian, H.-L.;Liu, G.-J. Title: Density and Viscosity of (2,2-Dichloro-N,N-di-2-propenylacetamide + Acetone) and (2,2-Dichloro-N,N-di-2-propenylacetamide + Ethanol) at T = (278.15 to 313.15) K Citation: J. Chem. Eng. Data,2010,55, 1364-1367,,,,
298.156,785.1,0.19,Liquid-Gas,Experimental,NIST,Authors: Domanska, U.;Lachwa, J. Title: Densities, Excess Molar Volumes, and Excess Molar Enthalpies of (N-Methyl-2-pyrrolidinone + Ketone) at T ) 298.15 K Citation: J. Chem. Eng. Data,2002,47, 1446-52,,,,,,,,
298.34433,784.4,4.6,Liquid-Gas,Experimental,NIST,Authors: Ismagilov, R. G.;Ermakov, G. V. Title: Speed of sound in some overheated organic liquids Citation: Teplofiz. Vys. Temp.,1982,20, 677-682,,,,,,,,,,
302.4,788.4,3.2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Das, A. K.;Jha, B. L. Title: Molecular Interactions in Binary Mixture of DMSO-Aromatic/Aliphatic hydrocarbons Citation: J. Mol. Liq.,1991,50, 155-186,,,,,,,,,,
