T,P,x_2pe,eta
293.15,0.1,0.0,0.00101
303.15,0.1,0.0,0.000869
313.15,0.1,0.0,0.000758
323.15,0.1,0.0,0.0006680000000000001
333.15,0.1,0.0,0.0005949999999999999
293.15,0.1,0.10290767799473,0.001181
303.15,0.1,0.10290767799473,0.0010040000000000001
313.15,0.1,0.10290767799473,0.000867
323.15,0.1,0.10290767799473,0.000759
333.15,0.1,0.10290767799473,0.0006730000000000001
293.15,0.1,0.184061205395094,0.001355
303.15,0.1,0.184061205395094,0.00113
313.15,0.1,0.184061205395094,0.0009699999999999999
323.15,0.1,0.184061205395094,0.000838
333.15,0.1,0.184061205395094,0.000736
293.15,0.1,0.285587520662777,0.001613
303.15,0.1,0.285587520662777,0.001333
313.15,0.1,0.285587520662777,0.001123
323.15,0.1,0.285587520662777,0.000963
333.15,0.1,0.285587520662777,0.0008359999999999999
293.15,0.1,0.441946578451035,0.0022400000000000002
303.15,0.1,0.441946578451035,0.0017929999999999999
313.15,0.1,0.441946578451035,0.001469
323.15,0.1,0.441946578451035,0.001231
333.15,0.1,0.441946578451035,0.001054
293.15,0.1,0.507809776347763,0.0026230000000000003
303.15,0.1,0.507809776347763,0.0020659999999999997
313.15,0.1,0.507809776347763,0.0016690000000000001
323.15,0.1,0.507809776347763,0.001379
333.15,0.1,0.507809776347763,0.0011610000000000001
293.15,0.1,0.603034895845163,0.003386
303.15,0.1,0.603034895845163,0.002594
313.15,0.1,0.603034895845163,0.002047
323.15,0.1,0.603034895845163,0.001656
333.15,0.1,0.603034895845163,0.001368
293.15,0.1,0.703422225953614,0.004556
303.15,0.1,0.703422225953614,0.003377
313.15,0.1,0.703422225953614,0.002594
323.15,0.1,0.703422225953614,0.002049
333.15,0.1,0.703422225953614,0.001659
293.15,0.1,0.803310581963571,0.006391
303.15,0.1,0.803310581963571,0.004543999999999999
313.15,0.1,0.803310581963571,0.003373
323.15,0.1,0.803310581963571,0.002589
333.15,0.1,0.803310581963571,0.002046
293.15,0.1,0.90095052307922,0.009264
303.15,0.1,0.90095052307922,0.006276
313.15,0.1,0.90095052307922,0.0044740000000000005
323.15,0.1,0.90095052307922,0.003326
333.15,0.1,0.90095052307922,0.002557
293.15,0.1,1.0,0.014039999999999999
303.15,0.1,1.0,0.008973
313.15,0.1,1.0,0.006102000000000001
323.15,0.1,1.0,0.004368
333.15,0.1,1.0,0.0032519999999999997
