T,x_2pe,eta
293.15,0.0,0.0042439999999999995
303.15,0.0,0.002776
313.15,0.0,0.001918
323.15,0.0,0.001397
333.15,0.0,0.001036
293.15,0.100559254025526,0.005352000000000001
303.15,0.100559254025526,0.0033650000000000004
313.15,0.100559254025526,0.002264
323.15,0.100559254025526,0.001607
333.15,0.100559254025526,0.001195
293.15,0.200245765489875,0.006445
303.15,0.200245765489875,0.003971000000000001
313.15,0.200245765489875,0.002661
323.15,0.200245765489875,0.001882
333.15,0.200245765489875,0.0013930000000000001
293.15,0.299990044912394,0.007684000000000001
303.15,0.299990044912394,0.004615
313.15,0.299990044912394,0.0030870000000000003
323.15,0.299990044912394,0.002179
333.15,0.299990044912394,0.001609
293.15,0.400510364581864,0.008391000000000001
303.15,0.400510364581864,0.005253
313.15,0.400510364581864,0.003533
323.15,0.400510364581864,0.002488
333.15,0.400510364581864,0.0018620000000000002
293.15,0.499854117889342,0.009549
303.15,0.499854117889342,0.006014
313.15,0.499854117889342,0.004106
323.15,0.499854117889342,0.002879
333.15,0.499854117889342,0.002061
293.15,0.599726229578825,0.010199999999999999
303.15,0.599726229578825,0.006474000000000001
313.15,0.599726229578825,0.004353
323.15,0.599726229578825,0.003104
333.15,0.599726229578825,0.002297
293.15,0.698129790940866,0.01108
303.15,0.698129790940866,0.007042
313.15,0.698129790940866,0.004772
323.15,0.698129790940866,0.003385
333.15,0.698129790940866,0.002519
293.15,0.80061337514444,0.01219
303.15,0.80061337514444,0.007656
313.15,0.80061337514444,0.005176
323.15,0.80061337514444,0.0037400000000000003
333.15,0.80061337514444,0.002769
293.15,0.899685133190903,0.01289
303.15,0.899685133190903,0.008212
313.15,0.899685133190903,0.005579
323.15,0.899685133190903,0.003979
333.15,0.899685133190903,0.002976
293.15,1.0,0.014039999999999999
303.15,1.0,0.008973
313.15,1.0,0.006102000000000001
323.15,1.0,0.004368
333.15,1.0,0.0032519999999999997
