T,P,eta,phase
293.15,0.1,0.006574,liquid
303.15,0.1,0.004821,liquid
313.15,0.1,0.003691,liquid
323.15,0.1,0.0029140000000000004,liquid
333.15,0.1,0.002362,liquid
