T,P,x_2pe,eta
293.15,0.1,0.0,0.00058507
303.15,0.1,0.0,0.0005218000000000001
313.15,0.1,0.0,0.00046729
323.15,0.1,0.0,0.00042305
333.15,0.1,0.0,0.00038771
293.15,0.1,0.105926031920863,0.00073
303.15,0.1,0.105926031920863,0.000638
313.15,0.1,0.105926031920863,0.0005639999999999999
323.15,0.1,0.105926031920863,0.0005020000000000001
333.15,0.1,0.105926031920863,0.000451
293.15,0.1,0.202551826920771,0.0009180000000000001
303.15,0.1,0.202551826920771,0.0007890000000000001
313.15,0.1,0.202551826920771,0.0006860000000000001
323.15,0.1,0.202551826920771,0.000603
333.15,0.1,0.202551826920771,0.000536
293.15,0.1,0.294950185637093,0.0011619999999999998
303.15,0.1,0.294950185637093,0.000981
313.15,0.1,0.294950185637093,0.000841
323.15,0.1,0.294950185637093,0.000729
333.15,0.1,0.294950185637093,0.000639
293.15,0.1,0.403037564900804,0.001574
303.15,0.1,0.403037564900804,0.001294
313.15,0.1,0.403037564900804,0.0010840000000000001
323.15,0.1,0.403037564900804,0.0009220000000000001
333.15,0.1,0.403037564900804,0.000795
293.15,0.1,0.503427820355105,0.002113
303.15,0.1,0.503427820355105,0.001692
313.15,0.1,0.503427820355105,0.0013859999999999999
323.15,0.1,0.503427820355105,0.001157
333.15,0.1,0.503427820355105,0.000984
293.15,0.1,0.606763452498099,0.002971
303.15,0.1,0.606763452498099,0.002298
313.15,0.1,0.606763452498099,0.0018280000000000002
323.15,0.1,0.606763452498099,0.001488
333.15,0.1,0.606763452498099,0.0012360000000000001
293.15,0.1,0.701083783054225,0.004158
303.15,0.1,0.701083783054225,0.0031000000000000003
313.15,0.1,0.701083783054225,0.002391
323.15,0.1,0.701083783054225,0.001897
333.15,0.1,0.701083783054225,0.0015400000000000001
293.15,0.1,0.798845694462126,0.006052
303.15,0.1,0.798845694462126,0.00432
313.15,0.1,0.798845694462126,0.003213
323.15,0.1,0.798845694462126,0.0024720000000000002
333.15,0.1,0.798845694462126,0.001957
293.15,0.1,0.899940898700494,0.009162000000000002
303.15,0.1,0.899940898700494,0.0062039999999999994
313.15,0.1,0.899940898700494,0.0044210000000000005
323.15,0.1,0.899940898700494,0.003284
333.15,0.1,0.899940898700494,0.002524
293.15,0.1,1.0,0.014039999999999999
303.15,0.1,1.0,0.008973
313.15,0.1,1.0,0.006102000000000001
323.15,0.1,1.0,0.004368
333.15,0.1,1.0,0.0032519999999999997
