T,P,x_2pe,eta
293.15,0.1,0.0,0.005278
303.15,0.1,0.0,0.003881
313.15,0.1,0.0,0.002919
323.15,0.1,0.0,0.0022400000000000002
333.15,0.1,0.0,0.00175
293.15,0.1,0.100311290464003,0.00558
303.15,0.1,0.100311290464003,0.0040739999999999995
313.15,0.1,0.100311290464003,0.003049
323.15,0.1,0.100311290464003,0.002332
333.15,0.1,0.100311290464003,0.001819
293.15,0.1,0.200458941288258,0.005966
303.15,0.1,0.200458941288258,0.00431
313.15,0.1,0.200458941288258,0.003205
323.15,0.1,0.200458941288258,0.002442
333.15,0.1,0.200458941288258,0.0019
293.15,0.1,0.200782895927302,0.005969400000000001
303.15,0.1,0.200782895927302,0.004314600000000001
313.15,0.1,0.200782895927302,0.0032054
323.15,0.1,0.200782895927302,0.0024414
333.15,0.1,0.200782895927302,0.0018995
293.15,0.1,0.30035936797046,0.006422
303.15,0.1,0.30035936797046,0.004594
313.15,0.1,0.30035936797046,0.003391
323.15,0.1,0.30035936797046,0.002572
333.15,0.1,0.30035936797046,0.001997
293.15,0.1,0.300403750222645,0.006418999999999999
303.15,0.1,0.300403750222645,0.004589
313.15,0.1,0.300403750222645,0.003386
323.15,0.1,0.300403750222645,0.0025659999999999997
333.15,0.1,0.300403750222645,0.00199
293.15,0.1,0.400448427689503,0.006992
303.15,0.1,0.400448427689503,0.004945000000000001
313.15,0.1,0.400448427689503,0.003621
323.15,0.1,0.400448427689503,0.0027300000000000002
333.15,0.1,0.400448427689503,0.0021110000000000005
293.15,0.1,0.500684278812158,0.007621
303.15,0.1,0.500684278812158,0.0053230000000000005
313.15,0.1,0.500684278812158,0.003864
323.15,0.1,0.500684278812158,0.0028940000000000003
333.15,0.1,0.500684278812158,0.0022280000000000004
293.15,0.1,0.599622439617818,0.008414999999999999
303.15,0.1,0.599622439617818,0.005795
313.15,0.1,0.599622439617818,0.004161
323.15,0.1,0.599622439617818,0.0030960000000000002
333.15,0.1,0.599622439617818,0.002372
293.15,0.1,0.699901869942981,0.009384
303.15,0.1,0.699901869942981,0.006363000000000001
313.15,0.1,0.699901869942981,0.00452
323.15,0.1,0.699901869942981,0.003336
333.15,0.1,0.699901869942981,0.002542
293.15,0.1,0.800455861559542,0.010570000000000001
303.15,0.1,0.800455861559542,0.007049000000000001
313.15,0.1,0.800455861559542,0.004947
323.15,0.1,0.800455861559542,0.003618
333.15,0.1,0.800455861559542,0.002735
293.15,0.1,0.899040225711183,0.01209
303.15,0.1,0.899040225711183,0.007875
313.15,0.1,0.899040225711183,0.005449
323.15,0.1,0.899040225711183,0.0039440000000000005
333.15,0.1,0.899040225711183,0.002964
293.15,0.1,1.0,0.014039999999999999
303.15,0.1,1.0,0.008973
313.15,0.1,1.0,0.006102000000000001
323.15,0.1,1.0,0.004368
333.15,0.1,1.0,0.0032519999999999997
