T,P,eta,phase
293.15,0.1,0.00101,liquid
303.15,0.1,0.000869,liquid
313.15,0.1,0.000758,liquid
323.15,0.1,0.0006680000000000001,liquid
333.15,0.1,0.0005949999999999999,liquid
