T,P,eta,phase
293.15,0.1,0.000556,liquid
303.15,0.1,0.0005,liquid
313.15,0.1,0.000452,liquid
323.15,0.1,0.00041,liquid
333.15,0.1,0.000374,liquid
343.15,0.1,0.000342,liquid
353.15,0.1,0.000315,liquid
363.15,1.0,0.000292,liquid
373.15,1.0,0.000269,liquid
383.15,1.0,0.000248,liquid
393.15,2.0,0.000233,liquid
403.15,2.0,0.000216,liquid
