T,eta,phase,,,,,,,,,,,,,,,,,
293.15,0.005061,liquid,Authors: Shastri, S. S.;Mukherjee, A. K.;Das, T. R. Title: Surface Tension of Some Binary Organic Solutions of Alkylbenzenes and 1-Alkanols Citation: J. Chem. Eng. Data,1993,38, 399-400,,,,,,,,,,
293.15,0.005412,liquid,Authors: Trenzado, J. L.;Matos, J. S.;Gonzalez, E.;Romano, E.;Caro, M. N. Title: A Study on Properties Derived from Densities and Viscosities for the Ternary Systems (Methyl Pentanoate or Methyl Heptanoate) + n-Octane + 1-Hexanol and their Binary Subsystems at Various Temperatures. Citation: J. Chem. Eng. Data,2003,48, 1004-1014,,,,,,,,
297.15,0.0046475,liquid,Authors: Naziev, Y. M.;Shakhverdiev, A. N.;Abdullaev, T. Sh. Title: Study of the dynamic viscosities of aliphatic alcohols near the liquid- vapor phase-equilibrium line Citation: Teplofiz. Vys. Temp.,1991,29, 823-4,,,,,,,,,,
298,0.00444,liquid,Authors: Rodriguez, M.;Galan, M.;Munoz, M. J.;Martin, R. Title: Viscosity of triglycerides + alcohols from 278 to 313 K Citation: J. Chem. Eng. Data,1994,39, 102-105,,,,,,,,,
298.136,0.004611,liquid,Authors: Bamelis, P.;Huyskens, P.;Meeussen, E. Title: No.18 Influence of the Association of Alcohols on The Viscosity of Solutions Citation: J. Chim. Phys. Phys.-Chim. Biol.,1965,62,158,,,,,,,,,,
298.136,0.004592,liquid,Authors: Hovorka, F.;Lankelma, H. P.;Stanford, S. C. Title: Thermodynamic Properties of the Hexyl Alcoholls II. 1-, 2- and 3-Hexanols and 2-Methyl-1 and -4-pentanol Citation: J. Am. Chem. Soc.,1938,60,820,,,,,,,,,
298.14437,0.00451,liquid,Authors: Matsuo, S.;Makita, T. Title: Viscosities of six 1-alkanols at temperatures in the range 298-348 and pressures up to 200 MPa Citation: Int. J. Thermophys.,1989,10,833,,,,,,,,,,,
298.14437,0.004339,liquid,Authors: Moore, J. W.;Wellek, R. M. Title: Diffusion Coefficients of n-Heptane and n-Decane in n-Alkanes and n-Alcohols at Several Temperatures Citation: J. Chem. Eng. Data,1974,19,136,,,,,,,,,,,
298.14437,0.00459,liquid,Authors: Singh, R. P.;Sinha, C. P.;Das, J. C.;Ghosh, P. Title: Viscosity and Density of Ternary Mixtures for Toluene, Ethylbenzene, Bromobenzene, and 1-Hexanol Citation: J. Chem. Eng. Data,1989,34,335,,,,,,
298.14437,0.00459,liquid,Authors: Singh, R. P.;Sinha, C. P.;Singh, B. N. Title: Viscosities, Densities, and Activation Energies of Viscous Flow of the Ternary Systems n-Hexane-Benzyle Alcohol-TOluene, n-Hexane-Benzyl Alcohol-Chlorobenzene, and n-Hexane-Benzyl Alcohol-1-Hexanol a Citation: J. Chem. Eng. Data,1986,31, 107-11,,,,,,
298.14437,0.00459,liquid,Authors: Singh, R. P.;Sinha, C. P. Title: Dielectric Behavior of the Binary Mixtures of n-Hexane with Toluene, Chlorobenzene, and 1-Hexanol Citation: J. Chem. Eng. Data,1982,27,283,,,,,,,,,
298.14437,0.00459,liquid,Authors: Singh, R. P.;Sinha, C. P. Title: Viscosities and acyivation energies of viscous flow of ternary mixtures of toluene, chlorobenzene, 1-hexanol and benzyl alcohol. Citation: J. Chem. Eng. Data,1985,30,470,,,,,,,,,
298.15,0.004594,liquid,Authors: Al-Jimaz, A. S.;Al-Kandary, J. A.;Abdul-Latif, A.-H. M. Title: Acoustical and Excess Properties of {Chlorobenzene + 1-Hexanol, or 1-Heptanol, or 1-Octanol, or 1-Nonanol, or 1-Decanol} at (298.15,303.15,308.15, and 313.15) K Citation: J. Chem. Eng. Data,2007,52, 206-214,,,
298.15,0.004593,liquid,Authors: Al-Kandary, J. A.;Al-Jimaz, A. S.;Abdul-Latif, A. M. Title: Densities, viscosities, speeds of sound and refractive indices of binary mixtures of tetrahydrofuran with 1-hexanol, 1-heptanol, 1-octanol, 1-nonanol and 1- decanol at 298.15,303.15, 308.15 and 313.15 K Citation: Phys. Chem. Liq.,2009,47, 210-224,,,
298.15,0.0044029,liquid,Authors: Aljimaz, A. S.;Al-Kandary, J. A.;Abdul-Latif, A.-H. M. Title: Densities and viscosities for binary mixtures of phenetole with 1-pentanol, 1-hexanol, 1-heptanol, 1-octanol, 1-nonanol, and 1-decanol at different temperatures Citation: Fluid Phase Equilib.,2004,218, 247-60,,,,,
298.15,0.004317,liquid,Authors: Aminabhavi, T. M.;Aralaguppi, M. I.;Harogoppad, S. B.;Balundgi, R. H. Title: Densities, viscosities, refractive indices, and speeds of sound for methyl acetoacetate + aliphatic alcohols (C1-C8) Citation: J. Chem. Eng. Data,1993,38, 31-39,,,,,,
298.15,0.004274,liquid,Authors: Aminabhavi, T. M.;Banerjee, K. Title: Density, Viscosity, Refractive Index, and Speed of Sound in Binary Mixtures of 2-Chloroethanol with Alkanols (C1-C6) at 298.15, 303.15 and 308.15 K Citation: J. Chem. Eng. Data,1998,43, 509-513,,,,,,,
298.15,0.004216,liquid,Authors: Aminabhavi, T. M.;Patil, V. B.;Banerjee, K. Title: Thermodynamic Interactions in Binary Mixtures of Ethenylbenzene with Methanol, Ethanol, Butan-1-ol, Pentan-1-ol, and Hexan-1-ol in the Temperature Range 298.15-308.15 K Citation: J. Chem. Eng. Data,1999,44, 1291-1297,,,,,,
