source_doi,component_1_name,component_2_name,temperature_K,pressure_kPa,basis,x,y
10.1016/j.fluid.2012.12.014,ethanol,water,403.5,501.9,mole,0.2971,0.5298
10.1016/j.fluid.2012.12.014,ethanol,water,403.5,521.8,mole,0.3778,0.5628
10.1016/j.fluid.2012.12.014,ethanol,water,403.5,532.2,mole,0.4679,0.6041
10.1016/j.fluid.2012.12.014,ethanol,water,403.5,563.1,mole,0.638,0.701
10.1016/j.fluid.2012.12.014,ethanol,water,403.5,566.5,mole,0.7067,0.7404
10.1016/j.fluid.2012.12.014,ethanol,water,403.5,576.1,mole,0.7953,0.8059
10.1016/j.fluid.2012.12.014,ethanol,water,403.5,536.0,mole,0.9991,0.9994
10.1016/j.fluid.2012.12.014,ethanol,water,423.7,532.8,mole,0.0137,0.11
10.1016/j.fluid.2012.12.014,ethanol,water,423.7,582.5,mole,0.0256,0.2017
10.1016/j.fluid.2012.12.014,ethanol,water,423.7,622.9,mole,0.0415,0.239
10.1016/j.fluid.2012.12.014,ethanol,water,423.7,629.7,mole,0.0427,0.2587
10.1016/j.fluid.2012.12.014,ethanol,water,423.7,760.8,mole,0.1204,0.4009
10.1016/j.fluid.2012.12.014,ethanol,water,423.7,845.9,mole,0.2507,0.4881
10.1016/j.fluid.2012.12.014,ethanol,water,423.7,855.0,mole,0.2825,0.4975
10.1016/j.fluid.2012.12.014,ethanol,water,423.7,898.7,mole,0.3926,0.5603
10.1016/j.fluid.2012.12.014,ethanol,water,423.7,948.8,mole,0.5669,0.643
10.1016/j.fluid.2012.12.014,ethanol,water,423.7,964.6,mole,0.6417,0.696
10.1016/j.fluid.2012.12.014,ethanol,water,423.7,972.1,mole,0.7094,0.739
10.1016/j.fluid.2012.12.014,ethanol,water,423.7,987.9,mole,0.7947,0.8071
10.1016/j.fluid.2012.12.014,ethanol,water,423.7,986.3,mole,0.998,0.9981
