Temperature ( K ),vapor pressure ( kPa ),Set Label,,,,,,,,,,,
401.88,27.601,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
411.88,38.042,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
411.89,38.065,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
411.89,38.091,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
421.91,51.617,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
421.91,51.653,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
421.91,51.685,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
431.92,69.093,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
441.9,90.82,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
443.84128,97.9919,Authors: Whitmore, F. C.;Orem, H. P. Title: A New Synthesis of Teritary Hydrocarbons Citation: J. Am. Chem. Soc.,1938,60,2573,,,,,,
443.84128,97.9917,Authors: Whitmore, F. C.;Southgate, H. A. Title: The Nonanes. 2-Methyl, 3-Ethyl,2,3-dimethylheptane and 2,2,4,4-tetramethylpentane Citation: J. Am. Chem. Soc.,1938,60,2571
444.1414,97.8586,Authors: Herr, C. H.;Whitmore, F. C.;Schiessler, R. W. Title: The Wolf-Kishner Reaction at Atmospheric Pressure Citation: J. Am. Chem. Soc.,1945,67,2061,,,,,
444.1414,100.2584,Authors: Schlotterbeck Citation: Chem. Ber.,1908,40, 479-483,,,,,,,,
444.3915,101.325,Authors: Stadeler Citation: Gahresbericht,1857,10,359,,,,,,,,
444.6416,101.325,Authors: Vogel, A. I. Title: Physical Properties and Chem. Constitution IX. Aliphatic Hydrocarbons Citation: J. Chem. Soc.,1946, ,133,,,,,,,
445.111485,101.325,Authors: Ramalho, R. S.;Tillie, J. L.;Kaliaguine, S. C. Title: Heats of mixing for homologous series of ketones and their prediction from group interaction theory and the congruence principle Citation: Can. J. Chem. Eng.,1971,49, 830-6,,,,,
445.59198,100.6317,Authors: Schiff, R. Citation: Justus Liebigs Ann. Chem.,1883,220,71,,,,,,,
445.642,101.325,Authors: Brewster, J. H. Citation: J. Am. Chem. Soc.,1954,76,6364,,,,,,,
445.642,102.2583,Authors: Henderson, G. G.;Henderson, J. A. R.;Heilbron, I. M. Citation: Chem. Ber.,1914,47,876,,,,,
445.642,101.325,Authors: Ivanskii, V. I.;Dolgov, B. N. Title: New Catalysts for Obtaining Tetrahydrofuran and .gamma.-Butyrolactone from 1,4-Butanediol Citation: Zh. Prikl. Khim. (Leningrad),1963,36, 2256-61,,,,,
445.642,101.325,Authors: Mann, F. G.;Porter, J. W. G. Citation: J. Chem. Soc.,1944, ,456,,,,,,
