Temperature ( K ),density ( kg/m 3 ),Set Label,,,,,,,,,,
298.15,814.359,Authors: Francesconi, R.,Comelli, F. Title: Excess enthalpies for binary mixtures of toluene, p-xylene or pseudocumene + methyl-n-alkyl ketones. Application of an extended cell model Citation: Thermochim. Acta,1993,216, 35-44,,,
298.15,814.34,Authors: Francesconi, R.,Comelli, F. Title: Excess molar enthalpies of binary mixtures containing dimethyl carbonate or diethyl carbonate and one of six methyl n-alkyl ketones. Application of an extended cell model Citation: Thermochim. Acta,1995,264, 95-104,,,,
298.15,814.28,Authors: Liao, W.-C.,Lin, H. M.,Lee, M. J. Title: Excess Molar Enthalpies of Binary Systems of 2-Octanone or 3-Octanone with Dodecane, Tetradecane, or Hexadecane at 298.15 K Citation: J. Chem. Eng. Data,2010,55, 217-222
298.15,814.32,Authors: Liao, W.-C.,Lin, H. M.,Lee, M.-J. Title: Excess molar enthalpies of binary systems containing 2-octanone, hexanoic acid, or octanoic acid at T = 298.15 K Citation: J. Chem. Thermodyn.,2012,44, 51-56
300.93488,813.3,Authors: Falk, K. G. Title: The Change in Refractive Index with Temperature II. Citation: J. Am. Chem. Soc.,1909,31, 806-20,,,,,,
303.134,810.21,Authors: Ceuterick, P. Citation: Bull. Soc. Chim. Belg.,1936,45,545,,,,,,
303.134,811.05,Authors: Deffet, L. Title: The Freezing Points of Organic Compounds XIII. Compounds With Seven Eight, Nine or Ten Carbon Atoms Citation: Bull. Soc. Chim. Belg.,1931,40, 385-402,,,,,
310.03124,805.1,Authors: Falk, K. G. Title: The Change in Refractive Index with Temperature II. Citation: J. Am. Chem. Soc.,1909,31, 806-20,,,,,,
313.13,802.1,Authors: Cole, R. H. Title: Dielectric constants of aliphatic ketones Citation: J. Chem. Phys.,1941,9,251,,,,,,
313.140055,801.3,Authors: Apaev, T. A.,Kerimov, A. M.,Dzhanakhmedov, N. Kh. Title: Investigation of the p-rho-t relation for methyl hexyl ketone over a wide range of temperatures and pressures. Citation: J. Eng. Phys. (Engl. Transl.),1978,35,879,,
319.42811,797.3,Authors: Falk, K. G. Title: The Change in Refractive Index with Temperature II. Citation: J. Am. Chem. Soc.,1909,31, 806-20,,,,,,
326.62595,791.2,Authors: Falk, K. G. Title: The Change in Refractive Index with Temperature II. Citation: J. Am. Chem. Soc.,1909,31, 806-20,,,,,,
333.124,784.8,Authors: Cole, R. H. Title: Dielectric constants of aliphatic ketones Citation: J. Chem. Phys.,1941,9,251,,,,,,
334.624,784.8,Authors: Cowan, D. M.,Jeffery, G. H.,Vogel, A. I. Title: Physical Properties and Chemical Constitution. V. Alkyl Ketones. Citation: J. Chem. Soc.,1940, , 171-176,,
334.624,784.4,Authors: Falk, K. G. Title: The Change in Refractive Index with Temperature II. Citation: J. Am. Chem. Soc.,1909,31, 806-20,,,,,,
342.824,777.3,Authors: Falk, K. G. Title: The Change in Refractive Index with Temperature II. Citation: J. Am. Chem. Soc.,1909,31, 806-20,,,,,,
353.123,767,Authors: Cole, R. H. Title: Dielectric constants of aliphatic ketones Citation: J. Chem. Phys.,1941,9,251,,,,,,
354.323,766.5,Authors: Eijkman, M. J. Title: Refractometric research Citation: Recl. Trav. Chim. Pays-Bas,1893,12,157,,,,,,
361.023,763,Authors: Cowan, D. M.,Jeffery, G. H.,Vogel, A. I. Title: Physical Properties and Chemical Constitution. V. Alkyl Ketones. Citation: J. Chem. Soc.,1940, , 171-176,,
373.073995,748.8,Authors: Cole, R. H. Title: Dielectric constants of aliphatic ketones Citation: J. Chem. Phys.,1941,9,251,,,,,,
373.07438,746,Authors: Atoyan, V. A.,Mamedov, I. A. Title: Speed and absorption of sounds, viscosity and density of methylhexylketone in relation to the temperature and pressure. Citation: Izv. Vyssh. Uchebn. Zaved., Neft Gaz,1975,18, 74-78,,
374.284138,750.598429193,Authors: Apaev, T. A.,Kerimov, A. M.,Dzhanakhmedov, N. Kh. Title: Investigation of the p-rho-t relation for methyl hexyl ketone over a wide range of temperatures and pressures. Citation: J. Eng. Phys. (Engl. Transl.),1978,35, 879 (Derived),,
393.12037,728,Authors: Atoyan, V. A.,Mamedov, I. A. Title: Speed and absorption of sounds, viscosity and density of methylhexylketone in relation to the temperature and pressure. Citation: Izv. Vyssh. Uchebn. Zaved., Neft Gaz,1975,18, 74-78,,
393.127,729.9,Authors: Cole, R. H. Title: Dielectric constants of aliphatic ketones Citation: J. Chem. Phys.,1941,9,251,,,,,,
410.6315,717.7,Authors: Eykman, J. F. Citation: Recl. Trav. Chim. Pays-Bas,1895,14,185,,,,,,
411.53168,716.8,Authors: Eykman, J. F. Citation: Recl. Trav. Chim. Pays-Bas,1895,14,185,,,,,,
413.11637,710,Authors: Atoyan, V. A.,Mamedov, I. A. Title: Speed and absorption of sounds, viscosity and density of methylhexylketone in relation to the temperature and pressure. Citation: Izv. Vyssh. Uchebn. Zaved., Neft Gaz,1975,18, 74-78,,
413.132,711.1,Authors: Cole, R. H. Title: Dielectric constants of aliphatic ketones Citation: J. Chem. Phys.,1941,9,251,,,,,,
433.112685,692,Authors: Atoyan, V. A.,Mamedov, I. A. Title: Speed and absorption of sounds, viscosity and density of methylhexylketone in relation to the temperature and pressure. Citation: Izv. Vyssh. Uchebn. Zaved., Neft Gaz,1975,18, 74-78,,
433.138,692.1,Authors: Cole, R. H. Title: Dielectric constants of aliphatic ketones Citation: J. Chem. Phys.,1941,9,251,,,,,,
445.44192,684.3,Authors: Schiff, R. Citation: Justus Liebigs Ann. Chem.,1883,220,71,,,,,,
445.44192,684.4,Authors: Schiff, R. Citation: Justus Liebigs Ann. Chem.,1883,220,71,,,,,,
476.11,650.700507293,Authors: Apaev, T. A.,Kerimov, A. M.,Dzhanakhmedov, N. Kh. Title: Investigation of the p-rho-t relation for methyl hexyl ketone over a wide range of temperatures and pressures. Citation: J. Eng. Phys. (Engl. Transl.),1978,35, 879 (Derived),,
566.041,539.333925,Authors: Apaev, T. A.,Kerimov, A. M.,Dzhanakhmedov, N. Kh. Title: Investigation of the p-rho-t relation for methyl hexyl ketone over a wide range of temperatures and pressures. Citation: J. Eng. Phys. (Engl. Transl.),1978,35, 879 (Derived),,
293.15,818.87,Authors: This Work,,,,,,,,,,
303.15,810.71,Authors: This Work,,,,,,,,,,
313.15,802.47,Authors: This Work,,,,,,,,,,
323.15,794.18,Authors: This Work,,,,,,,,,,
333.15,785.81,Authors: This Work,,,,,,,,,,
