Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,
238.1899904,1204.2476,121.03005,Liquid-Gas,Experimental,NIST,Authors: Meyers, C.H.;Van Dusen, M.S. Title: The Vapor Pressure of Liquid and Solid Carbon Dioxide, Citation: Refrig. Eng.,1932,13,180,1926, Bureau of Standards Journal of Research, Volume 10, pp. 381-412,,,,
239.932,1280.4,1.3,Liquid-Gas,Experimental,NIST,Authors: Yurttas, L.;Holste, J. C.;Hall, K. R.;Gammon, B. E.;Marsh, K. N. Title: Semiautomatic Isochoric Apparatus for p-V-T and Phase Equilibrium Studies Citation: J. Chem. Eng. Data,1994,39, 418-423,,,,,,
240,1283,64,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
240,1286.3,7.1,Liquid-Gas,Experimental,NIST,Authors: Webster, Leigh A.;Kidnay, A. J. Title: Vapor-Liquid Equilibria for the Methane-Propane-Carbon Dioxide Systems at 230 K and 270 K Citation: J. Chem. Eng. Data,2001,46, 759-764,,,,,,,,,
241.40672,1340.5,0,Liquid-Gas,Experimental,NIST,Authors: Gugnoni, R. J.;Eldridge, J. W.;Okay, V. C.;Lee, T. J. Title: Carbon dioxide + ethane phase equilibrium and densities from experimental measurements and the b-w-r equation Citation: AIChE J.,1974,20, 357-62,,,,,,,
241.6732016,1356.944,0.5075167,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Wassenaar, T.;Zwietering, Th. N.;Smits Title: The vapor pressure of liquid carbon dioxide Citation: Physica (Amsterdam),1950,16,501,,,,,,,,
243.0883836,1424.8,2.6,Liquid-Gas,Experimental,NIST,Authors: Fernandez-Fassnacht, E.;Del Rio, F. Title: The vapour pressure of CO2 from 194 to 243 K a Citation: J. Chem. Thermodyn.,1984,16,469,,,,,,,,,
245,1519,76,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
248.05539,1684,0,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Timoshenko, N. I.;Kobelev, V. P. Title: Experimental study of carbon dioxide density at temperatures below 0 c Citation: Teploenergetika,1970,17, 59-60,,,,,,,,
248.15,1672.6,21.1,Liquid-Gas,Experimental,NIST,Authors: McDougal, R. J.;Jasperson, L. V.;Wilson, G. M. Title: Vapor Liquid Equilibrium for Several Compounds Relevant to the Biofuels Industry Modeled with the Wilson Equation Citation: J. Chem. Eng. Data,2014,59, 1069-1085,,,,,,,,
248.15537,1685,8,Liquid-Gas,Experimental,NIST,Authors: Weber, W.;Zeck, S.;Knapp, H. Title: Gas solubilities in liquid solvents at high pressures: apparatus and results for binary and ternary systems of nitrogen, carbon dioxide and methanol. Citation: Fluid Phase Equilib.,1984,18, 253-278,,,,,,,
250,1783.7,4.5,Liquid-Gas,Experimental,NIST,Authors: Yucelen, B.;Kidnay, A. J. Title: Vapor-Liquid Equiliblria in the Nitrogen + Carbon Dioxide + Propane System from 240 to 330 K at Pressures to 15 MPa Citation: J. Chem. Eng. Data,1999,44, 926-931,,,,,,,,,
250.005,1784,2,Liquid-Gas,Experimental,NIST,Authors: Brown, T. S.;Niesen, V. G.;Sloan, E. D.;Kinday, A. J. Citation: Fluid Phase Equilib.,1989,53, 7-14,,,,,,,
250.005,1786,3.179,Liquid-Gas,Experimental,NIST,Authors: Weber, L. A. Title: Vapour-liquid equilibria measurements for carbon dioxide with normal and isobutane from 250 to 280 K Citation: Cryogenics,1985,25,338,,,,,,,,,,
250.2369536,1798.4,0,Liquid-Gas,Experimental,NIST,Authors: Esper, G. J. Title: Direct and Indirect p-v-t Measurement of Fluids Citation: Fortschr.-Ber. VDI Z., Reihe,1987, No. 148,,,,,,,,,,
252.484504,1936.32,15.2,Liquid-Gas,Experimental,NIST,Authors: Liu, K.F. Title: Phase Equilibria in the Helium-Carbon Dioxide, -Argon, -Methane, -Nitrogen, and -Oxygen Systems Citation: Ph.D. Thesis, Georgia Institute of Technology, Atlanta GA (1969),,,,,,,
252.95441,1955.57,11.15,Liquid-Gas,Experimental,NIST,Authors: Nagahama, K.;Konishi, H.;Hoshino, D.;Hirata, M. Title: Binary vapor-liquid equilibria of carbon dioxide - light hydrocarbons at low temperature Citation: J. Chem. Eng. Jpn.,1974,7, 323-328,,,,,,,
253.2158,1974.16,3.92,Liquid-Gas,Experimental,NIST,Authors: Saleh, B.;Wendland, M. Title: Measurement of Vapor Pressures and Saturated Liquid Densities of Pure Fluids with a New Apparatus Citation: J. Chem. Eng. Data,2005,50, 429-437,,,,,,,,,
254.06528,2026.5,0,Liquid-Gas,Experimental,NIST,Authors: Haselden, G. G.;Newitt, D. M.;Shah, S. M. Title: Two-phase Equilibrium in Binary and Ternary Systems. V. Carbon Dioxide -Ethylene Citation: Proc. R. Soc. London, Ser. A,1951,209,1,,,,,,,
254.085114845,2026,0,Liquid-Gas,Experimental,NIST,Authors: Bierlein, J. A.;Kay, W. B. Title: Phase Equilibrium Properties of System Carbon Dioxide-Hydrogen Sulfide sulfide Citation: Ind. Eng. Chem.,1953,45,618,,,,,,,,,
255,2085,104,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
258.44,2294,42.9,Liquid-Gas,Experimental,NIST,Authors: Madani, H.;Valtz, A.;Coquelet, C.;Meniai, A. H.;Richon, D. Title: (Vapor + liquid) equilibrium data for (carbon dioxide + 1,1-difluoroethane) system at temperatures from (258 to 343) K and pressures up to about 8 MPa Citation: J. Chem. Thermodyn.,2008,40, 1490-1494,,,,,
260,2419,121,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
260,2419,121,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
260.799888,2474.762,0.6751893,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Wassenaar, T.;Zwietering, Th. N.;Smits Title: The vapor pressure of liquid carbon dioxide Citation: Physica (Amsterdam),1950,16,501,,,,,,,,
263.15237,2641.54,9.12,Liquid-Gas,Experimental,NIST,Authors: Fredenslund, A.;Mollerup, J. M. Title: Measurement and prediction of equilibrium ratios for the C2H6 + CO2 system Citation: J. Chem. Soc., Faraday Trans. 1,1974,70, 1653-1660,,,,,,,,
266,2872.3,7.2,Liquid-Gas,Experimental,NIST,Authors: Yucelen, B.;Kidnay, A. J. Title: Vapor-Liquid Equiliblria in the Nitrogen + Carbon Dioxide + Propane System from 240 to 330 K at Pressures to 15 MPa Citation: J. Chem. Eng. Data,1999,44, 926-931,,,,,,,,,
270,3203,160,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
270,3209,80,Liquid-Gas,Experimental,NIST,Authors: Wei, M. S.-W.;Brown, T. S.;Kidnay, A. J.;Sloan, E. D. Title: Vapor + Liquid Equilibria for the Ternary System Methane + Ethane + Carbon Dioxide at 230 K and Its Constituent Binaries at Temperatures from 207 to 270 K Citation: J. Chem. Eng. Data,1995,40, 726-731,,,,,,,
270.001,3203,8,Liquid-Gas,Experimental,NIST,Authors: Al-Sahhaf, T. A.;Kidnay, A. J.;Sloan, E. D. Title: Liquid + Vapor Equilibria in the N2 + CO2 + CH4 System Citation: Ind. Eng. Chem. Fundam.,1983,22, 372-380,,,,,,,,
270.001,3198.83,34.45,Liquid-Gas,Experimental,NIST,Authors: Somait, F. A.;Kidnay, A. J. Title: Liquid-Vapor Equilibria at 270.00 K for Systems Containing Nitrogen, Methane, and Carbon Dioxide Citation: J. Chem. Eng. Data,1978,23, 301-305,,,,,,,
