Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,
240.37624,0.109991354,0.00533289,Liquid-Gas,Experimental,NIST,Authors: Muendel, C. F. Title: Experimental determination and theoretical calculation of small vapor pressures at low temperatures. Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1913,85, 435-65,,,,,,,,,
241.07568,0.11039092,0.02078496,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
248.56968,0.22958245,0.02876697,Liquid-Gas,Experimental,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
256.6632,0.43063258,0.04485764,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
262.55848,0.69327898,0.06587725,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
263.05808,0.81327,0.103058,Liquid-Gas,Experimental - Rejected,NIST,Authors: Isii, N. Title: The volatility of fuels containing ethyl alcohol. V. total and partial vapor pressure of mixtures of ethyl alcohol and methylcyclohexane Citation: Kogyo Kagaku Zasshi,1935,38, 659-61,,,,,,,,,,
269.85264,1.3638878,0.0161187,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wroblewski, S. Citation: Oesterr. Akad. Wiss., Math.-Naturwiss. Kl., Sitzungsber.,1888,97,1362,,,,,,,,
271.10164,1.3465693,0.01002984,Liquid-Gas,Experimental - Rejected,NIST,Authors: Merriman, R. W. Title: The vapor pressures of the lower alcohols and their azeotropic mixtures with water: part I ethyl alcohol Citation: J. Chem. Soc.,1913,103, 628-37,,,,,,,,,,
273.10004,1.6399,0.11066,Liquid-Gas,Experimental,NIST,Authors: Isii, N. Title: The volatility of fuels containing ethyl alcohol. V. total and partial vapor pressure of mixtures of ethyl alcohol and methylcyclohexane Citation: Kogyo Kagaku Zasshi,1935,38, 659-61,,,,,,,,,,
273.10004,1.6532,0.11066,Liquid-Gas,Experimental - Rejected,NIST,Authors: Louder, E. A.;Briggs, T. R.;Browne, A. W. Title: Vapor pressure curves for systems containing alcohol, ether, and water Citation: Ind. Eng. Chem.,1924,16, 932-935,,,,,,
273.10004,1.63187,0.02133,Liquid-Gas,Experimental - Rejected,NIST,Authors: Young, S. Title: The Internal Heat of Vaporization constants of thirty pure substances Citation: Sci. Proc. R. Dublin Soc.,1910,12, 374-443,,,,,,,,,,
273.15,1.64,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Nagai, Y.;Isii, N. Title: Studies of the Volatility of Fuels Containing Ethyl Alcohol II. Calculation of Starting Tempertures of an Engine when using Ethyl Alcohol-Ethyl Ether Mixtures as its Fuel Citation: Kogyo Kagaku Zasshi,1935,38, 86-91,,,,,,,,,
274.6491,0.666612,0.270874,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kahlbaum, G. W. A. Title: The dependence of Boiling Temperature on Air Pressure Citation: Ber. Dtsch. Chem. Ges.,1884,17,1245,,,,,,,,,,
276.04826,1.9998489,0.01166971,Liquid-Gas,Experimental - Rejected,NIST,Authors: Merriman, R. W. Title: The vapor pressures of the lower alcohols and their azeotropic mixtures with water: part I ethyl alcohol Citation: J. Chem. Soc.,1913,103, 628-37,,,,,,,,,,
277.34748,2.2518148,0.019665,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wroblewski, S. Citation: Oesterr. Akad. Wiss., Math.-Naturwiss. Kl., Sitzungsber.,1888,97,1362,,,,,,,,
277.592055389,1.89596423,0.39553,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wollaston, W. H. Title: New Experimental Researches on Som of the Leading Doctrines of the Caloric; Particularily on the Relation Between the Elasticity, Temperature and Latent Heat of Different Vapors; and on the Thermo- m Citation: Philos. Trans. R. Soc. London,1818,108,338,,,,,,,,,
277.94712,2.391803,0.020225,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wroblewski, S. Citation: Oesterr. Akad. Wiss., Math.-Naturwiss. Kl., Sitzungsber.,1888,97,1362,,,,,,,,
278.087036,2.2398425,0.01226966,Liquid-Gas,Experimental,NIST,Authors: Merriman, R. W. Title: The vapor pressures of the lower alcohols and their azeotropic mixtures with water: part I ethyl alcohol Citation: J. Chem. Soc.,1913,103, 628-37,,,,,,,,,,
278.09703,2.3065,0.11066,Liquid-Gas,Experimental - Rejected,NIST,Authors: Louder, E. A.;Briggs, T. R.;Browne, A. W. Title: Vapor pressure curves for systems containing alcohol, ether, and water Citation: Ind. Eng. Chem.,1924,16, 932-935,,,,,,
278.15,2.237,0.032,Liquid-Gas,Experimental,NIST,Authors: Garriga, R.;Martinez, S.;Perez, P.;Gracia, M. Title: Vapour pressures at 10 different temperatures between 278.15 and 323.15 K for binary mixtures of 1-bromobutane with ethanol or 1-hexanol Citation: Fluid Phase Equilib.,2003,207, 97-109,,,,,,,
278.6467,2.27448627,0.11644829,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
279.6461,1.33322,0.54173,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kahlbaum, G. W. A. Title: The dependence of Boiling Temperature on Air Pressure Citation: Ber. Dtsch. Chem. Ges.,1884,17,1245,,,,,,,,,,
280.368088769,2.3699638,0.409753,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wollaston, W. H. Title: New Experimental Researches on Som of the Leading Doctrines of the Caloric; Particularily on the Relation Between the Elasticity, Temperature and Latent Heat of Different Vapors; and on the Thermo- m Citation: Philos. Trans. R. Soc. London,1818,108,338,,,,,,,,,
280.44562,2.9851012,0.0226115,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wroblewski, S. Citation: Oesterr. Akad. Wiss., Math.-Naturwiss. Kl., Sitzungsber.,1888,97,1362,,,,,,,,
281.94472,3.1077444,0.023065,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wroblewski, S. Citation: Oesterr. Akad. Wiss., Math.-Naturwiss. Kl., Sitzungsber.,1888,97,1362,,,,,,,,
282.6443,1.99984,0.8126,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kahlbaum, G. W. A. Title: The dependence of Boiling Temperature on Air Pressure Citation: Ber. Dtsch. Chem. Ges.,1884,17,1245,,,,,,,,,,
282.94412,3.2677446,0.0237447,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wroblewski, S. Citation: Oesterr. Akad. Wiss., Math.-Naturwiss. Kl., Sitzungsber.,1888,97,1362,,,,,,,,
283.09403,3.1864,0.115057,Liquid-Gas,Experimental - Rejected,NIST,Authors: Isii, N. Title: The volatility of fuels containing ethyl alcohol. V. total and partial vapor pressure of mixtures of ethyl alcohol and methylcyclohexane Citation: Kogyo Kagaku Zasshi,1935,38, 659-61,,,,,,,,,,
283.09403,3.2397,0.11066,Liquid-Gas,Experimental - Rejected,NIST,Authors: Louder, E. A.;Briggs, T. R.;Browne, A. W. Title: Vapor pressure curves for systems containing alcohol, ether, and water Citation: Ind. Eng. Chem.,1924,16, 932-935,,,,,,
283.144,2.9123,0.939384,Liquid-Gas,Experimental,NIST,Authors: Ure, A. Title: New Experimental Researches on som of the leading Doctrines of Caloric; particularily on the Relation between the Elasticity, Temperature and latent Heat of different Vapours; and on thermometric Adm Citation: Philos. Mag.,1818,53,38,,,,,,,,,
283.144,3.19,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Nagai, Y.;Isii, N. Title: Studies of the Volatility of Fuels Containing Ethyl Alcohol II. Calculation of Starting Tempertures of an Engine when using Ethyl Alcohol-Ethyl Ether Mixtures as its Fuel Citation: Kogyo Kagaku Zasshi,1935,38, 86-91,,,,,,,,,
283.144222067,3.230401,0.0333306,Liquid-Gas,Experimental - Rejected,NIST,Authors: Regnault, V. Citation: Jahresber. Fort. Chem.,1863,16,70,,,,,,,,,,
283.144222067,2.91165717,0.42668,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wollaston, W. H. Title: New Experimental Researches on Som of the Leading Doctrines of the Caloric; Particularily on the Relation Between the Elasticity, Temperature and Latent Heat of Different Vapors; and on the Thermo- m Citation: Philos. Trans. R. Soc. London,1818,108,338,,,,,,,,,
283.84358,3.4397304,0.0244247,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wroblewski, S. Citation: Oesterr. Akad. Wiss., Math.-Naturwiss. Kl., Sitzungsber.,1888,97,1362,,,,,,,,
283.94352,3.20507907,0.13135733,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
284.24334,3.2517419,0.132105402,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
285.54256,2.66645,1.08346,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kahlbaum, G. W. A. Title: The dependence of Boiling Temperature on Air Pressure Citation: Ber. Dtsch. Chem. Ges.,1884,17,1245,,,,,,,,,,
285.920355409,3.385711,0.44023,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wollaston, W. H. Title: New Experimental Researches on Som of the Leading Doctrines of the Caloric; Particularily on the Relation Between the Elasticity, Temperature and Latent Heat of Different Vapors; and on the Thermo- m Citation: Philos. Trans. R. Soc. London,1818,108,338,,,,,,,,,
285.94232,2.7331,0.02666,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kahlbaum, G. W. A. Title: Boiling temperature as a function of atmospheric pressure Citation: Ber. Dtsch. Chem. Ges.,1883,16, 2476-85,,,,,,,,,,
286.74184,4.089,0.0270244,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wroblewski, S. Citation: Oesterr. Akad. Wiss., Math.-Naturwiss. Kl., Sitzungsber.,1888,97,1362,,,,,,,,
287.151594,4.0663589,0.0168253,Liquid-Gas,Experimental,NIST,Authors: Merriman, R. W. Title: The vapor pressures of the lower alcohols and their azeotropic mixtures with water: part I ethyl alcohol Citation: J. Chem. Soc.,1913,103, 628-37,,,,,,,,,,
287.54136,3.33306,1.35432,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kahlbaum, G. W. A. Title: The dependence of Boiling Temperature on Air Pressure Citation: Ber. Dtsch. Chem. Ges.,1884,17,1245,,,,,,,,,,
288.141,4.4263,0.11999,Liquid-Gas,Experimental - Rejected,NIST,Authors: Louder, E. A.;Briggs, T. R.;Browne, A. W. Title: Vapor pressure curves for systems containing alcohol, ether, and water Citation: Ind. Eng. Chem.,1924,16, 932-935,,,,,,
