Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,
303.25,0.002082,0.000149,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
303.25,0.002082,0.000149,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
303.5,0.002343,0.000236,Liquid-Gas,Experimental,NIST,Authors: Kulikov, D.,Verevkin, S. P.,Heintz, A. Title: Enthalpies of vaporization of a series of aliphatic alcohols Experimental results and values predicted by the ERAS-model Citation: Fluid Phase Equilib.,2001,192, 187-207,,,
305.33312,0.0046796,0.0009333,Liquid-Gas,Experimental,NIST,Authors: Spizzichino, C. Title: Vapor pressures and heats of vaporization of fatty acids, methyl esters, and fatty alcohols at pressures below 1 mm hg Citation: J. Rech. C. N. R. S.,1956, , 1-24,,,,,
306.5,0.003056,0.000307,Liquid-Gas,Experimental,NIST,Authors: Kulikov, D.,Verevkin, S. P.,Heintz, A. Title: Enthalpies of vaporization of a series of aliphatic alcohols Experimental results and values predicted by the ERAS-model Citation: Fluid Phase Equilib.,2001,192, 187-207,,,
308.141555,0.007999,0.0013066,Liquid-Gas,Experimental,NIST,Authors: Singh, J.,Benson, G. C. Title: Measurement of the vapor pressure of methanol-n-decanol and ethanol-n-decanol mixtures Citation: Can. J. Chem.,1968,46, 1249-1254,,,,,
308.141555,0.007999,0.0004,Liquid-Gas,Experimental,NIST,Authors: Singh, J.,Pflug, H. D.,Benson, G. C. Title: Excess thermodynamic properties of isopropanol-n-decanol mixtures Citation: Can. J. Chem.,1969,47, 543-6,,,
308.15,0.001,0.01,Liquid-Gas,Experimental - Rejected,NIST,Authors: Garriga, R.,Martinez, S.,Perez, P.,Gracia, M. Title: Vapor Liquid Equilibrium between (278.15 and 323.15) K and Excess Functions at T ) 298.15 K for 1-Bromobutane with 1-Octanol or 1-Decanol Citation: J. Chem. Eng. Data,2004,49, 224-230,
308.83172,0.0067328,0.0013466,Liquid-Gas,Experimental,NIST,Authors: Spizzichino, C. Title: Vapor pressures and heats of vaporization of fatty acids, methyl esters, and fatty alcohols at pressures below 1 mm hg Citation: J. Rech. C. N. R. S.,1956, , 1-24,,,,,
309.3,0.003942,0.000397,Liquid-Gas,Experimental,NIST,Authors: Kulikov, D.,Verevkin, S. P.,Heintz, A. Title: Enthalpies of vaporization of a series of aliphatic alcohols Experimental results and values predicted by the ERAS-model Citation: Fluid Phase Equilib.,2001,192, 187-207,,,
309.93128,0.007866,0.0015732,Liquid-Gas,Experimental,NIST,Authors: Spizzichino, C. Title: Vapor pressures and heats of vaporization of fatty acids, methyl esters, and fatty alcohols at pressures below 1 mm hg Citation: J. Rech. C. N. R. S.,1956, , 1-24,,,,,
312.2,0.005453,0.000549,Liquid-Gas,Experimental,NIST,Authors: Kulikov, D.,Verevkin, S. P.,Heintz, A. Title: Enthalpies of vaporization of a series of aliphatic alcohols Experimental results and values predicted by the ERAS-model Citation: Fluid Phase Equilib.,2001,192, 187-207,,,
313.13,0.0107058,0.0021332,Liquid-Gas,Experimental,NIST,Authors: Spizzichino, C. Title: Vapor pressures and heats of vaporization of fatty acids, methyl esters, and fatty alcohols at pressures below 1 mm hg Citation: J. Rech. C. N. R. S.,1956, , 1-24,,,,,
313.140055,0.011999,0.001467,Liquid-Gas,Experimental,NIST,Authors: Singh, J.,Benson, G. C. Title: Measurement of the vapor pressure of methanol-n-decanol and ethanol-n-decanol mixtures Citation: Can. J. Chem.,1968,46, 1249-1254,,,,,
313.140055,0.011999,0.000667,Liquid-Gas,Experimental,NIST,Authors: Singh, J.,Pflug, H. D.,Benson, G. C. Title: Excess thermodynamic properties of isopropanol-n-decanol mixtures Citation: Can. J. Chem.,1969,47, 543-6,,,
313.15,0.004,0.003,Liquid-Gas,Experimental,NIST,Authors: Garriga, R.,Martinez, S.,Perez, P.,Gracia, M. Title: Isothermal (vapour + liquid) equilibrium at several temperatures of (1-chlorobutane + 1-octanol, or 1-decanol) Citation: J. Chem. Thermodyn.,2004,36, 59-69
313.15,0.004,0.01,Liquid-Gas,Experimental,NIST,Authors: Garriga, R.,Martinez, S.,Perez, P.,Gracia, M. Title: Vapor Liquid Equilibrium between (278.15 and 323.15) K and Excess Functions at T ) 298.15 K for 1-Bromobutane with 1-Octanol or 1-Decanol Citation: J. Chem. Eng. Data,2004,49, 224-230,
313.2,0.005994,0.000322,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
313.2,0.005951,0.00032,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
315.1294,0.01332957,0.0026664,Liquid-Gas,Experimental,NIST,Authors: Spizzichino, C. Title: Vapor pressures and heats of vaporization of fatty acids, methyl esters, and fatty alcohols at pressures below 1 mm hg Citation: J. Rech. C. N. R. S.,1956, , 1-24,,,,,
315.3,0.007453,0.000749,Liquid-Gas,Experimental,NIST,Authors: Kulikov, D.,Verevkin, S. P.,Heintz, A. Title: Enthalpies of vaporization of a series of aliphatic alcohols Experimental results and values predicted by the ERAS-model Citation: Fluid Phase Equilib.,2001,192, 187-207,,,
318.15,0.007,0.003,Liquid-Gas,Experimental,NIST,Authors: Garriga, R.,Martinez, S.,Perez, P.,Gracia, M. Title: Isothermal (vapour + liquid) equilibrium at several temperatures of (1-chlorobutane + 1-octanol, or 1-decanol) Citation: J. Chem. Thermodyn.,2004,36, 59-69
318.15,0.007,0.01,Liquid-Gas,Experimental,NIST,Authors: Garriga, R.,Martinez, S.,Perez, P.,Gracia, M. Title: Vapor Liquid Equilibrium between (278.15 and 323.15) K and Excess Functions at T ) 298.15 K for 1-Bromobutane with 1-Octanol or 1-Decanol Citation: J. Chem. Eng. Data,2004,49, 224-230,
