Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,
400.3799178,2.656,0.003,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
400.41891,2.6798,0.21332,Liquid-Gas,Experimental,NIST,Authors: Kemme, H. R.,Kreps, S. I. Title: Vapor Pressure of Primary n-Alkyl Chlorides and Alcohols Citation: J. Chem. Eng. Data,1969,14, 98-102,,,,,
400.62925,2.6665,0.666625,Liquid-Gas,Experimental,NIST,Authors: Drake, L. R.,Marvel, C. S. Citation: J. Org. Chem.,1937,2,387,,,,,
401.308732,2.774,0.011,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
402.6444648,2.968,0.003,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
403.048384,3.017,0.011,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
404.66806,3.263,0.011,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
406.157762,3.504,0.011,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
406.6906554,3.6,0.1,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
408.71725,3.9863,0.30664,Liquid-Gas,Experimental,NIST,Authors: Kemme, H. R.,Kreps, S. I. Title: Vapor Pressure of Primary n-Alkyl Chlorides and Alcohols Citation: J. Chem. Eng. Data,1969,14, 98-102,,,,,
411.361721,4.468,0.004,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
414.9330066,5.242,0.005,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
415.31593,5.3462,0.4133,Liquid-Gas,Experimental,NIST,Authors: Kemme, H. R.,Kreps, S. I. Title: Vapor Pressure of Primary n-Alkyl Chlorides and Alcohols Citation: J. Chem. Eng. Data,1969,14, 98-102,,,,,
416.1326,11.7324,1.75986,Liquid-Gas,Experimental - Rejected,NIST,Authors: Schultz, G. Citation: Ber. Dtsch. Chem. Ges.,1909,42,3609,,,,,,,
418.9781974,6.25,0.01,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
422.5284872,7.266,0.007,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
423.01439,7.4661,0.57329,Liquid-Gas,Experimental,NIST,Authors: Kemme, H. R.,Kreps, S. I. Title: Vapor Pressure of Primary n-Alkyl Chlorides and Alcohols Citation: J. Chem. Eng. Data,1969,14, 98-102,,,,,
427.7154496,8.995,0.008,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
432.312765,10.8124,0.8399,Liquid-Gas,Experimental,NIST,Authors: Kemme, H. R.,Kreps, S. I. Title: Vapor Pressure of Primary n-Alkyl Chlorides and Alcohols Citation: J. Chem. Eng. Data,1969,14, 98-102,,,,,
432.3187644,10.799,0.009,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
436.8053157,12.835,0.011,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
441.7648197,15.439,0.012,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
443.011695,16.172,1.252964,Liquid-Gas,Experimental,NIST,Authors: Kemme, H. R.,Kreps, S. I. Title: Vapor Pressure of Primary n-Alkyl Chlorides and Alcohols Citation: J. Chem. Eng. Data,1969,14, 98-102,,,,,
447.7642197,19.146,0.014,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
450.679,21.193,0.016,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
455.851,25.25,0.02,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
457.011,26.3978,2.053164,Liquid-Gas,Experimental,NIST,Authors: Kemme, H. R.,Kreps, S. I. Title: Vapor Pressure of Primary n-Alkyl Chlorides and Alcohols Citation: J. Chem. Eng. Data,1969,14, 98-102,,,,,
462.4877473,31.359,0.022,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
467.5942366,36.808,0.026,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
470.51,40.3967,3.133076,Liquid-Gas,Experimental,NIST,Authors: Kemme, H. R.,Kreps, S. I. Title: Vapor Pressure of Primary n-Alkyl Chlorides and Alcohols Citation: J. Chem. Eng. Data,1969,14, 98-102,,,,,
474.149,44.875,0.03,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
475.654,101.325,25.33125,Liquid-Gas,Experimental - Rejected,NIST,Authors: Grimshaw, H. Citation: Chem. Ber.,1877,10,1602,,,,,,,
480.462,53.899,0.035,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
486.229,63.364,0.04,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
488.41,67.3011,5.212905,Liquid-Gas,Experimental,NIST,Authors: Kemme, H. R.,Kreps, S. I. Title: Vapor Pressure of Primary n-Alkyl Chlorides and Alcohols Citation: J. Chem. Eng. Data,1969,14, 98-102,,,,,
492.033,74.144,0.046,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
498.599,87.994,0.052,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
499.66295,98.3919,19.67838,Liquid-Gas,Experimental,NIST,Authors: Brown, H. C.,Subba Rao, B. C. Title: Hydroboration: I the reaction of olefins with sodium borohydride + aluminum chloride a convenient route to organoboranes and the anti- markownikoff hydration of olefins Citation: J. Am. Chem. Soc.,1959,81,6423,,,,,
501.1634,101.3247,10.13247,Liquid-Gas,Experimental - Rejected,NIST,Authors: Talvitie, Y. Citation: Ann. Acad. Sci. Fenn.,1927,26, 1-94,,,,,,,
502.01,94.391976,9.4391976,Liquid-Gas,Experimental,NIST,Authors: Katti, P. K.,Pathak, C. M. Title: Surface Thermodynamic Properties of Alcohols and Related Compounds Citation: J. Chem. Eng. Data,1969,14,73,,,,,
502.1637,95.9921,14.398815,Liquid-Gas,Experimental,NIST,Authors: Schultz, G. Citation: Ber. Dtsch. Chem. Ges.,1909,42,3609,,,,,,,
502.1637,101.325,5.06625,Liquid-Gas,Experimental - Rejected,NIST,Authors: Vogel, A. I. Title: Physical Properties and Chemical Constitution XX. Aliphatic Alcohols and Acids Citation: J. Chem. Soc.,1948, , 1814-1819,,,,,,,
502.66385,101.325,20.265,Liquid-Gas,Experimental,NIST,Authors: van Romburgh, P. Citation: Recl. Trav. Chim. Pays-Bas,1938,57,494,,,,,,,
502.95,101,1.01,Liquid-Gas,Experimental - Rejected,NIST,Authors: Mehra, R.,Gaur, A. K. Title: Study of a Binary Liquid Mixture of Diethylamine and 1-Decanol and Validation of Theoretical Approaches of Sound Speed at Different Temperatures Citation: J. Chem. Eng. Data,2008,53, 863-866,,,,,
503.003952,101.325,10.1325,Liquid-Gas,Experimental,NIST,Authors: Staveley, L. A. K.,Spice, B. Title: Solutions of Alcohols in Nonpolar Solvents II. Volume Relations in Dilute Solns. of primary Alcohols in Benzene, Heptane, and Cyclohexane Citation: J. Chem. Soc.,1952, , 406-14,,,
503.164,101.325,20.265,Liquid-Gas,Experimental,NIST,Authors: Schrauth, W.,Schenck, O.,Stickdorn, K. Citation: Chem. Ber.,1931,64,1314,,,
503.581,99.886,0.059,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
503.6642,101.325,15.19875,Liquid-Gas,Experimental,NIST,Authors: Komarewsky, V. I.,Coley, J. R. Title: Catalytic dehydrogenation and condensation of aliphatic alcohols: II Citation: J. Am. Chem. Soc.,1941,63, 3269-70,,,,,
503.7,101.325,2.533125,Liquid-Gas,Experimental,NIST,Authors: Kirbaslar, S. I.,Sahin, S.,Bilgin, M. Title: (Liquid + liquid) equilibria of (water + propionic acid + alcohol) ternary systems Citation: J. Chem. Thermodyn.,2006,38, 1503-1509,,,
503.7,101.325,2.533125,Liquid-Gas,Experimental,NIST,Authors: Uslu, H.,Gok, A.,Kirbaslar, S. I. Title: Phase equilibria of (water + levunilic acid + alcohol) ternary systems Citation: Fluid Phase Equilib.,2008,273, 21-26,,,
503.7,101.325,0.506625,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kirbaslar, S. I. Title: LIQUID - LIQUID EQUILIBRIA OF THE WATER + BUTYRIC ACID + DECANOL TERNARY SYSTEM Citation: Braz. J. Chem. Eng.,2006,23, 365-374,,,,,,,
503.7,101.325,1.01325,Liquid-Gas,Experimental - Rejected,NIST,Authors: Sahin, S.,Kirbaslar, S. I.,Bilgin, M. Title: (Liquid + liquid) equilibria of (water + lactic acid + alcohol) ternary systems Citation: J. Chem. Thermodyn.,2009,41, 97-102,,,
504.11,101.325,5.572875,Liquid-Gas,Experimental,NIST,Authors: Belousov, V. P.,Kurtynina, L. M.,Kozulayev, A. A. Title: Heats of mixing for liquids: vii heats of mixing for cyclohexane with propyl, butyl, isobutyl and decyl alcohols Citation: Vestn. Leningr. Univ., Ser. 4: Fiz. Khim.,1970, ,163
504.11,101.005,7.82602,Liquid-Gas,Experimental,NIST,Authors: Kemme, H. R.,Kreps, S. I. Title: Vapor Pressure of Primary n-Alkyl Chlorides and Alcohols Citation: J. Chem. Eng. Data,1969,14, 98-102,,,,,
504.11,101.325,10.1831625,Liquid-Gas,Experimental,NIST,Authors: Smirnova, N. A.,Kurtynina, L. M. Title: Thermodynamic functions of mixing for a number of binary alcohol-hydrocarbon solutions Citation: Zh. Fiz. Khim.,1969,43,1883,,,,,
504.1644,101.1917,10.11917,Liquid-Gas,Experimental,NIST,Authors: Costello, J. M.,Bowden, S. T. Title: The Temperature Variation of Orthobaric Density Difference in Liquid-Vapor Systems III. Alcohols Citation: Recl. Trav. Chim. Pays-Bas,1958,77, 36-46,,,,,
504.1644,101.325,15.19875,Liquid-Gas,Experimental,NIST,Authors: Krafft, F. Title: A few higher normal paraffins. Citation: Chem. Ber.,1886,19,2218,,,,,,,
504.46452,101.325,10.1325,Liquid-Gas,Experimental,NIST,Authors: McKenna, F. E.,Tartar, H. V.,Lingafelter, E. C. Title: Studies of hemiacetal formation in alcohol - aldehyde systems: II refraction studies Citation: J. Am. Chem. Soc.,1953,75, 604-7,,,
504.6646,101.325,20.265,Liquid-Gas,Experimental,NIST,Authors: Komppa, G.,Talvitie, Y. Title: The normal decyl series Citation: J. Prakt. Chem.,1932,135, 193-203,,,,,
505.96512,101.325,10.1325,Liquid-Gas,Experimental - Rejected,NIST,Authors: Lecat, M. Citation: Tables Azeotropiques,1949, 10th ed., Vol. 1, : Brussels, Belgium,,,,,
505.96512,101.325,2.0265,Liquid-Gas,Experimental - Rejected,NIST,Authors: Lecat, M. Title: Azeotropism in Binary Mixtures Containing an Alcohol Mixed with an amine, a nitro derivative, an ether or water. Citation: Z. Anorg. Allg. Chem.,1930,186,119,,,,,
506.06516,101.325,2.533125,Liquid-Gas,Experimental - Rejected,NIST,Authors: Lecat, M. Title: New binary azeotropes: 3rd list Citation: Ann. Soc. Sci. Bruxelles, Ser. B,1926,45, 284-94,,,,,,
506.06516,101.325,5.06625,Liquid-Gas,Experimental - Rejected,NIST,Authors: Lecat, M. Title: New binary azeotropes: 5th list Citation: Recl. Trav. Chim. Pays-Bas,1927,46, 240-7,,,,,,,
506.06516,101.325,2.533125,Liquid-Gas,Experimental - Rejected,NIST,Authors: Lecat, M. Title: New binary azeotropes: 6th list Citation: Ann. Soc. Sci. Bruxelles, Ser. B,1927,47, 63-71,,,,,,
506.06516,101.325,2.533125,Liquid-Gas,Experimental - Rejected,NIST,Authors: Lecat, M. Title: New binary azeotropes: 7th list Citation: Ann. Soc. Sci. Bruxelles, Ser. B,1927,47, 108-14,,,,,,
510.708,118.863,0.066,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
516.165,135.246,0.076,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
522.476,156.344,0.085,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
523.15,157.1,1.8,Liquid-Gas,Experimental - Rejected,NIST,Authors: Shakhverdiev, A. N.,Naziev, Y. M.,Safarov, D. T. Title: Thermal properties of aliphatic alcohols near the L-gas phase transition Citation: Thermophysical Studies of liquids and gas at high arameters of state,1992, Pg. 1631, Oil and Gas Institute:,,,
528.282,177.948,0.092,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds XXV. Vapor Pressures and Normal Boiling Temperatures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1970,2, 631-45,,,,,
548.15,271.3,2.9,Liquid-Gas,Experimental - Rejected,NIST,Authors: Shakhverdiev, A. N.,Naziev, Y. M.,Safarov, D. T. Title: Thermal properties of aliphatic alcohols near the L-gas phase transition Citation: Thermophysical Studies of liquids and gas at high arameters of state,1992, Pg. 1631, Oil and Gas Institute:,,,
573.15,442.7,4.6,Liquid-Gas,Experimental - Rejected,NIST,Authors: Shakhverdiev, A. N.,Naziev, Y. M.,Safarov, D. T. Title: Thermal properties of aliphatic alcohols near the L-gas phase transition Citation: Thermophysical Studies of liquids and gas at high arameters of state,1992, Pg. 1631, Oil and Gas Institute:,,,
687.222683865,2310,30,Liquid-Gas,Experimental,NIST,Authors: Quadri, S. K.,Khilar, K. C.,Kudchadker, A. P.,Patni, M. J. Title: Measurement of the critical temperatures and critical pressures of some thermally stable or mildly unstable alkanols Citation: J. Chem. Thermodyn.,1991,23, 67-76,
687.222683865,2320,20,Liquid-Gas,Experimental,NIST,Authors: Rosenthal, D. J.,Teja, A. S. Title: Critical pressures and temperatures of isomeric alkanols Citation: Ind. Eng. Chem. Res.,1989,28,1693,,,,,
