Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,,,
122.1507,0.0054,0.00275,Liquid-Gas,Experimental - Rejected,NIST,Authors: Delaplace, R. Title: Vapor Pressures of Saturated and Unsaturated Hydrocarbon Gases to Low Temperatures Citation: C. R. Hebd. Seances Acad. Sci.,1937,204,493,,,,,,,,,,,,,,
124.1501,0.00765,0.00388,Liquid-Gas,Experimental - Rejected,NIST,Authors: Delaplace, R. Title: Vapor Pressures of Saturated and Unsaturated Hydrocarbon Gases to Low Temperatures Citation: C. R. Hebd. Seances Acad. Sci.,1937,204,493,,,,,,,,,,,,,,
124.35012,0.00667,0,Liquid-Gas,Experimental,NIST,Authors: Ziegler, W. T. Title: The Vapor Pressures of Some Hydrocarbons in the Liquid and Solid State at Low Temperatures Citation: NBS Technical Note 4, 1-18 (1959),,,,,,,,,,,,,,,,
126.1503,0.015,0.0069,Liquid-Gas,Experimental - Rejected,NIST,Authors: Delaplace, R. Title: Vapor Pressures of Saturated and Unsaturated Hydrocarbon Gases to Low Temperatures Citation: C. R. Hebd. Seances Acad. Sci.,1937,204,493,,,,,,,,,,,,,,
130,0.018,0.06,Liquid-Gas,Experimental,NIST,Authors: Glos, S.;Kleinrahm, R.;Wagner, W. Title: Measurement of the (p,q,T) relation of propane, propylene, n-butane, and isobutane in the temperature range from (95 to 340) K at pressures up to 12 MPa using an accurate two-sinker densimeter Citation: J. Chem. Thermodyn.,2004,36, 1037-1059,,,,,,,
136,0.044665932,0.003470271,Liquid-Gas,Experimental,NIST,Authors: Perkins, R. A.;Ochoa, J. C. S.;Magee, J. W. Title: Thermodynamic Properties of Propane. II. Molar Heat Capacity at Constant Volume from (85 to 345) K with Pressures to 35 MPa Citation: J. Chem. Eng. Data,2009,54, 3192-3201,,,,,,,,,,,,
136.014,0.0442764,0,Liquid-Gas,Experimental,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
148.913175,0.4,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Burrell, G. A.;Robertson, I. W. Title: Vapor Pressures of Various Compounds at Low Temperatures Citation: U. S. Bur. Mines, Tech. Pap.,1916,142, 30pp,,,,,,,,,,,,
150.014,0.27931,0,Liquid-Gas,Experimental,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
154.86853,0.799932,0.1333,Liquid-Gas,Experimental - Rejected,NIST,Authors: Burrell, G. A.;Robertson, I. W. Title: The Vapor Pressures of Propane, Propylene and Normal Butane at Low Temperatures Citation: J. Am. Chem. Soc.,1915,37,2188,,,,,,,,,,,,
