Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,,,
228.7906364,68.619,0.312,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kemp, J. D.;Egan, C. J. Title: Hindered Rotation of the Methyl Groups in Propane. The Heat Capacity, Vapor Pressure, Heats of Fusion and Vaporization of Propane. Entropy and Density of the Gas Citation: J. Am. Chem. Soc.,1938,60, 1521-5,,,,,,,,,,,
229.78404,114.25727,0.666612,Liquid-Gas,Experimental - Rejected,NIST,Authors: Maass, O.;Wright, C. H. Title: Some Physical Properties of Hydrocarbons Containing Two and Three Carbon Atoms Citation: J. Am. Chem. Soc.,1921,43, 1098-1111,,,,,,,,,,,,,
230.48362,119.1902,0.666612,Liquid-Gas,Experimental - Rejected,NIST,Authors: Maass, O.;Wright, C. H. Title: Some Physical Properties of Hydrocarbons Containing Two and Three Carbon Atoms Citation: J. Am. Chem. Soc.,1921,43, 1098-1111,,,,,,,,,,,,,
230.83341,101.325,1.01325,Liquid-Gas,Experimental - Rejected,NIST,Authors: McMillan, W. A. Title: I analytical fractionation of hydrocarbon gases Citation: J. Inst. Pet.,1936,22, 616-45,,,,,,,,,,,,,,
230.973326,100.925,0.4,Liquid-Gas,Experimental,NIST,Authors: Dana, L. I.;Jenkins, A. C.;Burdick, H. E.;Timm, R. C. Title: Thermodynamic Properties of Butane, Isobutane, and Propane Citation: Refrig. Eng.,1926,12,387,,,,,,,,,
231.013302,101.325,0.3546375,Liquid-Gas,Experimental,NIST,Authors: Hicks-Brunn, M. M.;Bruun, J. H. Title: The Freezing and Boiling Point of Propane Citation: J. Am. Chem. Soc.,1936,58, 810-2,,,,,,,,,,,,,
231.1832,101.325,5.06625,Liquid-Gas,Experimental,NIST,Authors: Grosse, A. V.;Mavity, J. M.;Mattox, W. J. Title: Catalytic Dehydrogenation of Polycyclic Naphthenes Citation: Ind. Eng. Chem.,1946,38,1041,,,,,,,,,,,,
233.182,103.4213,5.171065,Liquid-Gas,Experimental - Rejected,NIST,Authors: Akers, W. W.;Kelley, R. E.;Lipscomb, T. G. Title: Carbon Dioxide - Propane System Citation: Ind. Eng. Chem.,1954,46,2535,,,,,,,,,,,,
233.20768,110.46,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wolff, H.;Hoepfner, A. Title: Normal and inverse vapour pressure-isotope effect of ammonia Citation: Ber. Bunsen-Ges. Phys. Chem.,1969,73,480,,,,,,,,,,,,,
233.215,111.3,2,Liquid-Gas,Experimental,NIST,Authors: Dong, X.;Gong, M.;Liu, J.;Wu, J. Title: Experimental measurement of vapor pressures and (vapor + liquid) equilibrium  for {1,1,1,2-tetrafluoroethane (R134a) + propane (R290)} by a recirculation  apparatus with view windows Citation: J. Chem. Thermodyn.,2011,43, 505-510,,,,,,,,
240.1764,182.385,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hainlen, A. Title: Propane and Ethane in the Liquid State. Citation: Justus Liebigs Ann. Chem.,1894,282, 229-45,,,,,,,,,,,,,,
241,154.11009,11.939652,Liquid-Gas,Experimental,NIST,Authors: Perkins, R. A.;Ochoa, J. C. S.;Magee, J. W. Title: Thermodynamic Properties of Propane. II. Molar Heat Capacity at Constant Volume from (85 to 345) K with Pressures to 35 MPa Citation: J. Chem. Eng. Data,2009,54, 3192-3201,,,,,,,,,,,,
241.53,158.4,0.5,Liquid-Gas,Experimental,NIST,Authors: Zhang, Y.;Gong, M.;Zhu, H.;Liu, J.;Wu, J. Title: Development and Verification of a New Apparatus Equilibria Measurements Citation: J. Eng. Thermophys.,2007,28,327,,,,,,,,,,
241.555296,156.92,0.666612,Liquid-Gas,Experimental,NIST,Authors: Dana, L. I.;Jenkins, A. C.;Burdick, H. E.;Timm, R. C. Title: Thermodynamic Properties of Butane, Isobutane, and Propane Citation: Refrig. Eng.,1926,12,387,,,,,,,,,
241.97496,159.987,0,Liquid-Gas,Experimental,NIST,Authors: Ziegler, W. T. Title: The Vapor Pressures of Some Hydrocarbons in the Liquid and Solid State at Low Temperatures Citation: NBS Technical Note 4, 1-18 (1959),,,,,,,,,,,,,,,,
242.324680165,182.385,1.332957,Liquid-Gas,Experimental - Rejected,NIST,Authors: Maass, O.;Wright, C. H. Title: Some Physical Properties of Hydrocarbons Containing Two and Three Carbon Atoms Citation: J. Am. Chem. Soc.,1921,43, 1098-1111,,,,,,,,,,,,,
243.23,168,0.6,Liquid-Gas,Experimental,NIST,Authors: Dicko, M.;Coquelet, C.;Theveneau, P.;Mougin, P. Title: Phase Equilibria of H2S-Hydrocarbons (Propane, n-Butane, and n-Pentane) Binary Systems at Low Temperatures Citation: J. Chem. Eng. Data,2012,57, 1534-1543,,,,,,,,,
246.33,190.8,0.6,Liquid-Gas,Experimental,NIST,Authors: Zhang, Y.;Gong, M.;Zhu, H.;Liu, J.;Wu, J. Title: Development and Verification of a New Apparatus Equilibria Measurements Citation: J. Eng. Thermophys.,2007,28,327,,,,,,,,,,
247.126,195.6,2,Liquid-Gas,Experimental,NIST,Authors: Dong, X.;Gong, M.;Liu, J.;Wu, J. Title: Experimental measurement of vapor pressures and (vapor + liquid) equilibrium  for {1,1,1,2-tetrafluoroethane (R134a) + propane (R290)} by a recirculation  apparatus with view windows Citation: J. Chem. Thermodyn.,2011,43, 505-510,,,,,,,,
252.104,236,20,Liquid-Gas,Experimental,NIST,Authors: Qi, Y.;Zhang, H.;Liu, Y.;Wu, W.;Chen, X.;Yang, X. Title: PVTx properties in the gas phase for binary R290/R134a system Citation: J. Chem. Thermodyn.,2014,70, 111-121,,,,,,,,,
253.21596,234.4,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Akers, W. W.;Kelley, R. E.;Lipscomb, T. G. Title: Carbon Dioxide - Propane System Citation: Ind. Eng. Chem.,1954,46,2535,,,,,,,,,,,,
254.31,257,10,Liquid-Gas,Experimental,NIST,Authors: Dong, X.;Gong, M.;Zhang, Y.;Liu, J.;Wu, J. Title: Isothermal Vapor-Liquid Equilibria for 1,1-Difluoroethane (R152a) + Propane (R290) at Temperatures between (254.31 and 287.94) K Citation: J. Chem. Eng. Data,2010,55, 2145-2148,,,,,,,,,
255.40392,261.2,1.3,Liquid-Gas,Experimental - Rejected,NIST,Authors: Blanc, C. J.;Setier, J.-C. B. Title: Vapor-Liquid Equilibria in the Ethane-Propane System at Low Temperature Citation: J. Chem. Eng. Data,1988,33, 111-115,,,,,,,,,,,,,
257.85,286.3,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Shiflett, M. B.;Sandler, S. I. Citation: Fluid Phase Equilib.,1998,147,145,,,,,,,,,,,,,
258.161997674,314.107,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hainlen, A. Title: Propane and Ethane in the Liquid State. Citation: Justus Liebigs Ann. Chem.,1894,282, 229-45,,,,,,,,,,,,,,
260.9377776,324.743,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Reamer, H. H.;Sage, B. H. Title: Volumetric and phase behavior of propene-propane system Citation: Ind. Eng. Chem.,1951,43, 1628-1634,,,,,,,,,,,,,
261.123,322.7,2.1,Liquid-Gas,Experimental,NIST,Authors: Dong, X.;Gong, M.;Liu, J.;Wu, J. Title: Experimental measurement of vapor pressures and (vapor + liquid) equilibrium  for {1,1,1,2-tetrafluoroethane (R134a) + propane (R290)} by a recirculation  apparatus with view windows Citation: J. Chem. Thermodyn.,2011,43, 505-510,,,,,,,,
263.15237,342.252,1.961,Liquid-Gas,Experimental - Rejected,NIST,Authors: Skripka, V. G.;Nikitina, I. E.;Zhdanovich, L. A.;Sirotin, A. G.;Ben'yaminovich, O. A. Title: Liquid-vapor phase equilibrium at low temperatures in binary systems formed by components of natural gas Citation: Gaz. Prom-st.,1970, 15(12), 35-6,,,,,,,,,,
266.50532,385.4,0,Liquid-Gas,Experimental,NIST,Authors: Hipkin, H. G. Title: Experimental Vapor-Liquid Equilibrium Data for Propane-Isobutane Citation: AIChE J.,1966,12,484,,,,,,,,,,,,,,
268.15,407.9,2,Liquid-Gas,Experimental,NIST,Authors: Lim, J. S.;Park, J. -Y.;Lee, B.-G. Title: High Pressure Vapor-Liquid Equilibria of Binary System 1,1,1-trifluoroethane (HFC-143a)+Propane (HC-290) Citation: Korean J. Chem. Eng.,2005,22, 932-937,,,,,,,,,,
268.153991888,415.432,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hainlen, A. Title: Propane and Ethane in the Liquid State. Citation: Justus Liebigs Ann. Chem.,1894,282, 229-45,,,,,,,,,,,,,,
268.60364,413.033,2.4,Liquid-Gas,Experimental,NIST,Authors: Dana, L. I.;Jenkins, A. C.;Burdick, H. E.;Timm, R. C. Title: Thermodynamic Properties of Butane, Isobutane, and Propane Citation: Refrig. Eng.,1926,12,387,,,,,,,,,
268.613632,392.634,2.4,Liquid-Gas,Experimental - Rejected,NIST,Authors: Dana, L. I.;Jenkins, A. C.;Burdick, H. E.;Timm, R. C. Title: Thermodynamic Properties of Butane, Isobutane, and Propane Citation: Refrig. Eng.,1926,12,387,,,,,,,,,
269.999,430.73,0.16,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
270,430.425,0.676,Liquid-Gas,Experimental,NIST,Authors: Glos, S.;Kleinrahm, R.;Wagner, W. Title: Measurement of the (p,q,T) relation of propane, propylene, n-butane, and isobutane in the temperature range from (95 to 340) K at pressures up to 12 MPa using an accurate two-sinker densimeter Citation: J. Chem. Thermodyn.,2004,36, 1037-1059,,,,,,,
270,433.6,1.1,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yucelen, B.;Kidnay, A. J. Title: Vapor-Liquid Equiliblria in the Nitrogen + Carbon Dioxide + Propane System from 240 to 330 K at Pressures to 15 MPa Citation: J. Chem. Eng. Data,1999,44, 926-931,,,,,,,,,,,,,
273.15,475.622525,2.941995,Liquid-Gas,Experimental,NIST,Authors: Hakuta, T.;Nagahama, K.;Hirata, M. Title: Binary Vapor-Liquid Equilibrium for C3 Hydrocarbons Citation: Bull. Jpn. Pet. Inst.,1969,11,10/05/26,,,,,,,,,,,,
273.15,473,0,Liquid-Gas,Experimental,NIST,Authors: Noda, K.;Inoue, K.;Asai, T.;Ishida, K. Title: Isothermal vapor-liquid and liquid-liquid equilibria for the propane- ammonia and propylene-ammonia systems Citation: J. Chem. Eng. Data,1993,38,09/11/26,,,,,,,,,,,
273.15,474.6,2.5,Liquid-Gas,Experimental,NIST,Authors: Park, Y. M.;Jung, M. Y. Title: Vapor-Liquid Equilibria for the Pentafluoroethane (HFC-125) + Propane (R-290) System Citation: J. Chem. Eng. Data,2002,47, 818-822,,,,,,,,,,,,,
273.15,461.9487,23.097435,Liquid-Gas,Experimental - Rejected,NIST,Authors: Akers, W. W.;Kelley, R. E.;Lipscomb, T. G. Title: Carbon Dioxide - Propane System Citation: Ind. Eng. Chem.,1954,46,2535,,,,,,,,,,,,
273.15,506.624,5.333,Liquid-Gas,Experimental - Rejected,NIST,Authors: Olszewski, K. Citation: Chem. Ber.,1894,27,3305,,,,,,,,,,,,,,
273.250000876,469,4,Liquid-Gas,Experimental - Rejected,NIST,Authors: Holcomb, C. D.;Magee, J. W.;Haynes, W. M. Title: Density Measurements on Natural Gas Liquids Citation: Research Report RR-147,1995, Gas Processors Association Project No. 916, Tulsa OK,,,,,,,,,,,,
274.149382837,516.758,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hainlen, A. Title: Propane and Ethane in the Liquid State. Citation: Justus Liebigs Ann. Chem.,1894,282, 229-45,,,,,,,,,,,,,,
274.999729927,500,40,Liquid-Gas,Experimental,NIST,Authors: Rabe, D. Title: Experimental determination of dynamic viscosity and density of binary liquid mixtures of n-heptane with CO2, CH4, C2H6, C3H8 and of toluene with CH4 and C3H8 Citation: Dr.Eng. Thesis, Technical University Berlin, Berlin (1981),,,,,,,,,,,,
275.137,503.9,2.1,Liquid-Gas,Experimental,NIST,Authors: Dong, X.;Gong, M.;Liu, J.;Wu, J. Title: Experimental measurement of vapor pressures and (vapor + liquid) equilibrium  for {1,1,1,2-tetrafluoroethane (R134a) + propane (R290)} by a recirculation  apparatus with view windows Citation: J. Chem. Thermodyn.,2011,43, 505-510,,,,,,,,
277.593751182,548.133,1.379,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kahre, L. C. Title: Liquid Density of Light Hydrocarbon Mixtures Citation: J. Chem. Eng. Data,1973,18, 267-270,,,,,,,,,,,,,,
280,583.1,1.2,Liquid-Gas,Experimental,NIST,Authors: Miyamoto, H.;Uematsu, M. Title: Measurements of Vapor Pressures from 280 to 369 K and (p, rho, T) Properties from 340 to 400 K at Pressures to 200 MPa for Propane Citation: Int. J. Thermophys.,2006,27, 1052-1060,,,,,,,,,,,
280.001,581.94,0.15,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
280.213,585.8,20,Liquid-Gas,Experimental,NIST,Authors: Qi, Y.;Zhang, H.;Liu, Y.;Wu, W.;Chen, X.;Yang, X. Title: PVTx properties in the gas phase for binary R290/R134a system Citation: J. Chem. Thermodyn.,2014,70, 111-121,,,,,,,,,
283.148055,636.72,0.49,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27,01/11/26,,,,,,,,,,,,,
283.149,646.7,5.1,Liquid-Gas,Experimental - Rejected,NIST,Authors: Higashi, Y.;Funakura, M.;Yoshida, Y. Title: VAPOR-LIQUID EQUILIBRIUM FOR PROPANE/ISO-BUTANE MIXTURE Citation: Joint Meeting of NR Commissions B1, B2, E1, and E2,1994, Padova, Italy, September 21-23, pp 493-500,,,,,,,
283.15,636.8,1.4,Liquid-Gas,Experimental,NIST,Authors: Gong, M.;Guo, H.;Dong, X.;Li, H.;Wu, J. Title: (Vapor + liquid) phase equilibrium measurements for {trifluoroiodomethane (R13I1) + propane (R290)} from T = (258.150 to 283.150) K Citation: J. Chem. Thermodyn.,2014,79, 167-170,,,,,,,,,,
283.15,637.2,2.1,Liquid-Gas,Experimental,NIST,Authors: Lim, J. S.;Park, J. -Y.;Lee, K.-S.;Kim, J. -D.;Lee, B. G. Title: Measurement of Vapor-Liquid Equilibria for the Binary Mixture of Pentafluoroethane (HFC-125) + Propane (R-290) Citation: J. Chem. Eng. Data,2004,49, 750-755,,,,,,,,,,
283.15,632,8,Liquid-Gas,Experimental - Rejected,NIST,Authors: Lim, J. S.;Seong, G.;Roh, H.-K. Title: Vapor-Liquid Equilibria for Propane (R-290) + 1,1,1,2,3,3,3-Heptafluoropropane (HFC-227ea) at Various Temperatures Citation: J. Chem. Eng. Data,2007,52, 2250-2256,,,,,,
283.154,644.1,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Higashi, Y.;Funakura, M.;Yoshida, Y. Title: Vapor-liquid equilibrium for propane/iso-butane mixture Citation: Sci. Tech. Froid,1994, , 493-500,,,,,,,,,,,,
285.642427805,719.407,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hainlen, A. Title: Propane and Ethane in the Liquid State. Citation: Justus Liebigs Ann. Chem.,1894,282, 229-45,,,,,,,,,,,,,,
288.15,735,2.2,Liquid-Gas,Experimental,NIST,Authors: Lee, B. G.;Yang, W.-J.;Lim, J. S. Title: Vapor-Liquid Equilibria for the Binary System Difluoromethane (HFC-32) + Propane (HC-290) at Seven Temperatures [(268.15,278.15,283.15,288.15,298.15,308.15, and 318.15) K] Citation: J. Chem. Eng. Data,2003,48, 841-846,,,,,,
288.26,734,2,Liquid-Gas,Experimental,NIST,Authors: Coquelet, C.;Chareton, A.;Valtz, A.;Baba-Ahmed, A.;Richon, D. Title: Vapor-Liquid Equilibrium Data for the Azeotropic Difluoromethane + Propane System at Temperatures from 294.83 to 343.26 K and Pressures up to 5.4 MPa Citation: J. Chem. Eng. Data,2003,48, 317-323,,,,,,,,,,
288.70198832,744.63,6.89,Liquid-Gas,Experimental,NIST,Authors: Kahre, L. C. Title: Liquid Density of Light Hydrocarbon Mixtures Citation: J. Chem. Eng. Data,1973,18, 267-270,,,,,,,,,,,,,,
289.154,752,2.3,Liquid-Gas,Experimental,NIST,Authors: Dong, X.;Gong, M.;Liu, J.;Wu, J. Title: Experimental measurement of vapor pressures and (vapor + liquid) equilibrium  for {1,1,1,2-tetrafluoroethane (R134a) + propane (R290)} by a recirculation  apparatus with view windows Citation: J. Chem. Thermodyn.,2011,43, 505-510,,,,,,,,
290,768.6,1.2,Liquid-Gas,Experimental,NIST,Authors: Kayukawa, Y.;Hasumoto, M.;Kano, Y.;Watanabe, K. Title: Liquid-Phase Thermodynamic Properties for Propane (1), n-Butane (2), and Isobutane (3) Citation: J. Chem. Eng. Data,2005,50, 556-564,,,,,,,,,
291.059248,786.069,4,Liquid-Gas,Experimental - Rejected,NIST,Authors: Dana, L. I.;Jenkins, A. C.;Burdick, H. E.;Timm, R. C. Title: Thermodynamic Properties of Butane, Isobutane, and Propane Citation: Refrig. Eng.,1926,12,387,,,,,,,,,
293.15,836.2,3.4,Liquid-Gas,Experimental,NIST,Authors: Ho, Q. N. N.;Yoo, K. S.;Lee, B. G.;Lim, J. S. Title: Measurement of vapor liquid equilibria for the binary mixture of propylene (R-1270) + propane (R-290) Citation: Fluid Phase Equilib.,2006,245, 63-70,,,,,,,,,,,
293.15,839.7,1.2,Liquid-Gas,Experimental,NIST,Authors: Hou, S.-X.;Duan, Y. -Y. Title: Isothermal vapor liquid equilibria for the pentafluoroethane + propane and pentafluoroethane + 1,1,1,2,3,3,3-heptafluoropropane systems Citation: Fluid Phase Equilib.,2010,290, 121 (-126),,,,,,,
293.15,832.94,26.13,Liquid-Gas,Experimental,NIST,Authors: Park, Y.;Kang, J.;Choi, J.;Kim, H. Title: Vapor-Liquid Equilibria for the 1,1-Difluoroethane (HFC-152a) + Propane (R-290) System Citation: J. Chem. Eng. Data,2007,52, 1203-1208,,,,,,,,,,
293.151,845.3,5.2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Higashi, Y.;Funakura, M.;Yoshida, Y. Title: VAPOR-LIQUID EQUILIBRIUM FOR PROPANE/ISO-BUTANE MIXTURE Citation: Joint Meeting of NR Commissions B1, B2, E1, and E2,1994, Padova, Italy, September 21-23, pp 493-500,,,,,,,
293.155,844.9,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Higashi, Y.;Funakura, M.;Yoshida, Y. Title: Vapor-liquid equilibrium for propane/iso-butane mixture Citation: Sci. Tech. Froid,1994, , 493-500,,,,,,,,,,,,
294.2485556,861.84,6.89,Liquid-Gas,Experimental,NIST,Authors: Reamer, H. H.;Sage, B. H.;Lacey, W. N. Title: Phase Equilibria in Hydrocarbon Systems: Volumetric and Phase Behavior of the Methane-Propane System Citation: Ind. Eng. Chem.,1950,42, 534-539,,,,,,,,,,,,
294.2485556,861.84,6.89,Liquid-Gas,Experimental,NIST,Authors: Reamer, H. H.;Sage, B. H.;Lacey, W. N. Title: Phase equilibria in hydrocarbon systems: Volumetric and phase behavior of the propane - carbon dioxide system Citation: Ind. Eng. Chem.,1951,43, 2515-2520,,,,,,,,,,,,
294.31183666,859.2936,8.6874,Liquid-Gas,Experimental,NIST,Authors: Manley, D. B.;Swift, G. W. Title: Relative Volatility of Propane-Propene System by Integration of General Coexistence Citation: J. Chem. Eng. Data,1971,16, 301-7,,,,,,,,,,,,,
298.00001289,948,4,Liquid-Gas,Experimental,NIST,Authors: Llovell, F.;Florusse, L. J.;Peters, C. J.;Vega, L. F. Title: Vapor-Liquid and Critical Behavior of Binary Systems of Hydrogen Chloride and n-Alkanes: Experimental Data and Soft-SAFT Modeling Citation: J. Phys. Chem. B,2007,111, 10180-10188,,,,,,,,,,,
298.136,930.8,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Schindler, D. L.;Swift, G. W.;Kurata, F. Title: More low temperature v-l design data Citation: Hydrocarbon Process.,1966,45, 205-10,,,,,,,,,,,,
298.15,952.2,1.1,Liquid-Gas,Experimental,NIST,Authors: Bobbo, S.;Camporese, R.;Scalabrin, G. Title: Isothermal vapour -liquid equilibrium measurements for the binary mixtures HFC-125 + HFC-245fa and HC-290 + HFC-245fa Citation: High Temp. - High Pressures,2000,32, 441-447,,,,,,,,,,,,
298.15,954.8,6.8,Liquid-Gas,Experimental,NIST,Authors: Lim, J. S.;Park, J. -Y.;Kang, j. W.;Lee, B. G. Title: Measurement of vapor liquid equilibria for the binary systems of propane + 1,1,1,2-tetrafluoroethane and 1,1,1-trifluoroethane + propane at various temperatures Citation: Fluid Phase Equilib.,2006,243, 57-63,,,,,,
298.16,951.2,3.7,Liquid-Gas,Experimental,NIST,Authors: Bobbo, S.;Fedele, L.;Camporese, R.;Stryjek, R. Title: Isothermal vapor-liquid equilibrium for the three binary systems 1,1,1,2,3,3-hexafluoropropane with dimethyl ether or propane, and 1,1,1,3,3,3-hexafluoropropane with dimethyl ether Citation: Fluid Phase Equilib.,2000,174,03/12/26
299.78534,1020,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hipkin, H. G. Title: Experimental Vapor-Liquid Equilibrium Data for Propane-Isobutane Citation: AIChE J.,1966,12,484,,,,,,,,,,,,,,
299.999,997.43,0.16,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
300.3508929,1006.6,1.6,Liquid-Gas,Experimental,NIST,Authors: Kratzke, H.;Muller, S. Title: Thermodynamic quantities for propane. 3. The thermodynamic behavior of saturated and compressed liquid propane Citation: J. Chem. Thermodyn.,1984,16, 1157-74,,,,,,,,,,,,,
300.73496,1053.78,15.2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Francis, A. W.;Robbins, G. W. Title: The Vapor Pressures of Propane and Propylene Citation: J. Am. Chem. Soc.,1933,55,4339,,,,,,,,,,,,,
301.073313768,1034.21,6.88786,Liquid-Gas,Experimental - Rejected,NIST,Authors: Sage, B. H.;Schaafsma, J. G.;Lacey, W. N. Title: Phase Equilibria in Hydrocarbon Systems: Pressure-Volume-Temperature Relations and Thermal Properties of Propane. Citation: Ind. Eng. Chem.,1934,26, 1218-1224,,,,,,,,,,,,
301.90447164,1061.89,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
301.9045716,1062.9,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
301.934459563,1053.577,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
302.934056844,1080.73,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
303.133976258,1092.28,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
303.134,1124.7,10.67,Liquid-Gas,Experimental - Rejected,NIST,Authors: Olszewski, K. Citation: Chem. Ber.,1894,27,3305,,,,,,,,,,,,,,
303.141,1086.9,5.4,Liquid-Gas,Experimental - Rejected,NIST,Authors: Higashi, Y.;Funakura, M.;Yoshida, Y. Title: VAPOR-LIQUID EQUILIBRIUM FOR PROPANE/ISO-BUTANE MIXTURE Citation: Joint Meeting of NR Commissions B1, B2, E1, and E2,1994, Padova, Italy, September 21-23, pp 493-500,,,,,,,
303.143055,1063.91,11.15,Liquid-Gas,Experimental - Rejected,NIST,Authors: Poll, H.;Huemer, H.;Moser, F. Title: An apparatuas for determination of vapor-liquid equilibria at elevated pressure Citation: Monatsh. Chem.,1980,111, 1159-1164,,,,,,,,,,,,
303.15,1078.3,3.8,Liquid-Gas,Experimental,NIST,Authors: Kim, J.-H.;Kim, M. S.;Kim, Y. Title: Vapor-liquid equilibria for pentafluoroethane + propane and difluoromethane + propane systems over a temperature range from 253.15 to 323.15 K Citation: Fluid Phase Equilib.,2003,211, 273-287,,,,,,,,,,,,
303.15,1078.4,3.2,Liquid-Gas,Experimental,NIST,Authors: Lim, J. S.;Ho, Q. N. N.;Park, J. -Y.;Lee, B. G. Title: Measurement of Vapor-Liquid Equilibria for the Binary Mixture of Propane (R-290) + Isobutane (R-600a) Citation: J. Chem. Eng. Data,2004,49, 192-198,,,,,,,,,,,
303.15,1090.6,5.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kang, Y. W. Title: Phase equilibria for the binary mixtures containing hydrogen fluoride and non-polar compound Citation: Fluid Phase Equilib.,1999,154, 139-151,,,,,,,,,,,,,,
304.593387506,1124.81,0,Liquid-Gas,Experimental,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
305.03324,1195.64,15.2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Francis, A. W.;Robbins, G. W. Title: The Vapor Pressures of Propane and Propylene Citation: J. Am. Chem. Soc.,1933,55,4339,,,,,,,,,,,,,
305.1332,1185.5,15.2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Francis, A. W.;Robbins, G. W. Title: The Vapor Pressures of Propane and Propylene Citation: J. Am. Chem. Soc.,1933,55,4339,,,,,,,,,,,,,
306.662551095,1182.87,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
307.072424,1164.438,6.66612,Liquid-Gas,Experimental - Rejected,NIST,Authors: Dana, L. I.;Jenkins, A. C.;Burdick, H. E.;Timm, R. C. Title: Thermodynamic Properties of Butane, Isobutane, and Propane Citation: Refrig. Eng.,1926,12,387,,,,,,,,,
308.03204,1266.56,15.2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Francis, A. W.;Robbins, G. W. Title: The Vapor Pressures of Propane and Propylene Citation: J. Am. Chem. Soc.,1933,55,4339,,,,,,,,,,,,,
308.179,1219.8,20.1,Liquid-Gas,Experimental,NIST,Authors: Qi, Y.;Zhang, H.;Liu, Y.;Wu, W.;Chen, X.;Yang, X. Title: PVTx properties in the gas phase for binary R290/R134a system Citation: J. Chem. Thermodyn.,2014,70, 111-121,,,,,,,,,
308.211534,1219.4,5.3,Liquid-Gas,Experimental,NIST,Authors: Uchytil, P.;Wichterle, I. Title: Liquid-Vapor critical region of the most volatile component of a ternary System I. Vapour-liquid equilibria in the ethane-propane-n-butane system system. Citation: Fluid Phase Equilib.,1983,15, 209-17,,,,,,,,,,,,,
308.331874532,1231.707,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
